"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","TG","OV15","OV25","OV35","TY","TR","homewinmargin","awaywinmargin","GSCS","GSH"
"21201","D2",2021-12-18,"Erzgebirge Aue","Nurnberg",1,3,"A",1,2,"A",3.42,3.57,2.2,"1-2","1-3",19,3,19,8,1,2,0,0,4,"Y","Y","Y",3,0,-1,-3,"-1,-3",2
"21221","D2",2021-12-18,"Paderborn","Heidenheim",1,2,"A",0,0,"D",2.56,3.44,2.88,"0-0","1-2",12,3,19,6,3,3,0,0,3,"Y","Y","N",6,0,-1,-1,"-1,-1",0
"21301","D2",2022-01-15,"St Pauli","Erzgebirge Aue",2,2,"D",1,1,"D",1.41,5.24,7.54,"1-1","2-2",12,6,7,3,0,2,0,0,4,"Y","Y","Y",2,0,-3,-2,"-3,-2",-1
"12","E0",2021-08-21,"Aston Villa","Newcastle",2,0,"H",1,0,"H",1.83,3.99,4.4,"1-0","2-0",10,2,9,1,3,4,0,0,2,"Y","N","N",7,0,-1,-2,"-1,-2",1
"15","E0",2021-08-21,"Man City","Norwich",5,0,"H",2,0,"H",1.11,11.28,26.2,"2-0","5-0",16,4,1,0,1,0,0,0,5,"Y","Y","Y",1,0,-1,-3,"-1,-3",2
"25","E0",2021-08-28,"Norwich","Leicester",1,2,"A",1,1,"D",4.47,3.54,1.93,"1-1","1-2",14,4,9,3,2,1,0,0,3,"Y","Y","N",3,0,-5,-3,"-5,-3",-2
"32","E0",2021-09-11,"Arsenal","Norwich",1,0,"H",0,0,"D",1.53,4.57,6.5,"0-0","1-0",30,7,10,1,1,2,0,0,1,"N","N","N",3,0,-5,-1,"-5,-1",-4
"37","E0",2021-09-11,"Watford","Wolves",0,2,"A",0,0,"D",3.47,3.22,2.36,"0-0","0-2",6,2,14,5,3,3,0,0,2,"Y","N","N",6,0,-1,-1,"-1,-1",0
"41","E0",2021-09-17,"Newcastle","Leeds",1,1,"D",1,1,"D",3.05,3.69,2.36,"1-1","1-1",17,7,22,9,2,2,0,0,2,"Y","N","N",4,0,-3,-3,"-3,-3",0
"46","E0",2021-09-18,"Norwich","Watford",1,3,"A",1,1,"D",2.21,3.48,3.53,"1-1","1-3",12,5,12,8,1,1,0,0,4,"Y","Y","Y",2,0,-1,-2,"-1,-2",1
"53","E0",2021-09-25,"Everton","Norwich",2,0,"H",1,0,"H",1.65,3.91,6.09,"1-0","2-0",11,4,10,2,2,3,0,0,2,"Y","N","N",5,0,-3,-2,"-3,-2",-1
