"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","all_matchday"
"4344","B1",2023-08-05,"Cercle Brugge","Charleroi",2,0,"H",2,0,"H",1.92,3.8,3.98,"2-0","2-0",19,3,8,3,0,3,0,0,4,5,11,13,2,9,24,"4-5","Y","N","N",3,0,2
"4345","B1",2023-08-05,"Oud-Heverlee Leuven","RWD Molenbeek",1,2,"A",1,1,"D",1.82,4.01,4.23,"1-1","1-2",18,5,15,4,4,1,0,0,15,6,14,18,3,21,32,"15-6","Y","Y","N",5,0,2
"4346","B1",2023-08-06,"Anderlecht","Antwerp",1,0,"H",1,0,"H",2.65,3.7,2.55,"1-0","1-0",9,2,5,3,1,1,0,0,3,6,9,19,1,9,28,"3-6","N","N","N",2,0,2
"4347","B1",2023-08-06,"Mechelen","Gent",0,1,"A",0,0,"D",3.78,4.04,1.87,"0-0","0-1",14,2,12,3,2,3,0,0,7,3,14,14,1,10,28,"7-3","N","N","N",5,0,2
"4348","B1",2023-08-06,"Westerlo","Club Brugge",0,1,"A",0,1,"A",3.69,3.7,1.98,"0-1","0-1",11,3,20,8,1,0,0,0,4,5,7,9,1,9,16,"4-5","N","N","N",1,0,2
"4349","B1",2023-08-06,"Kortrijk","St Truiden",0,1,"A",0,0,"D",2.85,3.35,2.53,"0-0","0-1",8,1,14,4,1,2,0,0,0,14,10,12,1,14,22,"0-14","N","N","N",3,0,2
"4350","B1",2023-08-11,"Antwerp","Kortrijk",6,0,"H",4,0,"H",1.26,6.31,11.17,"4-0","6-0",25,9,4,1,0,2,0,0,4,1,8,11,6,5,19,"4-1","Y","Y","Y",2,0,3
"4351","B1",2023-08-12,"RWD Molenbeek","Mechelen",1,0,"H",0,0,"D",2.25,3.89,3.01,"0-0","1-0",18,8,9,4,3,1,0,0,7,4,12,11,1,11,23,"7-4","N","N","N",4,0,3
"4352","B1",2023-08-12,"St. Gilloise","Oud-Heverlee Leuven",5,1,"H",2,1,"H",1.51,4.42,6.74,"2-1","5-1",16,9,4,1,1,4,0,0,0,3,10,15,6,3,25,"0-3","Y","Y","Y",5,0,3
"4353","B1",2023-08-13,"St Truiden","Anderlecht",0,1,"A",0,0,"D",3.46,3.45,2.15,"0-0","0-1",14,5,9,3,4,5,0,1,6,1,13,15,1,7,28,"6-1","N","N","N",9,1,3
"4354","B1",2023-08-13,"Cercle Brugge","Genk",0,1,"A",0,0,"D",2.72,3.73,2.45,"0-0","0-1",13,2,10,3,2,3,0,0,5,3,8,20,1,8,28,"5-3","N","N","N",5,0,3
"4355","B1",2023-08-13,"Eupen","Club Brugge",0,5,"A",0,3,"A",5.62,4.33,1.56,"0-3","0-5",9,1,13,7,0,2,0,0,4,6,9,13,5,10,22,"4-6","Y","Y","Y",2,0,3
"4356","B1",2023-08-13,"Charleroi","Standard",1,1,"D",0,1,"A",2.07,3.64,3.47,"0-1","1-1",18,3,7,2,3,2,1,1,13,2,11,12,2,15,23,"13-2","Y","N","N",5,2,3
"4357","B1",2023-08-13,"Westerlo","Gent",1,3,"A",1,1,"D",3.56,3.96,1.95,"1-1","1-3",14,4,18,9,1,1,0,0,4,10,10,14,4,14,24,"4-10","Y","Y","Y",2,0,3
"4358","B1",2023-08-18,"Oud-Heverlee Leuven","Antwerp",1,1,"D",0,1,"A",4.93,4.24,1.67,"0-1","1-1",10,2,13,4,4,2,1,0,7,7,16,10,2,14,26,"7-7","Y","N","N",6,1,4
"4359","B1",2023-08-19,"Standard","Cercle Brugge",0,1,"A",0,0,"D",2.94,3.55,2.43,"0-0","0-1",7,3,16,4,2,2,0,0,3,2,10,11,1,5,21,"3-2","N","N","N",4,0,4
"4360","B1",2023-08-19,"Mechelen","St. Gilloise",4,0,"H",1,0,"H",4.29,4.01,1.81,"1-0","4-0",10,7,14,1,0,2,0,0,4,6,9,10,4,10,19,"4-6","Y","Y","Y",2,0,4
"4361","B1",2023-08-20,"Anderlecht","Westerlo",2,1,"H",1,0,"H",1.92,3.59,4.13,"1-0","2-1",24,7,18,3,1,3,0,0,6,2,7,13,3,8,20,"6-2","Y","Y","N",4,0,4
"4362","B1",2023-08-20,"Genk","Charleroi",0,0,"D",0,0,"D",1.59,4.53,5.02,"0-0","0-0",23,7,7,3,0,0,0,0,11,4,11,13,0,15,24,"11-4","N","N","N",0,0,4
"4363","B1",2023-08-20,"Gent","St Truiden",2,2,"D",1,2,"A",1.44,4.89,6.52,"1-2","2-2",19,5,14,3,2,2,0,0,7,2,11,9,4,9,20,"7-2","Y","Y","Y",4,0,4
"4364","B1",2023-08-20,"Club Brugge","RWD Molenbeek",7,1,"H",2,1,"H",1.29,5.77,9.29,"2-1","7-1",23,9,9,3,0,1,0,0,8,3,10,12,8,11,22,"8-3","Y","Y","Y",1,0,4
"4365","B1",2023-08-20,"Kortrijk","Eupen",1,3,"A",0,0,"D",2.33,3.77,2.85,"0-0","1-3",13,4,15,8,5,4,1,0,5,9,15,15,4,14,30,"5-9","Y","Y","Y",9,1,4
"4366","B1",2023-08-26,"Westerlo","Mechelen",2,3,"A",2,0,"H",2.25,3.83,3.04,"2-0","2-3",11,4,17,5,0,3,0,0,5,4,8,9,5,9,17,"5-4","Y","Y","Y",3,0,5
"4367","B1",2023-08-26,"Eupen","Oud-Heverlee Leuven",3,1,"H",1,0,"H",3.02,3.81,2.27,"1-0","3-1",17,4,22,5,1,2,0,0,3,5,15,9,4,8,24,"3-5","Y","Y","Y",3,0,5
"4368","B1",2023-08-26,"Kortrijk","Standard",1,1,"D",1,0,"H",3,3.65,2.35,"1-0","1-1",19,6,23,6,0,2,0,0,7,10,7,12,2,17,19,"7-10","Y","N","N",2,0,5
"4369","B1",2023-08-27,"St Truiden","Cercle Brugge",0,2,"A",0,0,"D",3.19,3.38,2.3,"0-0","0-2",20,4,25,8,1,1,0,0,8,8,8,18,2,16,26,"8-8","Y","N","N",2,0,5
"4370","B1",2023-08-27,"Anderlecht","Charleroi",2,1,"H",1,0,"H",1.72,4.11,4.43,"1-0","2-1",15,8,18,5,0,2,0,0,4,7,12,16,3,11,28,"4-7","Y","Y","N",2,0,5
"4371","B1",2023-09-01,"Oud-Heverlee Leuven","Kortrijk",3,0,"H",1,0,"H",1.63,4.61,4.83,"1-0","3-0",20,9,13,7,1,3,0,0,4,1,10,14,3,5,24,"4-1","Y","Y","N",4,0,5
"4372","B1",2023-09-02,"Cercle Brugge","Westerlo",2,1,"H",1,0,"H",1.58,4.43,5.54,"1-0","2-1",21,6,7,1,0,1,0,0,14,1,16,16,3,15,32,"14-1","Y","Y","N",1,0,5
"4373","B1",2023-09-02,"Mechelen","Eupen",1,0,"H",0,0,"D",1.78,4.13,4.21,"0-0","1-0",22,6,9,1,0,1,0,0,6,4,10,13,1,10,23,"6-4","N","N","N",1,0,5
"4374","B1",2023-09-02,"Standard","RWD Molenbeek",1,1,"D",1,1,"D",2.07,3.56,3.7,"1-1","1-1",11,4,8,3,1,3,0,0,5,0,9,22,2,5,31,"5-0","Y","N","N",4,0,6
"4375","B1",2023-09-03,"Gent","Club Brugge",2,1,"H",1,1,"D",2.41,3.77,2.79,"1-1","2-1",14,4,14,7,2,0,1,0,5,6,14,12,3,11,26,"5-6","Y","Y","N",2,1,6
"4376","B1",2023-09-03,"St. Gilloise","Antwerp",2,2,"D",1,2,"A",2.34,3.22,3.27,"1-2","2-2",24,7,8,5,1,2,0,0,8,4,9,12,4,12,21,"8-4","Y","Y","Y",3,0,6
"4377","B1",2023-09-03,"Genk","Anderlecht",1,1,"D",0,0,"D",1.97,3.56,3.87,"0-0","1-1",12,4,8,4,5,6,1,0,7,7,6,15,2,14,21,"7-7","Y","N","N",11,1,6
"4378","B1",2023-09-03,"Charleroi","St Truiden",1,1,"D",0,0,"D",2.23,3.43,3.28,"0-0","1-1",18,5,8,5,2,0,0,1,3,5,12,6,2,8,18,"3-5","Y","N","N",2,1,6
"4379","B1",2023-09-15,"Westerlo","Antwerp",0,3,"A",0,1,"A",5.39,4.45,1.6,"0-1","0-3",9,2,15,4,3,0,0,0,4,5,13,9,3,9,22,"4-5","Y","Y","N",3,0,6
"4380","B1",2023-09-16,"RWD Molenbeek","Cercle Brugge",2,1,"H",1,1,"D",4.18,4.22,1.79,"1-1","2-1",10,5,15,4,3,3,0,0,5,4,18,12,3,9,30,"5-4","Y","Y","N",6,0,6
"4381","B1",2023-09-16,"St. Gilloise","Genk",0,2,"A",0,1,"A",2,3.85,3.63,"0-1","0-2",25,4,7,2,1,6,0,0,7,3,15,15,2,10,30,"7-3","Y","N","N",7,0,6
"4382","B1",2023-09-16,"Club Brugge","Charleroi",4,2,"H",2,2,"D",1.41,5.26,7.15,"2-2","4-2",25,10,14,8,2,3,0,0,5,5,8,6,6,10,14,"5-5","Y","Y","Y",5,0,7
"4383","B1",2023-09-17,"Eupen","Standard",1,3,"A",0,2,"A",3.08,3.37,2.36,"0-2","1-3",13,3,16,6,1,4,0,1,6,6,5,12,4,12,17,"6-6","Y","Y","Y",5,1,7
"4384","B1",2023-09-17,"Kortrijk","Anderlecht",2,2,"D",1,1,"D",4.66,4.22,1.68,"1-1","2-2",9,4,18,6,5,1,1,1,3,11,13,6,4,14,19,"3-11","Y","Y","Y",6,2,7
"4385","B1",2023-09-17,"Oud-Heverlee Leuven","Gent",1,1,"D",1,1,"D",4.4,4.13,1.73,"1-1","1-1",9,2,22,4,4,3,0,0,3,16,7,11,2,19,18,"3-16","Y","N","N",7,0,7
"4386","B1",2023-09-17,"St Truiden","Mechelen",2,0,"H",1,0,"H",2.45,3.44,2.9,"1-0","2-0",16,4,13,7,1,2,0,0,1,7,8,12,2,8,20,"1-7","Y","N","N",3,0,7
"4387","B1",2023-09-22,"Standard","Westerlo",0,0,"D",0,0,"D",1.83,4.25,3.92,"0-0","0-0",14,5,3,2,0,3,0,0,5,2,6,23,0,7,29,"5-2","N","N","N",3,0,7
"4388","B1",2023-09-23,"Charleroi","Kortrijk",1,0,"H",1,0,"H",1.65,4.34,5.05,"1-0","1-0",14,5,13,3,2,1,0,0,8,7,16,13,1,15,29,"8-7","N","N","N",3,0,7
"4389","B1",2023-09-23,"Mechelen","Oud-Heverlee Leuven",1,2,"A",0,2,"A",1.93,3.81,3.9,"0-2","1-2",16,4,15,8,5,3,0,0,6,6,12,7,3,12,19,"6-6","Y","Y","N",8,0,7
"4390","B1",2023-09-23,"Antwerp","RWD Molenbeek",0,0,"D",0,0,"D",1.33,5.63,8.62,"0-0","0-0",14,3,5,1,0,1,0,0,9,1,4,14,0,10,18,"9-1","N","N","N",1,0,8
"4391","B1",2023-09-24,"Genk","St Truiden",3,3,"D",0,3,"A",1.58,4.34,5.35,"0-3","3-3",20,7,16,6,2,4,0,0,5,1,17,11,6,6,28,"5-1","Y","Y","Y",6,0,8
"4392","B1",2023-09-24,"Cercle Brugge","St. Gilloise",0,2,"A",0,1,"A",2.88,3.53,2.42,"0-1","0-2",6,1,15,7,3,3,1,0,3,2,8,17,2,5,25,"3-2","Y","N","N",6,1,8
"4393","B1",2023-09-24,"Anderlecht","Club Brugge",1,1,"D",1,0,"H",2.91,3.74,2.31,"1-0","1-1",8,1,9,3,1,1,0,0,3,3,12,11,2,6,23,"3-3","Y","N","N",2,0,8
"4394","B1",2023-09-24,"Gent","Eupen",2,1,"H",0,1,"A",1.28,5.94,9.23,"0-1","2-1",13,6,14,3,1,4,1,0,3,7,9,16,3,10,25,"3-7","Y","Y","N",5,1,8
"4395","B1",2023-09-27,"Antwerp","Gent",0,0,"D",0,0,"D",2.12,3.7,3.42,"0-0","0-0",14,4,6,2,3,1,0,0,6,0,10,4,0,6,14,"6-0","N","N","N",4,0,8
"4396","B1",2023-09-28,"RWD Molenbeek","St. Gilloise",2,3,"A",2,2,"D",4.79,4.22,1.66,"2-2","2-3",10,7,16,8,2,3,0,0,3,8,8,14,5,11,22,"3-8","Y","Y","Y",5,0,8
"4397","B1",2023-09-28,"Club Brugge","Genk",1,1,"D",0,1,"A",1.79,4.03,4.16,"0-1","1-1",18,3,15,5,4,1,0,0,10,3,16,7,2,13,23,"10-3","Y","N","N",5,0,8
"4398","B1",2023-09-29,"Kortrijk","Cercle Brugge",2,1,"H",0,0,"D",4.68,4.39,1.68,"0-0","2-1",10,4,10,2,3,1,0,0,3,7,13,19,3,10,32,"3-7","Y","Y","N",4,0,9
"4399","B1",2023-09-30,"Eupen","Anderlecht",1,3,"A",1,1,"D",4.48,3.99,1.78,"1-1","1-3",9,3,20,6,1,0,0,0,2,4,11,15,4,6,26,"2-4","Y","Y","Y",1,0,9
"4400","B1",2023-09-30,"Oud-Heverlee Leuven","Standard",1,2,"A",0,1,"A",2.38,3.69,2.92,"0-1","1-2",11,5,14,3,2,1,0,0,6,3,10,11,3,9,21,"6-3","Y","Y","N",3,0,9
"4401","B1",2023-09-30,"Mechelen","Antwerp",0,0,"D",0,0,"D",3.93,3.8,1.93,"0-0","0-0",14,3,22,4,0,1,0,0,5,13,3,5,0,18,8,"5-13","N","N","N",1,0,9
"4402","B1",2023-10-01,"St. Gilloise","Charleroi",3,1,"H",3,1,"H",1.57,4.43,5.34,"3-1","3-1",17,7,4,3,1,2,0,0,8,7,13,13,4,15,26,"8-7","Y","Y","Y",3,0,9
"4403","B1",2023-10-01,"Genk","Westerlo",3,3,"D",2,1,"H",1.45,4.87,6.35,"2-1","3-3",18,6,10,7,2,2,1,0,4,7,7,12,6,11,19,"4-7","Y","Y","Y",4,1,9
"4404","B1",2023-10-01,"Club Brugge","St Truiden",1,1,"D",0,0,"D",1.38,5.12,7.61,"0-0","1-1",20,7,12,3,3,1,0,0,11,4,12,8,2,15,20,"11-4","Y","N","N",4,0,9
"4405","B1",2023-10-01,"RWD Molenbeek","Gent",1,1,"D",1,1,"D",4.5,4.23,1.69,"1-1","1-1",9,3,19,9,3,1,0,0,4,4,9,10,2,8,19,"4-4","Y","N","N",4,0,9
"4406","B1",2023-10-06,"Charleroi","RWD Molenbeek",2,1,"H",0,0,"D",1.91,3.88,3.95,"0-0","2-1",22,7,6,3,1,3,0,1,14,2,9,7,3,16,16,"14-2","Y","Y","N",4,1,10
"4407","B1",2023-10-07,"Cercle Brugge","Oud-Heverlee Leuven",3,2,"H",2,2,"D",1.62,4.4,5.2,"2-2","3-2",18,7,13,5,2,3,0,0,6,6,9,9,5,12,18,"6-6","Y","Y","Y",5,0,10
"4408","B1",2023-10-07,"Westerlo","Kortrijk",1,0,"H",1,0,"H",1.85,4.29,3.79,"1-0","1-0",13,4,13,3,2,4,0,0,1,10,15,10,1,11,25,"1-10","N","N","N",6,0,10
"4409","B1",2023-10-07,"Anderlecht","Mechelen",3,1,"H",1,0,"H",1.75,4.05,4.58,"1-0","3-1",19,9,13,3,2,3,0,0,8,1,14,10,4,9,24,"8-1","Y","Y","Y",5,0,10
"4410","B1",2023-10-08,"Standard","Club Brugge",2,1,"H",1,0,"H",4.92,4.2,1.66,"1-0","2-1",7,5,16,7,4,1,0,0,1,6,13,14,3,7,27,"1-6","Y","Y","N",5,0,10
"4411","B1",2023-10-08,"Antwerp","Eupen",4,1,"H",2,1,"H",1.23,6.64,10.66,"2-1","4-1",27,12,5,2,0,2,0,0,8,2,8,10,5,10,18,"8-2","Y","Y","Y",2,0,10
"4412","B1",2023-10-08,"Gent","Genk",1,1,"D",0,0,"D",2.05,3.76,3.42,"0-0","1-1",18,9,20,6,1,3,0,0,4,9,9,14,2,13,23,"4-9","Y","N","N",4,0,10
"4413","B1",2023-10-08,"St Truiden","St. Gilloise",0,4,"A",0,2,"A",4.22,3.82,1.82,"0-2","0-4",9,1,12,7,1,4,0,0,3,5,3,15,4,8,18,"3-5","Y","Y","Y",5,0,10
"4414","B1",2023-10-20,"St. Gilloise","Eupen",4,1,"H",2,0,"H",1.2,7.49,13.66,"2-0","4-1",21,11,6,1,0,3,0,1,3,1,14,14,5,4,28,"3-1","Y","Y","Y",3,1,11
"4415","B1",2023-10-21,"Kortrijk","Club Brugge",1,0,"H",1,0,"H",7.22,5.36,1.4,"1-0","1-0",6,2,18,4,4,2,0,0,1,9,14,9,1,10,23,"1-9","N","N","N",6,0,11
"4416","B1",2023-10-21,"RWD Molenbeek","Westerlo",1,1,"D",0,0,"D",2.39,3.67,2.92,"0-0","1-1",12,6,9,5,2,2,0,0,7,4,10,8,2,11,18,"7-4","Y","N","N",4,0,11
"4417","B1",2023-10-21,"Charleroi","Antwerp",3,2,"H",0,0,"D",3.43,3.57,2.16,"0-0","3-2",10,5,11,5,2,2,0,0,5,2,6,12,5,7,18,"5-2","Y","Y","Y",4,0,11
"4418","B1",2023-10-22,"Genk","Mechelen",4,0,"H",2,0,"H",1.54,4.67,5.72,"2-0","4-0",19,9,10,3,1,2,0,0,4,3,6,10,4,7,16,"4-3","Y","Y","Y",3,0,11
"4419","B1",2023-10-22,"Cercle Brugge","Gent",2,0,"H",0,0,"D",2.65,3.71,2.52,"0-0","2-0",16,5,10,4,3,2,0,1,6,7,17,15,2,13,32,"6-7","Y","N","N",5,1,11
"4420","B1",2023-10-22,"Standard","Anderlecht",3,2,"H",0,2,"A",3.14,3.47,2.29,"0-2","3-2",15,8,13,7,2,3,0,0,3,8,12,14,5,11,26,"3-8","Y","Y","Y",5,0,11
"4421","B1",2023-10-22,"Oud-Heverlee Leuven","St Truiden",4,0,"H",2,0,"H",2.24,3.58,3.13,"2-0","4-0",11,4,18,3,1,3,0,0,3,7,9,12,4,10,21,"3-7","Y","Y","Y",4,0,11
"4422","B1",2023-10-27,"St Truiden","RWD Molenbeek",2,1,"H",0,0,"D",1.87,3.78,4.25,"0-0","2-1",9,5,10,3,0,0,0,0,4,0,9,7,3,4,16,"4-0","Y","Y","N",0,0,12
"4423","B1",2023-10-28,"Mechelen","Cercle Brugge",0,2,"A",0,0,"D",3.25,3.91,2.13,"0-0","0-2",11,7,22,4,1,3,0,0,8,3,13,15,2,11,28,"8-3","Y","N","N",4,0,12
"4424","B1",2023-10-28,"Eupen","Charleroi",2,0,"H",1,0,"H",3.54,3.77,2.06,"1-0","2-0",8,5,17,5,3,2,0,0,4,8,11,13,2,12,24,"4-8","Y","N","N",5,0,12
"4425","B1",2023-10-28,"Anderlecht","Oud-Heverlee Leuven",5,1,"H",2,1,"H",1.51,4.63,6.35,"2-1","5-1",18,9,13,7,1,1,0,0,5,1,13,13,6,6,26,"5-1","Y","Y","Y",2,0,12
"4426","B1",2023-10-29,"Club Brugge","Antwerp",2,1,"H",1,0,"H",1.98,3.77,3.63,"1-0","2-1",11,5,8,2,4,1,0,0,3,3,11,9,3,6,20,"3-3","Y","Y","N",5,0,12
"4427","B1",2023-10-29,"Westerlo","St. Gilloise",1,3,"A",1,1,"D",4.9,4.29,1.63,"1-1","1-3",12,4,22,7,1,1,0,0,5,8,11,10,4,13,21,"5-8","Y","Y","Y",2,0,12
"4428","B1",2023-10-29,"Gent","Standard",3,1,"H",3,0,"H",1.64,4.24,4.94,"3-0","3-1",18,9,12,7,2,2,0,0,4,4,16,15,4,8,31,"4-4","Y","Y","Y",4,0,12
"4429","B1",2023-10-29,"Kortrijk","Genk",0,3,"A",0,0,"D",5.98,4.69,1.49,"0-0","0-3",12,3,15,9,3,2,0,0,8,5,10,16,3,13,26,"8-5","Y","Y","N",5,0,12
"4430","B1",2023-11-03,"St Truiden","Eupen",1,1,"D",1,0,"H",1.65,4.2,5.18,"1-0","1-1",16,4,5,1,1,1,0,0,5,1,10,13,2,6,23,"5-1","Y","N","N",2,0,13
"4431","B1",2023-11-04,"RWD Molenbeek","Kortrijk",1,1,"D",1,1,"D",1.93,3.86,3.77,"1-1","1-1",9,5,5,2,3,1,0,0,4,2,14,7,2,6,21,"4-2","Y","N","N",4,0,13
"4432","B1",2023-11-04,"Oud-Heverlee Leuven","Westerlo",0,2,"A",0,0,"D",2.1,3.81,3.3,"0-0","0-2",10,2,10,6,3,7,0,0,7,7,11,13,2,14,24,"7-7","Y","N","N",10,0,13
"4433","B1",2023-11-04,"Antwerp","Genk",3,2,"H",3,1,"H",2.19,3.77,3.2,"3-1","3-2",14,5,17,8,3,4,0,0,5,5,13,12,5,10,25,"5-5","Y","Y","Y",7,0,13
"4434","B1",2023-11-05,"Cercle Brugge","Anderlecht",0,3,"A",0,2,"A",2.52,3.63,2.77,"0-2","0-3",16,2,7,5,2,3,0,0,7,1,14,13,3,8,27,"7-1","Y","Y","N",5,0,13
"4435","B1",2023-11-05,"Standard","Mechelen",1,1,"D",1,0,"H",1.69,4.08,4.71,"1-0","1-1",10,4,11,4,1,4,0,0,10,1,10,19,2,11,29,"10-1","Y","N","N",5,0,13
"4436","B1",2023-11-05,"St. Gilloise","Club Brugge",2,1,"H",1,0,"H",2.31,3.7,2.93,"1-0","2-1",19,6,5,2,3,4,0,0,9,4,11,6,3,13,17,"9-4","Y","Y","N",7,0,13
"4437","B1",2023-11-05,"Charleroi","Gent",1,3,"A",0,1,"A",3.39,3.68,2.09,"0-1","1-3",11,3,17,9,3,0,0,0,0,6,5,4,4,6,9,"0-6","Y","Y","Y",3,0,13
"4438","B1",2023-11-10,"Westerlo","St Truiden",3,3,"D",2,1,"H",2.65,3.52,2.69,"2-1","3-3",17,4,10,7,3,2,0,0,9,3,11,13,6,12,24,"9-3","Y","Y","Y",5,0,14
"4439","B1",2023-11-11,"Antwerp","Standard",6,0,"H",4,0,"H",1.63,4.28,5.29,"4-0","6-0",15,9,2,0,2,2,0,0,6,2,13,10,6,8,23,"6-2","Y","Y","Y",4,0,14
"4440","B1",2023-11-11,"Eupen","RWD Molenbeek",1,3,"A",1,1,"D",2.6,3.62,2.68,"1-1","1-3",11,4,20,10,1,4,0,0,8,5,12,14,4,13,26,"8-5","Y","Y","Y",5,0,14
"4441","B1",2023-11-11,"Mechelen","Charleroi",1,0,"H",0,0,"D",2.71,3.65,2.56,"0-0","1-0",19,7,6,3,2,1,0,1,8,2,11,10,1,10,21,"8-2","N","N","N",3,1,14
"4442","B1",2023-11-12,"Club Brugge","Cercle Brugge",0,0,"D",0,0,"D",1.72,4.09,4.47,"0-0","0-0",14,7,20,3,2,5,0,0,10,3,11,12,0,13,23,"10-3","N","N","N",7,0,14
"4443","B1",2023-11-12,"Genk","Oud-Heverlee Leuven",3,1,"H",1,0,"H",1.39,5.53,6.66,"1-0","3-1",18,6,6,3,2,4,0,0,3,2,14,19,4,5,33,"3-2","Y","Y","Y",6,0,14
"4444","B1",2023-11-12,"Gent","Anderlecht",1,1,"D",1,1,"D",2.19,3.63,3.2,"1-1","1-1",10,5,7,2,1,2,0,0,8,3,12,10,2,11,22,"8-3","Y","N","N",3,0,14
"4445","B1",2023-11-12,"St. Gilloise","Kortrijk",3,0,"H",2,0,"H",1.2,7.29,12.28,"2-0","3-0",18,8,11,1,2,1,0,0,6,6,10,9,3,12,19,"6-6","Y","Y","N",3,0,14
"4446","B1",2023-11-24,"St Truiden","Antwerp",1,1,"D",1,0,"H",4.1,3.67,1.93,"1-0","1-1",11,5,12,1,2,2,0,0,4,7,8,11,2,11,19,"4-7","Y","N","N",4,0,15
"4447","B1",2023-11-25,"Cercle Brugge","Eupen",2,0,"H",0,0,"D",1.38,5.15,7.14,"0-0","2-0",30,10,6,4,4,3,0,0,5,3,12,13,2,8,25,"5-3","Y","N","N",7,0,15
"4448","B1",2023-11-25,"Charleroi","Westerlo",3,2,"H",0,1,"A",1.85,3.79,4.12,"0-1","3-2",14,4,11,4,3,2,0,0,5,4,15,11,5,9,26,"5-4","Y","Y","Y",5,0,15
"4449","B1",2023-11-25,"Standard","Genk",1,0,"H",0,0,"D",3.7,3.89,1.93,"0-0","1-0",13,4,11,2,2,2,0,0,5,5,20,12,1,10,32,"5-5","N","N","N",4,0,15
"4450","B1",2023-11-26,"Gent","St. Gilloise",1,1,"D",1,0,"H",2.59,3.6,2.55,"1-0","1-1",11,3,12,4,2,3,0,0,5,8,8,14,2,13,22,"5-8","Y","N","N",5,0,15
"4451","B1",2023-11-26,"Oud-Heverlee Leuven","Club Brugge",0,1,"A",0,1,"A",4.37,4.2,1.68,"0-1","0-1",10,3,14,6,4,2,0,0,7,6,19,13,1,13,32,"7-6","N","N","N",6,0,15
"4452","B1",2023-11-26,"Anderlecht","RWD Molenbeek",2,1,"H",0,1,"A",1.39,4.87,7.22,"0-1","2-1",25,8,7,2,1,4,0,1,10,1,6,12,3,11,18,"10-1","Y","Y","N",5,1,15
"4453","B1",2023-11-26,"Kortrijk","Mechelen",0,3,"A",0,2,"A",3.01,3.4,2.34,"0-2","0-3",15,3,10,5,2,2,0,0,4,3,12,12,3,7,24,"4-3","Y","Y","N",4,0,15
"4454","B1",2023-12-01,"Westerlo","Anderlecht",1,3,"A",0,1,"A",5.13,3.88,1.71,"0-1","1-3",23,7,26,10,0,0,0,0,7,2,3,11,4,9,14,"7-2","Y","Y","Y",0,0,16
"4455","B1",2023-12-02,"RWD Molenbeek","Charleroi",0,0,"D",0,0,"D",2.88,3.4,2.55,"0-0","0-0",10,4,18,8,0,2,0,0,3,10,4,8,0,13,12,"3-10","N","N","N",2,0,16
