MatchNumber,RoundNumber,Location,Date,Home_Team,Away_Team
35,1,stadium,8/29/2021,Ried,LASK
36,1,stadium,8/29/2021,Austria Vienna,Rapid Vienna
37,1,stadium,9/11/2021,Rapid Vienna,Admira
38,1,stadium,9/11/2021,Tirol,Salzburg
39,1,stadium,9/11/2021,Altach,Ried
40,1,stadium,9/11/2021,Wolfsberger AC,Hartberg
41,1,stadium,9/11/2021,Sturm Graz,A. Klagenfurt
42,1,stadium,9/11/2021,LASK,Austria Vienna
43,1,stadium,9/18/2021,Ried,Wolfsberger AC
44,1,stadium,9/18/2021,Austria Vienna,Altach
45,1,stadium,9/18/2021,Admira,Hartberg
46,1,stadium,9/18/2021,Sturm Graz,Tirol
47,1,stadium,9/18/2021,Salzburg,Rapid Vienna
48,1,stadium,9/18/2021,A. Klagenfurt,LASK
49,1,stadium,9/25/2021,Wolfsberger AC,Salzburg
50,1,stadium,9/25/2021,Altach,A. Klagenfurt
51,1,stadium,9/25/2021,Tirol,Ried
52,1,stadium,9/25/2021,Hartberg,Austria Vienna
53,1,stadium,9/25/2021,Rapid Vienna,Sturm Graz
54,1,stadium,9/25/2021,LASK,Admira
55,1,stadium,10/2/2021,Hartberg,Sturm Graz
56,1,stadium,10/2/2021,Salzburg,LASK
57,1,stadium,10/2/2021,Rapid Vienna,Tirol
58,1,stadium,10/2/2021,Admira,Altach
59,1,stadium,10/2/2021,Ried,A. Klagenfurt
60,1,stadium,10/2/2021,Wolfsberger AC,Austria Vienna
61,1,stadium,10/16/2021,Altach,Salzburg
62,1,stadium,10/16/2021,LASK,Wolfsberger AC
63,1,stadium,10/16/2021,Sturm Graz,Ried
64,1,stadium,10/16/2021,Austria Vienna,Admira
65,1,stadium,10/16/2021,Tirol,Hartberg
66,1,stadium,10/16/2021,A. Klagenfurt,Rapid Vienna
67,1,stadium,10/23/2021,Wolfsberger AC,A. Klagenfurt
68,1,stadium,10/23/2021,LASK,Altach
69,1,stadium,10/23/2021,Austria Vienna,Ried
70,1,stadium,10/23/2021,Salzburg,Sturm Graz
71,1,stadium,10/23/2021,Hartberg,Rapid Vienna
72,1,stadium,10/23/2021,Admira,Tirol
73,1,stadium,10/30/2021,Sturm Graz,Wolfsberger AC
74,1,stadium,10/30/2021,Altach,Hartberg
75,1,stadium,10/30/2021,Rapid Vienna,LASK
76,1,stadium,10/30/2021,Tirol,Austria Vienna
77,1,stadium,10/30/2021,A. Klagenfurt,Admira
78,1,stadium,10/30/2021,Ried,Salzburg
79,1,stadium,11/6/2021,Altach,Sturm Graz
80,1,stadium,11/6/2021,Wolfsberger AC,Rapid Vienna
81,1,stadium,11/6/2021,Admira,Ried
82,1,stadium,11/6/2021,LASK,Tirol
83,1,stadium,11/6/2021,Austria Vienna,Salzburg
84,1,stadium,11/6/2021,Hartberg,A. Klagenfurt
85,1,stadium,11/20/2021,Rapid Vienna,Altach
86,1,stadium,11/20/2021,Salzburg,Admira
87,1,stadium,11/20/2021,Tirol,Wolfsberger AC
88,1,stadium,11/20/2021,A. Klagenfurt,Austria Vienna
89,1,stadium,11/20/2021,Ried,Hartberg
90,1,stadium,11/20/2021,Sturm Graz,LASK
91,1,stadium,11/27/2021,Hartberg,LASK
92,1,stadium,11/27/2021,Ried,Rapid Vienna
93,1,stadium,11/27/2021,Altach,Tirol
94,1,stadium,11/27/2021,A. Klagenfurt,Salzburg
95,1,stadium,11/27/2021,Admira,Wolfsberger AC
96,1,stadium,11/27/2021,Austria Vienna,Sturm Graz
97,1,stadium,12/4/2021,Wolfsberger AC,Altach
98,1,stadium,12/4/2021,Rapid Vienna,Austria Vienna
99,1,stadium,12/4/2021,Tirol,A. Klagenfurt
100,1,stadium,12/4/2021,LASK,Ried
101,1,stadium,12/4/2021,Salzburg,Hartberg
102,1,stadium,12/4/2021,Sturm Graz,Admira
103,1,stadium,12/11/2021,Ried,Altach
104,1,stadium,12/11/2021,A. Klagenfurt,Sturm Graz
105,1,stadium,12/11/2021,Hartberg,Wolfsberger AC
106,1,stadium,12/11/2021,Salzburg,Tirol
107,1,stadium,12/11/2021,Admira,Rapid Vienna
108,1,stadium,12/11/2021,Austria Vienna,LASK
109,1,stadium,2/11/2022,Rapid Vienna,Salzburg
110,1,stadium,2/11/2022,LASK,A. Klagenfurt
111,1,stadium,2/11/2022,Wolfsberger AC,Ried
112,1,stadium,2/11/2022,Hartberg,Admira
113,1,stadium,2/11/2022,Tirol,Sturm Graz
114,1,stadium,2/11/2022,Altach,Austria Vienna
115,1,stadium,2/19/2022,A. Klagenfurt,Altach
116,1,stadium,2/19/2022,Sturm Graz,Rapid Vienna
117,1,stadium,2/19/2022,Austria Vienna,Hartberg
118,1,stadium,2/19/2022,Admira,LASK
119,1,stadium,2/19/2022,Ried,Tirol
120,1,stadium,2/19/2022,Salzburg,Wolfsberger AC
121,1,stadium,2/26/2022,Austria Vienna,Wolfsberger AC
122,1,stadium,2/26/2022,Sturm Graz,Hartberg
123,1,stadium,2/26/2022,LASK,Salzburg
124,1,stadium,2/26/2022,Tirol,Rapid Vienna
125,1,stadium,2/26/2022,Altach,Admira
126,1,stadium,2/26/2022,A. Klagenfurt,Ried
127,1,stadium,3/5/2022,Salzburg,Altach
128,1,stadium,3/5/2022,Rapid Vienna,A. Klagenfurt
129,1,stadium,3/5/2022,Wolfsberger AC,LASK
130,1,stadium,3/5/2022,Ried,Sturm Graz
131,1,stadium,3/5/2022,Admira,Austria Vienna
132,1,stadium,3/5/2022,Hartberg,Tirol
