"","MatchNumber","RoundNumber","Date","Location","Home_Team","Away_Team"
"130","130","1","11/28/2021","Stadium","Paderborn","Hansa Rostock"
"131","131","1","11/28/2021","Stadium","Fortuna Dusseldorf","Heidenheim"
"132","132","1","11/28/2021","Stadium","Hamburg","Ingolstadt"
"133","133","1","11/28/2021","Stadium","Schalke 04","Sandhausen"
"134","134","1","11/28/2021","Stadium","Nurnberg","St Pauli"
"135","135","1","11/28/2021","Stadium","Holstein Kiel","Werder Bremen"
"136","136","1","12/5/2021","Stadium","Darmstadt","Fortuna Dusseldorf"
"137","137","1","12/5/2021","Stadium","Werder Bremen","Erzgebirge Aue"
"138","138","1","12/5/2021","Stadium","Hannover","Hamburg"
"139","139","1","12/5/2021","Stadium","Nurnberg","Holstein Kiel"
"140","140","1","12/5/2021","Stadium","Hansa Rostock","Ingolstadt"
"141","141","1","12/5/2021","Stadium","Heidenheim","Regensburg"
"142","142","1","12/5/2021","Stadium","Dresden","Karlsruhe"
"143","143","1","12/5/2021","Stadium","Sandhausen","Paderborn"
"144","144","1","12/5/2021","Stadium","St Pauli","Schalke 04"
"145","145","1","12/12/2021","Stadium","Paderborn","Darmstadt"
"146","146","1","12/12/2021","Stadium","Erzgebirge Aue","Dresden"
"147","147","1","12/12/2021","Stadium","Ingolstadt","Hannover"
"148","148","1","12/12/2021","Stadium","Hamburg","Hansa Rostock"
"149","149","1","12/12/2021","Stadium","Karlsruhe","Heidenheim"
"150","150","1","12/12/2021","Stadium","Schalke 04","Nurnberg"
"151","151","1","12/12/2021","Stadium","Holstein Kiel","Sandhausen"
"152","152","1","12/12/2021","Stadium","Fortuna Dusseldorf","St Pauli"
"153","153","1","12/12/2021","Stadium","Regensburg","Werder Bremen"
"154","154","1","12/19/2021","Stadium","Regensburg","Darmstadt"
"155","155","1","12/19/2021","Stadium","Ingolstadt","Dresden"
"156","156","1","12/19/2021","Stadium","Karlsruhe","Hansa Rostock"
"157","157","1","12/19/2021","Stadium","Paderborn","Heidenheim"
"158","158","1","12/19/2021","Stadium","Erzgebirge Aue","Nurnberg"
"159","159","1","12/19/2021","Stadium","Fortuna Dusseldorf","Sandhausen"
"160","160","1","12/19/2021","Stadium","Hamburg","Schalke 04"
"161","161","1","12/19/2021","Stadium","Holstein Kiel","St Pauli"
"162","162","1","12/19/2021","Stadium","Hannover","Werder Bremen"
"163","163","1","1/16/2022","Stadium","Werder Bremen","Fortuna Dusseldorf"
"164","164","1","1/16/2022","Stadium","St Pauli","Erzgebirge Aue"
"165","165","1","1/16/2022","Stadium","Dresden","Hamburg"
"166","166","1","1/16/2022","Stadium","Hansa Rostock","Hannover"
"167","167","1","1/16/2022","Stadium","Schalke 04","Holstein Kiel"
"168","168","1","1/16/2022","Stadium","Heidenheim","Ingolstadt"
"169","169","1","1/16/2022","Stadium","Sandhausen","Regensburg"
"170","170","1","1/16/2022","Stadium","Darmstadt","Karlsruhe"
"171","171","1","1/16/2022","Stadium","Nurnberg","Paderborn"
"172","172","1","1/23/2022","Stadium","Ingolstadt","Darmstadt"
"173","173","1","1/23/2022","Stadium","Hannover","Dresden"
"174","174","1","1/23/2022","Stadium","Hansa Rostock","Heidenheim"
"175","175","1","1/23/2022","Stadium","Regensburg","Holstein Kiel"
"176","176","1","1/23/2022","Stadium","Fortuna Dusseldorf","Nurnberg"
"177","177","1","1/23/2022","Stadium","Karlsruhe","Sandhausen"
"178","178","1","1/23/2022","Stadium","Erzgebirge Aue","Schalke 04"
"179","179","1","1/23/2022","Stadium","Hamburg","St Pauli"
"180","180","1","1/23/2022","Stadium","Paderborn","Werder Bremen"
"181","181","1","2/6/2022","Stadium","Holstein Kiel","Fortuna Dusseldorf"
"182","182","1","2/6/2022","Stadium","Sandhausen","Erzgebirge Aue"
"183","183","1","2/6/2022","Stadium","Darmstadt","Hamburg"
"184","184","1","2/6/2022","Stadium","Heidenheim","Hannover"
"185","185","1","2/6/2022","Stadium","Dresden","Hansa Rostock"
"186","186","1","2/6/2022","Stadium","Nurnberg","Ingolstadt"
"187","187","1","2/6/2022","Stadium","Schalke 04","Regensburg"
"188","188","1","2/6/2022","Stadium","Werder Bremen","Karlsruhe"
"189","189","1","2/6/2022","Stadium","St Pauli","Paderborn"
"190","190","1","2/13/2022","Stadium","Hannover","Darmstadt"
"191","191","1","2/13/2022","Stadium","Paderborn","Dresden"
"192","192","1","2/13/2022","Stadium","Hamburg","Heidenheim"
"193","193","1","2/13/2022","Stadium","Erzgebirge Aue","Holstein Kiel"
"194","194","1","2/13/2022","Stadium","Karlsruhe","Nurnberg"
"195","195","1","2/13/2022","Stadium","Ingolstadt","Sandhausen"
"196","196","1","2/13/2022","Stadium","Fortuna Dusseldorf","Schalke 04"
"197","197","1","2/13/2022","Stadium","Regensburg","St Pauli"
"198","198","1","2/13/2022","Stadium","Hansa Rostock","Werder Bremen"
"199","199","1","2/20/2022","Stadium","Fortuna Dusseldorf","Erzgebirge Aue"
"200","200","1","2/20/2022","Stadium","Sandhausen","Hamburg"
"201","201","1","2/20/2022","Stadium","St Pauli","Hannover"
"202","202","1","2/20/2022","Stadium","Darmstadt","Hansa Rostock"
"203","203","1","2/20/2022","Stadium","Dresden","Heidenheim"
"204","204","1","2/20/2022","Stadium","Werder Bremen","Ingolstadt"
"205","205","1","2/20/2022","Stadium","Nurnberg","Regensburg"
"206","206","1","2/20/2022","Stadium","Holstein Kiel","Karlsruhe"
"207","207","1","2/20/2022","Stadium","Schalke 04","Paderborn"
"208","208","1","2/27/2022","Stadium","Regensburg","Fortuna Dusseldorf"
"209","209","1","2/27/2022","Stadium","Dresden","Darmstadt"
"210","210","1","2/27/2022","Stadium","Paderborn","Erzgebirge Aue"
"211","211","1","2/27/2022","Stadium","Hannover","Holstein Kiel"
"212","212","1","2/27/2022","Stadium","Hansa Rostock","Nurnberg"
"213","213","1","2/27/2022","Stadium","Heidenheim","Sandhausen"
"214","214","1","2/27/2022","Stadium","Karlsruhe","Schalke 04"
"215","215","1","2/27/2022","Stadium","Ingolstadt","St Pauli"
"216","216","1","2/27/2022","Stadium","Hamburg","Werder Bremen"
"217","217","1","3/6/2022","Stadium","Werder Bremen","Dresden"
"218","218","1","3/6/2022","Stadium","Nurnberg","Hamburg"
"219","219","1","3/6/2022","Stadium","Sandhausen","Hannover"
"220","220","1","3/6/2022","Stadium","Schalke 04","Hansa Rostock"
"221","221","1","3/6/2022","Stadium","Darmstadt","Heidenheim"
"222","222","1","3/6/2022","Stadium","Fortuna Dusseldorf","Ingolstadt"
"223","223","1","3/6/2022","Stadium","Erzgebirge Aue","Regensburg"
"224","224","1","3/6/2022","Stadium","St Pauli","Karlsruhe"
"225","225","1","3/6/2022","Stadium","Holstein Kiel","Paderborn"
"226","226","1","3/13/2022","Stadium","Paderborn","Fortuna Dusseldorf"
"227","227","1","3/13/2022","Stadium","Hamburg","Erzgebirge Aue"
"228","228","1","3/13/2022","Stadium","Hansa Rostock","Holstein Kiel"
"229","229","1","3/13/2022","Stadium","Karlsruhe","Regensburg"
"230","230","1","3/13/2022","Stadium","Hannover","Nurnberg"
"231","231","1","3/13/2022","Stadium","Darmstadt","Sandhausen"
"232","232","1","3/13/2022","Stadium","Ingolstadt","Schalke 04"
"233","233","1","3/13/2022","Stadium","Dresden","St Pauli"
"234","234","1","3/13/2022","Stadium","Heidenheim","Werder Bremen"
"235","235","1","3/20/2022","Stadium","Werder Bremen","Darmstadt"
"236","236","1","3/20/2022","Stadium","Nurnberg","Dresden"
"237","237","1","3/20/2022","Stadium","Fortuna Dusseldorf","Hamburg"
"238","238","1","3/20/2022","Stadium","Schalke 04","Hannover"
"239","239","1","3/20/2022","Stadium","Sandhausen","Hansa Rostock"
"240","240","1","3/20/2022","Stadium","St Pauli","Heidenheim"
"241","241","1","3/20/2022","Stadium","Holstein Kiel","Ingolstadt"
"242","242","1","3/20/2022","Stadium","Erzgebirge Aue","Karlsruhe"
"243","243","1","3/20/2022","Stadium","Regensburg","Paderborn"
"244","244","1","4/3/2022","Stadium","Karlsruhe","Fortuna Dusseldorf"
"245","245","1","4/3/2022","Stadium","Ingolstadt","Erzgebirge Aue"
"246","246","1","4/3/2022","Stadium","Darmstadt","Holstein Kiel"
"247","247","1","4/3/2022","Stadium","Hannover","Regensburg"
"248","248","1","4/3/2022","Stadium","Heidenheim","Nurnberg"
"249","249","1","4/3/2022","Stadium","Hamburg","Paderborn"
"250","250","1","4/3/2022","Stadium","Werder Bremen","Sandhausen"
"251","251","1","4/3/2022","Stadium","Dresden","Schalke 04"
"252","252","1","4/3/2022","Stadium","Hansa Rostock","St Pauli"
"253","253","1","4/10/2022","Stadium","Nurnberg","Darmstadt"
"254","254","1","4/10/2022","Stadium","Sandhausen","Dresden"
"255","255","1","4/10/2022","Stadium","Holstein Kiel","Hamburg"
"256","256","1","4/10/2022","Stadium","Erzgebirge Aue","Hannover"
"257","257","1","4/10/2022","Stadium","Fortuna Dusseldorf","Hansa Rostock"
"258","258","1","4/10/2022","Stadium","Schalke 04","Heidenheim"
"259","259","1","4/10/2022","Stadium","Regensburg","Ingolstadt"
"260","260","1","4/10/2022","Stadium","Paderborn","Karlsruhe"
"261","261","1","4/10/2022","Stadium","St Pauli","Werder Bremen"
"262","262","1","4/17/2022","Stadium","Hannover","Fortuna Dusseldorf"
"263","263","1","4/17/2022","Stadium","Heidenheim","Erzgebirge Aue"
"264","264","1","4/17/2022","Stadium","Dresden","Holstein Kiel"
"265","265","1","4/17/2022","Stadium","Hansa Rostock","Regensburg"
"266","266","1","4/17/2022","Stadium","Hamburg","Karlsruhe"
"267","267","1","4/17/2022","Stadium","Werder Bremen","Nurnberg"
"268","268","1","4/17/2022","Stadium","Ingolstadt","Paderborn"
"269","269","1","4/17/2022","Stadium","Darmstadt","Schalke 04"
"270","270","1","4/17/2022","Stadium","Sandhausen","St Pauli"
"271","271","1","4/24/2022","Stadium","St Pauli","Darmstadt"
"272","272","1","4/24/2022","Stadium","Fortuna Dusseldorf","Dresden"
"273","273","1","4/24/2022","Stadium","Regensburg","Hamburg"
"274","274","1","4/24/2022","Stadium","Paderborn","Hannover"
"275","275","1","4/24/2022","Stadium","Erzgebirge Aue","Hansa Rostock"
"276","276","1","4/24/2022","Stadium","Holstein Kiel","Heidenheim"
"277","277","1","4/24/2022","Stadium","Karlsruhe","Ingolstadt"
"278","278","1","4/24/2022","Stadium","Nurnberg","Sandhausen"
"279","279","1","4/24/2022","Stadium","Schalke 04","Werder Bremen"
"280","280","1","4/30/2022","Stadium","Heidenheim","Fortuna Dusseldorf"
"281","281","1","4/30/2022","Stadium","Darmstadt","Erzgebirge Aue"
"282","282","1","4/30/2022","Stadium","Ingolstadt","Hamburg"
"283","283","1","4/30/2022","Stadium","Werder Bremen","Holstein Kiel"
"284","284","1","4/30/2022","Stadium","Dresden","Regensburg"
"285","285","1","4/30/2022","Stadium","Hannover","Karlsruhe"
"286","286","1","4/30/2022","Stadium","St Pauli","Nurnberg"
"287","287","1","4/30/2022","Stadium","Hansa Rostock","Paderborn"
"288","288","1","4/30/2022","Stadium","Sandhausen","Schalke 04"
"289","289","1","5/8/2022","Stadium","Fortuna Dusseldorf","Darmstadt"
"290","290","1","5/8/2022","Stadium","Karlsruhe","Dresden"
"291","291","1","5/8/2022","Stadium","Hamburg","Hannover"
"292","292","1","5/8/2022","Stadium","Ingolstadt","Hansa Rostock"
"293","293","1","5/8/2022","Stadium","Regensburg","Heidenheim"
"294","294","1","5/8/2022","Stadium","Holstein Kiel","Nurnberg"
"295","295","1","5/8/2022","Stadium","Paderborn","Sandhausen"
"296","296","1","5/8/2022","Stadium","Schalke 04","St Pauli"
"297","297","1","5/8/2022","Stadium","Erzgebirge Aue","Werder Bremen"
"298","298","1","5/15/2022","Stadium","St Pauli","Fortuna Dusseldorf"
"299","299","1","5/15/2022","Stadium","Dresden","Erzgebirge Aue"
"300","300","1","5/15/2022","Stadium","Hansa Rostock","Hamburg"
"301","301","1","5/15/2022","Stadium","Sandhausen","Holstein Kiel"
"302","302","1","5/15/2022","Stadium","Hannover","Ingolstadt"
"303","303","1","5/15/2022","Stadium","Werder Bremen","Regensburg"
"304","304","1","5/15/2022","Stadium","Heidenheim","Karlsruhe"
"305","305","1","5/15/2022","Stadium","Darmstadt","Paderborn"
"306","306","1","5/15/2022","Stadium","Nurnberg","Schalke 04"
