"","MatchNumber","RoundNumber","Date","Location","Home_Team","Away_Team"
"118","118","1","11/6/2021","stadium","Antwerp","Anderlecht"
"119","119","1","11/6/2021","stadium","Kortrijk","Beerschot VA"
"120","120","1","11/6/2021","stadium","Genk","Cercle Brugge"
"121","121","1","11/6/2021","stadium","St. Gilloise","Charleroi"
"122","122","1","11/6/2021","stadium","Seraing","Gent"
"123","123","1","11/6/2021","stadium","Oud-Heverlee Leuven","Oostende"
"124","124","1","11/6/2021","stadium","Mechelen","St Truiden"
"125","125","1","11/6/2021","stadium","Club Brugge","Standard"
"126","126","1","11/6/2021","stadium","Eupen","Waregem"
"127","127","1","11/20/2021","stadium","St Truiden","Antwerp"
"128","128","1","11/20/2021","stadium","Cercle Brugge","Charleroi"
"129","129","1","11/20/2021","stadium","Mechelen","Club Brugge"
"130","130","1","11/20/2021","stadium","Standard","Eupen"
"131","131","1","11/20/2021","stadium","Beerschot VA","Genk"
"132","132","1","11/20/2021","stadium","Waregem","Gent"
"133","133","1","11/20/2021","stadium","Anderlecht","Kortrijk"
"134","134","1","11/20/2021","stadium","Oud-Heverlee Leuven","Seraing"
"135","135","1","11/20/2021","stadium","Oostende","St. Gilloise"
"136","136","1","11/27/2021","stadium","Charleroi","Anderlecht"
"137","137","1","11/27/2021","stadium","Waregem","Beerschot VA"
"138","138","1","11/27/2021","stadium","Genk","Club Brugge"
"139","139","1","11/27/2021","stadium","Eupen","Kortrijk"
"140","140","1","11/27/2021","stadium","Cercle Brugge","Mechelen"
"141","141","1","11/27/2021","stadium","St. Gilloise","Oud-Heverlee Leuven"
"142","142","1","11/27/2021","stadium","Antwerp","Oostende"
"143","143","1","11/27/2021","stadium","Seraing","St Truiden"
"144","144","1","11/27/2021","stadium","Gent","Standard"
"145","145","1","12/4/2021","stadium","Beerschot VA","Antwerp"
"146","146","1","12/4/2021","stadium","Kortrijk","Cercle Brugge"
"147","147","1","12/4/2021","stadium","Standard","Charleroi"
"148","148","1","12/4/2021","stadium","Oostende","Eupen"
"149","149","1","12/4/2021","stadium","Mechelen","Genk"
"150","150","1","12/4/2021","stadium","Oud-Heverlee Leuven","Gent"
"151","151","1","12/4/2021","stadium","Club Brugge","Seraing"
"152","152","1","12/4/2021","stadium","St Truiden","St. Gilloise"
"153","153","1","12/4/2021","stadium","Anderlecht","Waregem"
"154","154","1","12/11/2021","stadium","Seraing","Anderlecht"
"155","155","1","12/11/2021","stadium","Eupen","Beerschot VA"
"156","156","1","12/11/2021","stadium","St Truiden","Cercle Brugge"
"157","157","1","12/11/2021","stadium","Gent","Genk"
"158","158","1","12/11/2021","stadium","St. Gilloise","Mechelen"
"159","159","1","12/11/2021","stadium","Kortrijk","Oud-Heverlee Leuven"
"160","160","1","12/11/2021","stadium","Charleroi","Oostende"
"161","161","1","12/11/2021","stadium","Antwerp","Standard"
"162","162","1","12/11/2021","stadium","Club Brugge","Waregem"
"163","163","1","12/15/2021","stadium","Standard","Beerschot VA"
"164","164","1","12/15/2021","stadium","Genk","Charleroi"
"165","165","1","12/15/2021","stadium","Oud-Heverlee Leuven","Club Brugge"
"166","166","1","12/15/2021","stadium","Antwerp","Eupen"
"167","167","1","12/15/2021","stadium","Mechelen","Gent"
"168","168","1","12/15/2021","stadium","Oostende","Kortrijk"
"169","169","1","12/15/2021","stadium","Cercle Brugge","Seraing"
"170","170","1","12/15/2021","stadium","Anderlecht","St Truiden"
"171","171","1","12/15/2021","stadium","Waregem","St. Gilloise"
"172","172","1","12/18/2021","stadium","Club Brugge","Anderlecht"
"173","173","1","12/18/2021","stadium","Genk","Antwerp"
"174","174","1","12/18/2021","stadium","St. Gilloise","Cercle Brugge"
"175","175","1","12/18/2021","stadium","Eupen","Charleroi"
"176","176","1","12/18/2021","stadium","Seraing","Kortrijk"
"177","177","1","12/18/2021","stadium","Waregem","Mechelen"
"178","178","1","12/18/2021","stadium","Beerschot VA","Oostende"
"179","179","1","12/18/2021","stadium","Gent","St Truiden"
"180","180","1","12/18/2021","stadium","Oud-Heverlee Leuven","Standard"
"181","181","1","12/26/2021","stadium","Beerschot VA","Anderlecht"
"182","182","1","12/26/2021","stadium","Kortrijk","Antwerp"
"183","183","1","12/26/2021","stadium","Cercle Brugge","Club Brugge"
"184","184","1","12/26/2021","stadium","St Truiden","Eupen"
"185","185","1","12/26/2021","stadium","Oostende","Genk"
"186","186","1","12/26/2021","stadium","St. Gilloise","Gent"
"187","187","1","12/26/2021","stadium","Charleroi","Oud-Heverlee Leuven"
"188","188","1","12/26/2021","stadium","Mechelen","Seraing"
"189","189","1","12/26/2021","stadium","Standard","Waregem"
"190","190","1","1/15/2022","stadium","Genk","Beerschot VA"
"191","191","1","1/15/2022","stadium","Eupen","Cercle Brugge"
"192","192","1","1/15/2022","stadium","Antwerp","Charleroi"
"193","193","1","1/15/2022","stadium","Gent","Kortrijk"
"194","194","1","1/15/2022","stadium","Oud-Heverlee Leuven","Mechelen"
"195","195","1","1/15/2022","stadium","Waregem","Oostende"
"196","196","1","1/15/2022","stadium","Club Brugge","St Truiden"
"197","197","1","1/15/2022","stadium","Anderlecht","Standard"
"198","198","1","1/15/2022","stadium","Seraing","St. Gilloise"
"199","199","1","1/22/2022","stadium","Mechelen","Anderlecht"
"200","200","1","1/22/2022","stadium","Oostende","Antwerp"
"201","201","1","1/22/2022","stadium","Standard","Club Brugge"
"202","202","1","1/22/2022","stadium","Kortrijk","Eupen"
"203","203","1","1/22/2022","stadium","St. Gilloise","Genk"
"204","204","1","1/22/2022","stadium","Charleroi","Gent"
"205","205","1","1/22/2022","stadium","Beerschot VA","Oud-Heverlee Leuven"
"206","206","1","1/22/2022","stadium","St Truiden","Seraing"
"207","207","1","1/22/2022","stadium","Cercle Brugge","Waregem"
"208","208","1","1/26/2022","stadium","Seraing","Beerschot VA"
"209","209","1","1/26/2022","stadium","Anderlecht","Cercle Brugge"
"210","210","1","1/26/2022","stadium","Charleroi","Kortrijk"
"211","211","1","1/26/2022","stadium","Genk","Mechelen"
"212","212","1","1/26/2022","stadium","Waregem","Oud-Heverlee Leuven"
"213","213","1","1/26/2022","stadium","Gent","Oostende"
"214","214","1","1/26/2022","stadium","Antwerp","St Truiden"
"215","215","1","1/26/2022","stadium","Eupen","Standard"
"216","216","1","1/26/2022","stadium","Club Brugge","St. Gilloise"
"217","217","1","1/29/2022","stadium","St. Gilloise","Anderlecht"
"218","218","1","1/29/2022","stadium","Gent","Antwerp"
"219","219","1","1/29/2022","stadium","St Truiden","Charleroi"
"220","220","1","1/29/2022","stadium","Kortrijk","Club Brugge"
"221","221","1","1/29/2022","stadium","Seraing","Eupen"
"222","222","1","1/29/2022","stadium","Oud-Heverlee Leuven","Genk"
"223","223","1","1/29/2022","stadium","Standard","Mechelen"
"224","224","1","1/29/2022","stadium","Cercle Brugge","Oostende"
"225","225","1","1/29/2022","stadium","Beerschot VA","Waregem"
"226","226","1","2/5/2022","stadium","Mechelen","Beerschot VA"
"227","227","1","2/5/2022","stadium","Standard","Cercle Brugge"
"228","228","1","2/5/2022","stadium","Anderlecht","Eupen"
"229","229","1","2/5/2022","stadium","Club Brugge","Gent"
"230","230","1","2/5/2022","stadium","Oostende","Oud-Heverlee Leuven"
"231","231","1","2/5/2022","stadium","Charleroi","Seraing"
"232","232","1","2/5/2022","stadium","Kortrijk","St Truiden"
"233","233","1","2/5/2022","stadium","Antwerp","St. Gilloise"
"234","234","1","2/5/2022","stadium","Genk","Waregem"
"235","235","1","2/12/2022","stadium","Waregem","Anderlecht"
"236","236","1","2/12/2022","stadium","Seraing","Antwerp"
"237","237","1","2/12/2022","stadium","Oud-Heverlee Leuven","Cercle Brugge"
"238","238","1","2/12/2022","stadium","Club Brugge","Charleroi"
"239","239","1","2/12/2022","stadium","Eupen","Gent"
"240","240","1","2/12/2022","stadium","Beerschot VA","Kortrijk"
"241","241","1","2/12/2022","stadium","Mechelen","Oostende"
"242","242","1","2/12/2022","stadium","St. Gilloise","St Truiden"
"243","243","1","2/12/2022","stadium","Genk","Standard"
"244","244","1","2/19/2022","stadium","Cercle Brugge","Beerschot VA"
"245","245","1","2/19/2022","stadium","Eupen","Club Brugge"
"246","246","1","2/19/2022","stadium","Anderlecht","Genk"
"247","247","1","2/19/2022","stadium","Antwerp","Mechelen"
"248","248","1","2/19/2022","stadium","St Truiden","Oud-Heverlee Leuven"
"249","249","1","2/19/2022","stadium","Gent","Seraing"
"250","250","1","2/19/2022","stadium","Oostende","Standard"
"251","251","1","2/19/2022","stadium","Charleroi","St. Gilloise"
"252","252","1","2/19/2022","stadium","Kortrijk","Waregem"
"253","253","1","2/26/2022","stadium","Oud-Heverlee Leuven","Anderlecht"
"254","254","1","2/26/2022","stadium","Club Brugge","Antwerp"
"255","255","1","2/26/2022","stadium","Mechelen","Cercle Brugge"
"256","256","1","2/26/2022","stadium","Beerschot VA","Charleroi"
"257","257","1","2/26/2022","stadium","St. Gilloise","Eupen"
"258","258","1","2/26/2022","stadium","Standard","Gent"
"259","259","1","2/26/2022","stadium","Genk","Kortrijk"
"260","260","1","2/26/2022","stadium","Waregem","Seraing"
"261","261","1","2/26/2022","stadium","Oostende","St Truiden"
"262","262","1","3/5/2022","stadium","Antwerp","Beerschot VA"
"263","263","1","3/5/2022","stadium","Seraing","Club Brugge"
"264","264","1","3/5/2022","stadium","Cercle Brugge","Genk"
"265","265","1","3/5/2022","stadium","St Truiden","Mechelen"
"266","266","1","3/5/2022","stadium","Eupen","Oud-Heverlee Leuven"
"267","267","1","3/5/2022","stadium","Anderlecht","Oostende"
"268","268","1","3/5/2022","stadium","Charleroi","Standard"
"269","269","1","3/5/2022","stadium","Kortrijk","St. Gilloise"
"270","270","1","3/5/2022","stadium","Gent","Waregem"
"271","271","1","3/12/2022","stadium","Anderlecht","Antwerp"
"272","272","1","3/12/2022","stadium","Mechelen","Charleroi"
"273","273","1","3/12/2022","stadium","Oostende","Club Brugge"
"274","274","1","3/12/2022","stadium","Waregem","Eupen"
"275","275","1","3/12/2022","stadium","Beerschot VA","Gent"
"276","276","1","3/12/2022","stadium","Cercle Brugge","Kortrijk"
"277","277","1","3/12/2022","stadium","Standard","Seraing"
"278","278","1","3/12/2022","stadium","Genk","St Truiden"
"279","279","1","3/12/2022","stadium","Oud-Heverlee Leuven","St. Gilloise"
"280","280","1","3/19/2022","stadium","Gent","Anderlecht"
"281","281","1","3/19/2022","stadium","St Truiden","Beerschot VA"
"282","282","1","3/19/2022","stadium","Charleroi","Cercle Brugge"
"283","283","1","3/19/2022","stadium","Club Brugge","Genk"
"284","284","1","3/19/2022","stadium","Eupen","Mechelen"
"285","285","1","3/19/2022","stadium","Seraing","Oud-Heverlee Leuven"
"286","286","1","3/19/2022","stadium","St. Gilloise","Oostende"
"287","287","1","3/19/2022","stadium","Kortrijk","Standard"
"288","288","1","3/19/2022","stadium","Antwerp","Waregem"
"289","289","1","4/2/2022","stadium","Oud-Heverlee Leuven","Antwerp"
"290","290","1","4/2/2022","stadium","Anderlecht","Charleroi"
"291","291","1","4/2/2022","stadium","Beerschot VA","Club Brugge"
"292","292","1","4/2/2022","stadium","Genk","Eupen"
"293","293","1","4/2/2022","stadium","Cercle Brugge","Gent"
"294","294","1","4/2/2022","stadium","Mechelen","Kortrijk"
"295","295","1","4/2/2022","stadium","Oostende","Seraing"
"296","296","1","4/2/2022","stadium","Waregem","St Truiden"
"297","297","1","4/2/2022","stadium","Standard","St. Gilloise"
"298","298","1","4/9/2022","stadium","Kortrijk","Anderlecht"
"299","299","1","4/9/2022","stadium","St. Gilloise","Beerschot VA"
"300","300","1","4/9/2022","stadium","Antwerp","Cercle Brugge"
"301","301","1","4/9/2022","stadium","Seraing","Genk"
"302","302","1","4/9/2022","stadium","Club Brugge","Mechelen"
"303","303","1","4/9/2022","stadium","Gent","Oud-Heverlee Leuven"
"304","304","1","4/9/2022","stadium","Eupen","Oostende"
"305","305","1","4/9/2022","stadium","St Truiden","Standard"
"306","306","1","4/9/2022","stadium","Charleroi","Waregem"
