Country,League,Date,Time,Home,Away,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Mexico,Liga MX,26/07/2021,01:06,Monterrey,Puebla,1.68,3.68,6.15,1.68,4.02,6.15,1.63,3.62,5.4
Mexico,Liga MX,26/07/2021,03:06,Club Tijuana,U.A.N.L.- Tigres,2.82,3.34,2.67,2.98,3.38,2.67,2.72,3.23,2.52
Mexico,Liga MX,27/07/2021,02:00,Cruz Azul,Mazatlan FC,1.51,4.16,7.52,1.55,4.3,7.6,1.47,4.04,6.72
Poland,Ekstraklasa,23/07/2021,17:00,Termalica B-B.,Stal Mielec,2.32,3.37,3.34,2.38,3.43,3.34,2.27,3.24,3.15
Poland,Ekstraklasa,23/07/2021,19:30,Lech Poznan,Radomiak Radom,1.69,3.67,5.94,1.72,4,5.94,1.66,3.64,5.32
Poland,Ekstraklasa,24/07/2021,14:00,Leczna,Cracovia,3.52,3.29,2.24,3.52,3.4,2.39,3.28,3.2,2.21
Poland,Ekstraklasa,24/07/2021,16:30,Jagiellonia,Lechia Gdansk,2.91,3.38,2.54,2.92,3.52,2.57,2.77,3.3,2.46
Poland,Ekstraklasa,24/07/2021,19:00,Legia,Wisla Plock,1.69,3.95,5.19,1.7,4,5.72,1.65,3.84,4.93
Poland,Ekstraklasa,25/07/2021,14:00,Piast Gliwice,Rakow,2.54,3.26,2.97,2.54,3.44,2.97,2.44,3.22,2.85
Poland,Ekstraklasa,25/07/2021,16:30,Slask Wroclaw,Warta Poznan,2.19,3.31,3.64,2.22,3.4,3.64,2.15,3.2,3.41
Poland,Ekstraklasa,25/07/2021,19:00,Pogon Szczecin,Gornik Z.,2.01,3.37,4.14,2.02,3.6,4.54,1.95,3.33,3.89
Poland,Ekstraklasa,26/07/2021,17:00,Wisla,Zaglebie,2.37,3.43,3.13,2.37,3.56,3.4,2.27,3.31,3.04
Romania,Liga 1,23/07/2021,16:30,FC Arges,UTA Arad,2.64,3.04,3.08,2.73,3.13,3.1,2.52,2.97,2.92
Romania,Liga 1,23/07/2021,19:30,Mioveni,FC Rapid Bucuresti,3.29,3,2.53,3.29,3.15,2.7,3.02,2.96,2.46
Romania,Liga 1,24/07/2021,16:30,FC Voluntari,FC Botosani,3.2,2.73,2.78,3.21,3,2.83,2.98,2.73,2.65
Romania,Liga 1,24/07/2021,19:30,Academica Clinceni,CFR Cluj,7.82,3.95,1.51,7.82,4.1,1.55,6.69,3.84,1.49
Romania,Liga 1,25/07/2021,16:30,Farul Constanta,Gaz Metan Medias,2.21,3.13,3.75,2.23,3.3,3.78,2.15,3.04,3.49
Romania,Liga 1,25/07/2021,19:30,FC Steaua Bucuresti,Univ. Craiova,2.38,3.19,3.28,2.4,3.36,3.33,2.28,3.12,3.12
Romania,Liga 1,26/07/2021,16:30,Chindia Targoviste,Sepsi Sf. Gheorghe,3.95,3.19,2.11,3.99,3.25,2.12,3.74,3.06,2.05
Romania,Liga 1,26/07/2021,19:30,U Craiova 1948,Din. Bucuresti,1.97,3.75,3.77,2.08,3.75,3.81,1.97,3.38,3.57
Russia,Premier League,23/07/2021,18:00,FK Rostov,Dynamo Moscow,2.91,3.11,2.76,2.96,3.16,2.83,2.79,3.03,2.69
Russia,Premier League,24/07/2021,15:30,Khimki,Zenit,8.62,5.32,1.37,10.09,5.45,1.39,8.38,5.02,1.35
Russia,Premier League,24/07/2021,18:00,Lokomotiv Moscow,Arsenal Tula,1.7,3.83,5.55,1.74,3.84,5.87,1.67,3.68,5.23
Russia,Premier League,24/07/2021,18:00,Rubin Kazan,Spartak Moscow,3.28,3.56,2.26,3.33,3.6,2.38,3.13,3.41,2.23
Russia,Premier League,25/07/2021,15:30,Ural,Krasnodar,4.74,3.77,1.73,5.04,3.85,1.82,4.6,3.66,1.74
Russia,Premier League,25/07/2021,17:00,FK Krylya Sovetov Samara,Akhmat Grozny,2.57,3.21,3.07,2.63,3.27,3.18,2.5,3.12,2.92
Russia,Premier League,25/07/2021,18:00,CSKA Moscow,Ufa,1.53,4.11,6.18,1.59,4.34,7.5,1.52,4.09,6.07
Russia,Premier League,26/07/2021,17:00,Nizhny Novgorod,Sochi,4.09,3.29,1.99,4.2,3.44,2.15,3.92,3.22,2.01
Sweden,Allsvenskan,24/07/2021,14:00,Mjallby,Malmo FF,5.15,4.05,1.69,5.15,4.1,1.74,4.83,3.95,1.67
Sweden,Allsvenskan,24/07/2021,16:30,Sirius,Degerfors,2.28,3.43,3.36,2.3,3.55,3.36,2.22,3.35,3.22
Sweden,Allsvenskan,25/07/2021,14:00,Kalmar,Djurgarden,3.76,3.64,2.05,3.78,3.65,2.12,3.54,3.48,2.04
Sweden,Allsvenskan,25/07/2021,16:30,Hacken,Elfsborg,2.45,3.52,2.98,2.46,3.53,3,2.38,3.41,2.88
Sweden,Allsvenskan,25/07/2021,16:30,Hammarby,Norrkoping,2.22,3.5,3.43,2.25,3.7,3.55,2.13,3.47,3.3
Sweden,Allsvenskan,26/07/2021,18:00,Orebro,AIK,4.91,3.85,1.75,4.91,3.85,1.82,4.53,3.66,1.76
Sweden,Allsvenskan,26/07/2021,18:00,Ostersunds,Halmstad,3.39,3.33,2.28,3.4,3.42,2.31,3.26,3.28,2.22
Sweden,Allsvenskan,26/07/2021,18:00,Varbergs,Goteborg,3.6,3.8,2.03,3.75,3.8,2.27,3.43,3.48,2.08
Switzerland,Super League,24/07/2021,17:00,Luzern,Young Boys,4.12,3.78,1.87,4.12,3.82,1.91,3.89,3.68,1.86
Switzerland,Super League,24/07/2021,19:30,Lausanne,St. Gallen,2.25,3.82,3.01,2.26,3.82,3.2,2.19,3.64,2.96
Switzerland,Super League,25/07/2021,13:15,Lugano,Zurich,2.28,3.67,3.04,2.29,3.69,3.25,2.2,3.51,3
Switzerland,Super League,25/07/2021,15:30,Grasshoppers,Basel,4.16,3.67,1.89,4.2,3.85,1.91,3.95,3.59,1.86
Switzerland,Super League,25/07/2021,15:30,Sion,Servette,3.15,3.73,2.21,3.4,3.76,2.21,3.11,3.55,2.14
USA,MLS,24/07/2021,20:30,Atlanta Utd,Columbus Crew,2.24,3.37,3.52,2.24,3.48,3.58,2.18,3.29,3.37
USA,MLS,25/07/2021,01:00,Chicago Fire,Toronto FC,2.1,3.95,3.34,2.16,3.95,3.35,2.07,3.79,3.21
USA,MLS,25/07/2021,01:00,Minnesota United,Portland Timbers,1.67,4.34,4.98,1.89,4.4,5.1,1.66,4.14,4.64
USA,MLS,25/07/2021,01:30,FC Dallas,Los Angeles Galaxy,2.01,3.91,3.62,2.11,3.92,3.62,2.02,3.72,3.39
USA,MLS,25/07/2021,01:30,Nashville SC,FC Cincinnati,1.57,4.06,6.65,1.64,4.2,6.66,1.57,3.94,5.9
USA,MLS,25/07/2021,03:00,Real Salt Lake,Colorado Rapids,2.32,3.49,3.17,2.35,3.58,3.2,2.26,3.43,3.07
USA,MLS,25/07/2021,03:00,San Jose Earthquakes,Houston Dynamo,2.27,3.62,3.22,2.37,3.7,3.22,2.22,3.51,3.08
USA,MLS,25/07/2021,03:30,Los Angeles FC,Vancouver Whitecaps,1.23,7.01,11.97,1.27,7.25,13,1.22,6.68,11.29
USA,MLS,25/07/2021,23:00,New England Revolution,Club de Foot Montreal,1.46,4.77,7.21,1.48,5.05,7.3,1.44,4.68,6.63
USA,MLS,25/07/2021,23:00,New York City,Orlando City,1.63,4.38,5.3,1.8,4.4,5.31,1.62,4.15,4.94
USA,MLS,26/07/2021,00:30,Inter Miami,Philadelphia Union,2.75,3.31,2.77,2.75,3.4,2.8,2.65,3.21,2.69
USA,MLS,26/07/2021,01:00,DC United,New York Red Bulls,2.23,3.4,3.5,2.24,3.54,3.52,2.16,3.36,3.34
USA,MLS,26/07/2021,02:00,Seattle Sounders,Sporting Kansas City,2.32,3.57,3.16,2.33,3.65,3.17,2.28,3.46,3
