"","4389","4390","4391","4392","4393","4394","4395","4396","4397","4398","4399","4400","4401","4402","4403","4404","4405","4406","4407","4408","4409","4410","4411","4412","4413","4414","4415","4416","4417","4418","4419","4420","4421","4422","4423","4424","4425","4426","4427","4428","4429","4430","4431","4432","4433","4434","4435","4436","4437","4438","4439","4440","4441","4442","4443","4444","4445","4446","4447","4448","4449","4450","4451","4452","4453","4454","4455","4456","4457","4458","4459","4460","4461","4462","4463","4464","4465","4466","4467","4468","4469","4470","4471","4472","4473","4474","4475","4476","4477","4478","4479","4480","4481","4482","4483","4484","4485","4486","4487","4488","4489","4490","4491","4492","4493","4494","4495","4496","4497","4498","4499","4500","4501","4502","4503","4504","4505","4506","4507","4508","4509","4510","4511","4512","4513","4514","4515","4516","4517","4518","4519","4520","4521","4522","4523","4524","4525","4526","4527","4528","4529","4530","4531","4532","4533","4534","4535","4536","4537","4538","4539","4540","4541","4542","4543","4544","4545","4546","4547","4548","4549","4550","4551","4552","4553","4554","4555","4556","4557","4558","4559","4560","4561","4562","4563","4564","4565","4566","4567","4568","4569","4570","4571","4572","4573","4574","4575","4576","4577","4578","4579","4580","4581","4582","4583","4584","4585","4586","4587","4588","4589","4590","4591","4592","4593","4594","4595","4596","4597","4598","4599","4600","4601","4602","4603","4604","4605","4606","4607","4608","4609","4610","4611","4612","4613","4614","4615","4616","4617","4618","4619","4620","4621","4622","4623","4624","4625","4626","4627","4628","4629","4630"
"PSH"," 2.64"," 4.29"," 1.91"," 1.91"," 1.73"," 9.63"," 3.57"," 4.78"," 4.39"," 1.36"," 1.71"," 1.17"," 3.37"," 3.56"," 1.43"," 2.20"," 1.06"," 2.28"," 2.16"," 6.08"," 1.63"," 1.30"," 1.25"," 1.30"," 2.74"," 4.48"," 1.69"," 1.69"," 1.95"," 1.84"," 6.98"," 4.86"," 4.28"," 1.21"," 1.56"," 1.25"," 2.09"," 1.36"," 1.22"," 5.32"," 2.92"," 5.35"," 2.02"," 3.56","13.03"," 1.73"," 2.49"," 1.78"," 3.02"," 2.11"," 2.96"," 9.95"," 4.29"," 1.97"," 1.11"," 1.43"," 3.52"," 3.37"," 4.89"," 2.75"," 1.18"," 1.23"," 2.92"," 3.63"," 3.18"," 2.93"," 4.45"," 1.65"," 1.46"," 3.50"," 1.39"," 1.64"," 3.06"," 3.60"," 1.14"," 5.43"," 1.67"," 5.45"," 4.16"," 1.26"," 1.44","12.91"," 4.56"," 3.04"," 1.35"," 1.75"," 2.01"," 4.44"," 1.27"," 1.67"," 2.51"," 3.07"," 1.24"," 4.08"," 1.49"," 1.52"," 1.21"," 4.56"," 1.72"," 1.50"," 1.71"," 1.15"," 1.73"," 5.78"," 2.54"," 1.56"," 3.10"," 1.92"," 2.57"," 4.06"," 8.68"," 1.39"," 2.29","25.71"," 1.87"," 1.35"," 2.35"," 4.59"," 1.16"," 2.07"," 1.86","12.91"," 4.43"," 1.99"," 1.62"," 2.88"," 1.71"," 3.57"," 3.50"," 4.42"," 1.83"," 3.85"," 1.72"," 3.23"," 1.69"," 2.27"," 1.79"," 1.86"," 2.61"," 3.28"," 1.48"," 1.60"," 7.52"," 3.02"," 5.73"," 5.17"," 1.66"," 1.87"," 1.14"," 2.79"," 2.46"," 3.37"," 1.47"," 2.38"," 2.94"," 1.77"," 1.16"," 2.35","16.30"," 1.60"," 1.66"," 2.43"," 2.66"," 7.45"," 1.44"," 1.89"," 6.40"," 2.77"," 4.62"," 1.13"," 2.34"," 2.42"," 1.59"," 2.04"," 1.37"," 2.22"," 2.87"," 2.09"," 3.98"," 4.91"," 2.93"," 7.15"," 1.97"," 3.83"," 1.43"," 2.25"," 2.09"," 1.90","10.99"," 8.42"," 1.48"," 1.38"," 1.32"," 1.75"," 5.79"," 3.55"," 8.22"," 1.57"," 3.55"," 2.56"," 3.21"," 1.67"," 1.18"," 1.76"," 3.41"," 2.57"," 1.27"," 3.59"," 1.42"," 2.68"," 1.75"," 1.92"," 3.46"," 2.11"," 3.12"," 1.29"," 1.74"," 1.50"," 5.86"," 1.24"," 6.33"," 2.10"," 3.38"," 3.93"," 2.79"," 5.39"," 1.46"," 1.93"," 1.95"," 3.40"," 1.86"," 2.01","10.95"," 2.98"," 4.52"," 1.33"," 3.19"," 1.79"," 2.77"," 1.53"," 2.22"," 1.06"
"PSD"," 3.57"," 4.23"," 3.74"," 3.70"," 4.01"," 6.61"," 3.39"," 4.19"," 3.92"," 5.30"," 4.11"," 7.67"," 3.78"," 3.50"," 4.93"," 3.53","14.98"," 3.53"," 3.84"," 4.70"," 4.43"," 6.31"," 6.63"," 6.17"," 3.56"," 4.18"," 4.59"," 4.15"," 3.77"," 3.95"," 5.12"," 4.20"," 4.25"," 7.35"," 4.44"," 6.52"," 3.53"," 5.53"," 7.44"," 4.19"," 3.60"," 4.46"," 3.99"," 3.44"," 7.12"," 4.20"," 3.63"," 4.15"," 3.61"," 3.76"," 3.98"," 5.97"," 4.17"," 3.76","11.93"," 4.80"," 3.71"," 3.91"," 4.37"," 3.85"," 7.71"," 6.69"," 3.65"," 4.17"," 3.70"," 3.79"," 4.06"," 3.75"," 4.76"," 3.94"," 5.22"," 4.34"," 3.45"," 3.85"," 9.98"," 4.45"," 4.33"," 4.23"," 4.37"," 6.50"," 5.13"," 7.26"," 4.42"," 3.49"," 5.53"," 4.21"," 3.58"," 4.56"," 6.36"," 4.35"," 3.72"," 3.97"," 7.08"," 4.04"," 4.48"," 4.33"," 6.89"," 3.97"," 4.18"," 4.58"," 4.32"," 8.63"," 4.19"," 4.56"," 3.63"," 4.72"," 3.70"," 3.83"," 3.36"," 4.46"," 5.33"," 5.42"," 3.72","11.26"," 4.19"," 5.56"," 3.65"," 4.38"," 8.60"," 3.77"," 3.93"," 8.05"," 4.27"," 3.52"," 4.32"," 3.71"," 4.31"," 3.86"," 3.81"," 4.28"," 3.81"," 3.94"," 3.91"," 3.71"," 4.26"," 3.77"," 3.92"," 4.09"," 3.72"," 3.58"," 4.68"," 4.15"," 5.59"," 3.51"," 4.50"," 4.27"," 4.32"," 3.65"," 9.16"," 3.68"," 3.52"," 3.89"," 5.03"," 3.55"," 3.58"," 3.93"," 8.41"," 3.55"," 8.72"," 4.55"," 3.93"," 3.70"," 3.42"," 5.05"," 4.79"," 3.83"," 4.83"," 3.66"," 4.33","10.15"," 3.74"," 3.48"," 3.99"," 3.85"," 5.33"," 3.73"," 3.76"," 3.76"," 4.33"," 4.34"," 3.38"," 4.77"," 3.91"," 4.17"," 5.05"," 3.64"," 3.55"," 3.85"," 5.92"," 5.43"," 4.87"," 5.34"," 5.76"," 4.00"," 4.89"," 3.77"," 5.32"," 4.54"," 3.78"," 3.46"," 3.72"," 4.31"," 8.48"," 3.90"," 3.64"," 3.50"," 6.08"," 3.72"," 5.06"," 3.47"," 3.97"," 3.71"," 4.23"," 3.93"," 3.51"," 6.25"," 4.06"," 4.45"," 4.35"," 6.79"," 5.02"," 3.61"," 4.07"," 3.69"," 3.70"," 4.26"," 4.87"," 3.56"," 3.65"," 4.15"," 4.11"," 3.87"," 6.62"," 3.52"," 4.21"," 5.65"," 3.30"," 4.16"," 3.86"," 4.44"," 3.44","14.99"
"PSA"," 2.68"," 1.76"," 4.10"," 4.14"," 4.77"," 1.28"," 2.18"," 1.68"," 1.83"," 8.56"," 4.67","16.83"," 2.09"," 2.11"," 7.17"," 3.30","42.06"," 3.28"," 3.28"," 1.53"," 5.27"," 9.79","11.32"," 9.99"," 2.62"," 1.76"," 4.48"," 5.02"," 3.98"," 4.28"," 1.44"," 1.70"," 1.78","15.28"," 6.06","12.22"," 3.74"," 8.79","12.04"," 1.65"," 2.45"," 1.61"," 3.53"," 2.19"," 1.22"," 4.66"," 2.85"," 4.42"," 2.38"," 3.46"," 2.28"," 1.31"," 1.79"," 3.92","21.63"," 7.91"," 2.11"," 2.10"," 1.67"," 2.47","17.27","13.22"," 2.43"," 1.94"," 2.26"," 2.37"," 1.71"," 6.28"," 7.25"," 2.04"," 8.15"," 5.21"," 2.43"," 2.04","17.47"," 1.61"," 4.99"," 1.64"," 1.78","10.89"," 7.00"," 1.22"," 1.71"," 2.43"," 8.95"," 4.54"," 3.97"," 1.70","10.91"," 4.94"," 2.78"," 2.22","11.36"," 1.86"," 7.35"," 7.01","14.93"," 1.79"," 4.75"," 6.82"," 4.66","12.93"," 4.69"," 1.56"," 2.79"," 5.59"," 2.30"," 4.04"," 2.93"," 1.79"," 1.37"," 7.82"," 3.11"," 1.10"," 3.91"," 8.83"," 3.04"," 1.71","17.29"," 3.58"," 4.20"," 1.20"," 1.75"," 4.13"," 5.46"," 2.43"," 4.65"," 2.04"," 2.08"," 1.75"," 4.50"," 1.93"," 5.13"," 2.23"," 4.91"," 3.10"," 4.63"," 4.02"," 2.66"," 2.25"," 7.09"," 6.03"," 1.39"," 2.43"," 1.57"," 1.66"," 5.07"," 4.53","19.32"," 2.51"," 2.97"," 2.10"," 6.48"," 3.07"," 2.45"," 4.74","17.65"," 3.12"," 1.16"," 5.33"," 5.74"," 2.89"," 2.79"," 1.43"," 7.71"," 4.18"," 1.50"," 2.54"," 1.71","21.68"," 3.01"," 3.06"," 6.57"," 3.60"," 8.66"," 3.23"," 2.42"," 3.53"," 1.83"," 1.68"," 2.56"," 1.47"," 3.75"," 1.89"," 7.38"," 3.23"," 3.73"," 4.10"," 1.28"," 1.37"," 6.68"," 8.34"," 9.71"," 4.81"," 1.53"," 2.08"," 1.38"," 5.66"," 2.07"," 2.88"," 2.23"," 4.98","14.57"," 4.86"," 2.17"," 2.83","11.34"," 2.08"," 7.61"," 2.73"," 4.68"," 4.19"," 1.99"," 3.33"," 2.37","10.51"," 4.83"," 7.09"," 1.58","12.39"," 1.48"," 3.62"," 2.06"," 1.98"," 2.51"," 1.64"," 7.14"," 4.35"," 4.10"," 2.02"," 4.00"," 3.66"," 1.27"," 2.45"," 1.75"," 9.63"," 2.43"," 4.31"," 2.45"," 6.49"," 3.48","41.83"
"HTCS","1-0","0-1","1-0","1-0","0-0","0-1","0-1","0-1","1-0","0-1","1-0","1-0","0-3","0-1","1-1","0-0","2-0","2-0","1-0","1-1","1-0","1-0","1-1","1-0","1-1","1-0","1-1","2-0","1-1","0-0","0-0","0-4","1-1","1-0","0-1","2-0","0-1","1-0","3-0","0-1","0-0","0-3","0-2","0-0","0-4","1-1","0-0","2-0","0-2","0-0","1-0","0-0","0-1","3-0","2-1","1-0","1-0","2-0","2-2","0-3","1-0","1-0","2-1","0-1","0-1","0-0","0-0","0-0","3-0","0-2","2-0","2-1","1-1","1-0","3-0","1-2","1-0","0-1","0-1","1-0","0-2","0-3","1-1","1-1","0-0","0-0","0-0","0-2","0-0","1-0","1-1","3-0","0-1","0-1","0-0","1-0","0-0","0-1","0-1","0-0","0-1","3-0","1-0","0-0","0-2","2-0","0-2","0-0","1-1","0-1","0-2","0-0","1-0","0-4","0-1","2-2","1-1","2-1","1-1","0-1","2-0","0-1","0-0","0-0","0-0","1-0","0-1","0-3","0-1","1-0","1-2","0-1","0-3","0-1","1-2","1-0","2-0","0-2","0-1","0-0","0-0","1-0","0-1","0-0","0-2","1-1","1-0","0-0","0-0","1-0","0-2","0-0","1-0","1-0","0-0","1-0","1-0","0-0","0-1","0-0","0-0","1-1","0-2","0-0","2-0","0-0","3-0","0-0","2-0","0-0","0-0","1-0","1-2","1-0","0-0","0-0","3-0","1-0","0-1","1-0","0-1","0-0","0-1","0-0","2-0","0-0","1-0","1-1","1-0","0-1","1-0","1-0","0-0","0-1","0-3","2-1","1-1","1-0","2-1","1-0","2-0","0-1","3-0","0-0","0-0","0-1","0-1","0-0","1-1","1-1","0-0","0-0","1-0","2-2","0-1","3-0","0-0","1-0","0-1","1-0","0-2","0-0","1-0","0-0","1-0","0-0","3-1","0-1","0-0","0-1","1-1","1-1","0-2","0-0","0-0","1-0","2-1","0-0","1-0","0-0","0-0","4-0"
"CS","2-0","0-2","2-0","3-5","2-0","0-1","1-3","0-1","1-1","1-1","2-0","2-1","1-3","0-1","1-1","4-0","3-0","3-1","4-0","3-3","1-0","2-1","4-2","3-1","1-1","1-1","1-1","3-0","1-2","1-1","1-0","4-4","1-4","2-0","0-1","2-2","0-3","1-1","5-1","0-2","0-0","0-3","2-2","1-1","0-13","2-1","0-0","4-0","1-3","1-1","2-1","2-2","2-2","5-1","5-2","2-1","1-3","4-1","2-3","1-4","4-0","3-0","2-2","2-4","3-2","0-2","0-3","2-0","3-1","0-3","3-0","2-1","1-1","1-1","5-0","1-3","6-0","1-1","1-1","1-0","0-2","0-5","1-1","2-2","2-0","1-1","1-0","1-2","1-0","2-1","3-2","3-2","1-2","2-1","0-0","1-2","1-1","2-2","1-2","2-0","1-1","4-0","1-1","0-3","1-3","2-1","1-3","0-0","2-3","1-2","1-4","1-1","1-0","2-4","1-2","5-3","2-1","2-3","4-1","0-2","3-1","1-1","0-2","0-1","3-0","2-2","0-1","1-4","0-2","1-1","2-2","0-2","1-3","2-1","2-2","1-0","4-0","1-3","1-4","0-1","1-0","1-1","1-3","2-3","1-4","3-5","2-0","0-2","2-1","1-1","2-2","1-1","1-0","1-3","0-0","1-0","2-0","1-0","1-2","0-1","1-0","2-3","2-2","0-2","3-0","0-1","4-1","1-2","3-0","3-1","0-0","1-0","3-3","3-2","1-1","0-0","3-1","2-0","0-3","1-1","0-1","0-1","1-1","1-0","3-0","1-0","1-0","1-2","2-2","0-2","3-1","5-0","3-1","0-2","0-6","3-2","1-4","2-0","2-2","1-1","3-0","3-1","4-2","1-1","0-0","4-1","0-1","0-0","4-1","2-2","0-2","1-0","1-1","4-2","1-1","6-0","1-1","3-0","1-2","3-1","1-3","2-1","2-1","0-1","3-1","1-2","4-1","1-1","2-0","1-3","1-1","1-3","0-2","0-0","0-1","1-1","3-1","2-1","2-0","0-0","1-1","5-0"
"HS","13","17","14","15","22","14","14"," 7"," 9","13","26","21","25"," 6","18","19","23"," 7","20","13","16","18","24","12","10"," 9","38","15","10","17","11","17"," 6"," 9","24","20","18","11","16","11","16","12","17","11"," 3","12","20","14"," 5","10"," 7"," 8"," 9"," 8","30","14","12","15"," 9","15","22","19","10","10"," 9"," 7"," 5"," 9"," 9"," 9","16"," 8"," 7","10","18","14","22","11","22","24","14"," 3"," 5","11","20"," 9","18"," 3","11"," 7","25"," 7","19","16","20"," 5","20","12","14"," 8","27","22","16"," 8"," 8"," 6","13","16","15"," 6","15","21","12"," 5","16","19","18","15","29","10","11","10"," 8","13","28","14","17"," 8","12"," 5","19","11","10","12","11","16","20","14","14"," 9","21","10","12","16"," 6","12","16"," 8","19","17","17"," 7","12"," 9","13","15","12"," 9"," 8","21","11","13","10"," 5","14","11","11","14","15","27","12"," 8","19"," 9","11","19"," 6","12"," 8"," 8","15"," 6","19","11","25","19","14","16"," 5","14","15","23","24","10"," 7","14"," 5","13"," 9"," 8"," 8","22","16","13"," 8","21","12","10","23"," 9","13"," 4"," 9"," 9","15","21","12","18","13","21","11","18","10"," 8","17"," 9","11"," 8","16"," 9","12","15"," 1","11"," 9","19","17","19"," 9","12"," 7","18"
"HST"," 7"," 5"," 5"," 5"," 5"," 3"," 2"," 3"," 3"," 3"," 9"," 5"," 7"," 0"," 5"," 5","10"," 7"," 8"," 5"," 8"," 4","12"," 7"," 2"," 2"," 6"," 7"," 3"," 7"," 3"," 7"," 3"," 5"," 6"," 7"," 9"," 1"," 5"," 4"," 1"," 3"," 8"," 3"," 0"," 5"," 4"," 5"," 2"," 5"," 5"," 6"," 3"," 5"," 9"," 6"," 7"," 7"," 3"," 6"," 9","11"," 6"," 4"," 4"," 4"," 2"," 6"," 6"," 1"," 8"," 5"," 3"," 4","13"," 7","13"," 4","10"," 8"," 6"," 1"," 2"," 2"," 4"," 2"," 3"," 1"," 5"," 2","10"," 4"," 5"," 5"," 7"," 2"," 6"," 7"," 4"," 4"," 7","13"," 7"," 3"," 3"," 3"," 5"," 5"," 4"," 1"," 4"," 5"," 4"," 3"," 2"," 8"," 7"," 4"," 9"," 1"," 4"," 5"," 1"," 5"," 9"," 6"," 5"," 1"," 5"," 2"," 6"," 1"," 2"," 4"," 4"," 4","11"," 3"," 4"," 4"," 4"," 6"," 5"," 6"," 4"," 5"," 8"," 2"," 5"," 7"," 6"," 2"," 2"," 4"," 4"," 4"," 5"," 3"," 5"," 5"," 2"," 6"," 4"," 2"," 6"," 3"," 6"," 7"," 6"," 9"," 5"," 3"," 8"," 7"," 6"," 4"," 5"," 4"," 3"," 5"," 3"," 1"," 8"," 3"," 8"," 6"," 7"," 6"," 2"," 2"," 9","12","11"," 1"," 1"," 5"," 1"," 5"," 6"," 2"," 5","15"," 7"," 3"," 3","10"," 5"," 2"," 8"," 6"," 2"," 1"," 5"," 7"," 5","10"," 5"," 7"," 6"," 8"," 4"," 8"," 4"," 3"," 8"," 2"," 4"," 3"," 3"," 3"," 7"," 3"," 1"," 4"," 1"," 6","10"," 5"," 5"," 4"," 1","10"
"AS","10","13"," 2","14"," 8"," 9","16","17","26","14"," 2"," 7","10","13","10"," 7"," 6","11"," 9","12","13","24","11","12","14"," 9","10"," 3","15"," 7","19","15","16","16"," 5","11","16","11"," 9","20","14","12","15","21","45"," 9","12"," 9","17","19","12","18","23","10","11"," 8","17","10","24","12"," 5"," 3","12","23"," 7","20","19"," 8","15","15"," 6","13"," 9"," 2"," 8","16"," 2","16","12"," 5","10","27","22","13","11","16"," 4","13"," 4","12","10","11","13","12"," 4","16"," 9","12"," 5","11"," 7"," 6","14","21","18","15","13"," 5","12","18","17","14","24","30"," 8","11","10","16"," 4","12","16","32","20"," 8","11","12","11","10","12","15"," 7","13"," 9","17"," 7"," 8"," 8"," 6","15","19"," 8","15","21","11","15","11"," 3","13"," 3","13","10","20"," 9","21","13"," 4"," 7"," 6","19"," 7","11","13"," 7","20"," 7","12","24","15","15"," 7"," 6","13","10","12","11"," 4","17","18","13","12","10","16"," 7","11"," 5"," 5","12"," 8","35"," 7"," 5"," 6","11"," 6","20","10","20"," 4","10","16"," 7","10","12"," 8","19","10","13"," 4"," 5"," 7","13"," 5","17"," 9","14"," 5"," 9","12","17"," 9","12"," 8","13","12","14","10","11","15"," 4","10","10","10","21","13","16","10","19","12","15","10","13"," 2"
"AST"," 5"," 6"," 0"," 7"," 1"," 4"," 6"," 6"," 8"," 4"," 1"," 2"," 5"," 6"," 3"," 2"," 3"," 5"," 2"," 4"," 2"," 5"," 5"," 4"," 2"," 2"," 3"," 0"," 5"," 2"," 3"," 6"," 8"," 5"," 1"," 4"," 8"," 5"," 5"," 8"," 6"," 5"," 5"," 6","23"," 3"," 3"," 2","10"," 2"," 4"," 8"," 7"," 5"," 7"," 2"," 4"," 5"," 7"," 6"," 3"," 1"," 1"," 9"," 2"," 7"," 6"," 1"," 5"," 6"," 2"," 2"," 1"," 2"," 2"," 8"," 1"," 5"," 5"," 3"," 7","12"," 4"," 6"," 2"," 7"," 1"," 7"," 0"," 3"," 6"," 3"," 5"," 4"," 3"," 3"," 2"," 4"," 1"," 3"," 2"," 3"," 6"," 8"," 9"," 8"," 7"," 3"," 6"," 9","10"," 7"," 4","12"," 2"," 5"," 4"," 6"," 1"," 6"," 5"," 8"," 6"," 2"," 4"," 6"," 5"," 6"," 3"," 4"," 2"," 3"," 4"," 6"," 7"," 5"," 1"," 4"," 8"," 5"," 2"," 4","12"," 4","10"," 7"," 0"," 7"," 2"," 6"," 5"," 7"," 4"," 6"," 4"," 1"," 3"," 2"," 8"," 6"," 1"," 8"," 4"," 9"," 1"," 5"," 5"," 9"," 1"," 4"," 2"," 3"," 4"," 3"," 5"," 1"," 6"," 2"," 7"," 4"," 5"," 5"," 3"," 3"," 2"," 2"," 4"," 3","15"," 3"," 4"," 3"," 3"," 3"," 8"," 2","10"," 1"," 2"," 2"," 0"," 3"," 4"," 3"," 4"," 4"," 4"," 0"," 2"," 3"," 4"," 1"," 3"," 5"," 5"," 0"," 2"," 3"," 5"," 4"," 6"," 3"," 4"," 5"," 4"," 4"," 4"," 4"," 0"," 5"," 3"," 5"," 6"," 1"," 7"," 5"," 6"," 4"," 4"," 4"," 4"," 0"
"total_goals"," 2"," 2"," 2"," 8"," 2"," 1"," 4"," 1"," 2"," 2"," 2"," 3"," 4"," 1"," 2"," 4"," 3"," 4"," 4"," 6"," 1"," 3"," 6"," 4"," 2"," 2"," 2"," 3"," 3"," 2"," 1"," 8"," 5"," 2"," 1"," 4"," 3"," 2"," 6"," 2"," 0"," 3"," 4"," 2","13"," 3"," 0"," 4"," 4"," 2"," 3"," 4"," 4"," 6"," 7"," 3"," 4"," 5"," 5"," 5"," 4"," 3"," 4"," 6"," 5"," 2"," 3"," 2"," 4"," 3"," 3"," 3"," 2"," 2"," 5"," 4"," 6"," 2"," 2"," 1"," 2"," 5"," 2"," 4"," 2"," 2"," 1"," 3"," 1"," 3"," 5"," 5"," 3"," 3"," 0"," 3"," 2"," 4"," 3"," 2"," 2"," 4"," 2"," 3"," 4"," 3"," 4"," 0"," 5"," 3"," 5"," 2"," 1"," 6"," 3"," 8"," 3"," 5"," 5"," 2"," 4"," 2"," 2"," 1"," 3"," 4"," 1"," 5"," 2"," 2"," 4"," 2"," 4"," 3"," 4"," 1"," 4"," 4"," 5"," 1"," 1"," 2"," 4"," 5"," 5"," 8"," 2"," 2"," 3"," 2"," 4"," 2"," 1"," 4"," 0"," 1"," 2"," 1"," 3"," 1"," 1"," 5"," 4"," 2"," 3"," 1"," 5"," 3"," 3"," 4"," 0"," 1"," 6"," 5"," 2"," 0"," 4"," 2"," 3"," 2"," 1"," 1"," 2"," 1"," 3"," 1"," 1"," 3"," 4"," 2"," 4"," 5"," 4"," 2"," 6"," 5"," 5"," 2"," 4"," 2"," 3"," 4"," 6"," 2"," 0"," 5"," 1"," 0"," 5"," 4"," 2"," 1"," 2"," 6"," 2"," 6"," 2"," 3"," 3"," 4"," 4"," 3"," 3"," 1"," 4"," 3"," 5"," 2"," 2"," 4"," 2"," 4"," 2"," 0"," 1"," 2"," 4"," 3"," 2"," 0"," 2"," 5"
"OV25","N","N","N","Y","N","N","Y","N","N","N","N","Y","Y","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","N","N","N","Y","Y","N","N","Y","Y","N","N","Y","Y","N","Y","N","N","Y","Y","N","Y","Y","N","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","N","Y","Y","Y","Y","N","N","Y","Y","Y","N","N","N","N","Y","N","Y","N","N","N","Y","N","Y","Y","Y","Y","Y","N","Y","N","Y","Y","N","N","Y","N","Y","Y","Y","Y","N","Y","Y","Y","N","N","Y","Y","Y","Y","Y","Y","N","Y","N","N","N","Y","Y","N","Y","N","N","Y","N","Y","Y","Y","N","Y","Y","Y","N","N","N","Y","Y","Y","Y","N","N","Y","N","Y","N","N","Y","N","N","N","N","Y","N","N","Y","Y","N","Y","N","Y","Y","Y","Y","N","N","Y","Y","N","N","Y","N","Y","N","N","N","N","N","Y","N","N","Y","Y","N","Y","Y","Y","N","Y","Y","Y","N","Y","N","Y","Y","Y","N","N","Y","N","N","Y","Y","N","N","N","Y","N","Y","N","Y","Y","Y","Y","Y","Y","N","Y","Y","Y","N","N","Y","N","Y","N","N","N","N","Y","Y","N","N","N","Y"
