"","HT","AT","matchid","HomeTeam","AwayTeam","CS","TG"
"73","Annan Athletic","Forfar","Annan Athletic-Forfar","Annan Athletic","Forfar","0-2",2
"74","Elgin","Stranraer","Elgin-Stranraer","Elgin","Stranraer","1-1",2
"75","Kelty Hearts","Cowdenbeath","Kelty Hearts-Cowdenbeath","Kelty Hearts","Cowdenbeath","2-0",2
"76","Stenhousemuir","Stirling","Stenhousemuir-Stirling","Stenhousemuir","Stirling","0-1",1
"77","Club Brugge","Cercle Brugge","Club Brugge-Cercle Brugge","Club Brugge","Cercle Brugge","1-1",2
"78","Bournemouth","West Brom","Bournemouth-West Brom","Bournemouth","West Brom","2-2",4
"79","Monaco","Nantes","Monaco-Nantes","Monaco","Nantes","1-1",2
"80","Sp Lisbon","Vizela","Sp Lisbon-Vizela","Sp Lisbon","Vizela","3-0",3
"81","Beerschot VA","St. Gilloise","Beerschot VA-St. Gilloise","Beerschot VA","St. Gilloise","0-3",3
"82","Mechelen","Eupen","Mechelen-Eupen","Mechelen","Eupen","1-3",4
"83","St Truiden","Waregem","St Truiden-Waregem","St Truiden","Waregem","1-3",4
"84","Kortrijk","Genk","Kortrijk-Genk","Kortrijk","Genk","1-2",3
"85","Blackburn","Swansea","Blackburn-Swansea","Blackburn","Swansea","2-1",3
"86","Bristol City","Blackpool","Bristol City-Blackpool","Bristol City","Blackpool","1-1",2
"87","Cardiff","Barnsley","Cardiff-Barnsley","Cardiff","Barnsley","1-1",2
"88","Derby","Huddersfield","Derby-Huddersfield","Derby","Huddersfield","1-1",2
"89","Luton","Peterboro","Luton-Peterboro","Luton","Peterboro","3-0",3
"90","Preston","Hull","Preston-Hull","Preston","Hull","1-4",5
"91","QPR","Millwall","QPR-Millwall","QPR","Millwall","1-1",2
"92","Stoke","Reading","Stoke-Reading","Stoke","Reading","3-2",5
"93","Sheffield United","Birmingham","Sheffield United-Birmingham","Sheffield United","Birmingham","0-1",1
"94","Bolton","Milton Keynes Dons","Bolton-Milton Keynes Dons","Bolton","Milton Keynes Dons","3-3",6
"95","Cambridge","Oxford","Cambridge-Oxford","Cambridge","Oxford","1-1",2
"96","Crewe","Cheltenham","Crewe-Cheltenham","Crewe","Cheltenham","1-1",2
"97","Doncaster","AFC Wimbledon","Doncaster-AFC Wimbledon","Doncaster","AFC Wimbledon","1-2",3
"98","Fleetwood Town","Portsmouth","Fleetwood Town-Portsmouth","Fleetwood Town","Portsmouth","0-1",1
"99","Gillingham","Lincoln","Gillingham-Lincoln","Gillingham","Lincoln","1-1",2
"100","Ipswich","Morecambe","Ipswich-Morecambe","Ipswich","Morecambe","2-2",4
"101","Rotherham","Plymouth","Rotherham-Plymouth","Rotherham","Plymouth","2-0",2
"102","Shrewsbury","Burton","Shrewsbury-Burton","Shrewsbury","Burton","0-1",1
"103","Sunderland","Wigan","Sunderland-Wigan","Sunderland","Wigan","2-1",3
"104","Wycombe","Accrington","Wycombe-Accrington","Wycombe","Accrington","2-1",3
"105","Charlton","Sheffield Weds","Charlton-Sheffield Weds","Charlton","Sheffield Weds","0-0",0
"106","Carlisle","Colchester","Carlisle-Colchester","Carlisle","Colchester","0-0",0
"107","Exeter","Bradford","Exeter-Bradford","Exeter","Bradford","0-0",0
"108","Forest Green","Sutton","Forest Green-Sutton","Forest Green","Sutton","2-1",3
"109","Harrogate","Rochdale","Harrogate-Rochdale","Harrogate","Rochdale","3-2",5
"110","Hartlepool","Crawley Town","Hartlepool-Crawley Town","Hartlepool","Crawley Town","1-0",1
"111","Mansfield","Bristol Rvs","Mansfield-Bristol Rvs","Mansfield","Bristol Rvs","2-1",3
"112","Northampton","Port Vale","Northampton-Port Vale","Northampton","Port Vale","1-0",1
"113","Oldham","Newport County","Oldham-Newport County","Oldham","Newport County","0-1",1
"114","Salford","Leyton Orient","Salford-Leyton Orient","Salford","Leyton Orient","1-1",2
"115","Scunthorpe","Swindon","Scunthorpe-Swindon","Scunthorpe","Swindon","1-3",4
"116","Stevenage","Barrow","Stevenage-Barrow","Stevenage","Barrow","1-0",1
"117","Tranmere","Walsall","Tranmere-Walsall","Tranmere","Walsall","1-0",1
"118","Lyon","Brest","Lyon-Brest","Lyon","Brest","1-1",2
"119","Troyes","Paris SG","Troyes-Paris SG","Troyes","Paris SG","1-2",3
"120","Caen","Sochaux","Caen-Sochaux","Caen","Sochaux","1-2",3
"121","Amiens","Quevilly Rouen","Amiens-Quevilly Rouen","Amiens","Quevilly Rouen","1-3",4
"122","Auxerre","Ajaccio","Auxerre-Ajaccio","Auxerre","Ajaccio","0-0",0
"123","Dijon","Rodez","Dijon-Rodez","Dijon","Rodez","1-1",2
"124","Dunkerque","Niort","Dunkerque-Niort","Dunkerque","Niort","1-2",3
"125","Grenoble","Guingamp","Grenoble-Guingamp","Grenoble","Guingamp","0-0",0
"126","Le Havre","Paris FC","Le Havre-Paris FC","Le Havre","Paris FC","1-2",3
"127","Pau FC","Toulouse","Pau FC-Toulouse","Pau FC","Toulouse","0-1",1
"128","Valenciennes","Nimes","Valenciennes-Nimes","Valenciennes","Nimes","0-3",3
"129","Arouca","Estoril","Arouca-Estoril","Arouca","Estoril","0-2",2
"130","Moreirense","Benfica","Moreirense-Benfica","Moreirense","Benfica","1-2",3
"131","Maritimo","Sp Braga","Maritimo-Sp Braga","Maritimo","Sp Braga","0-2",2
"132","Dundee United","Rangers","Dundee United-Rangers","Dundee United","Rangers","1-0",1
"133","St Mirren","Hearts","St Mirren-Hearts","St Mirren","Hearts","1-2",3
"134","Ayr","Arbroath","Ayr-Arbroath","Ayr","Arbroath","2-2",4
"135","Dunfermline","Partick","Dunfermline-Partick","Dunfermline","Partick","0-3",3
"136","Hamilton","Morton","Hamilton-Morton","Hamilton","Morton","0-1",1
"137","Inverness C","Raith Rvs","Inverness C-Raith Rvs","Inverness C","Raith Rvs","1-0",1
"138","Queen of Sth","Kilmarnock","Queen of Sth-Kilmarnock","Queen of Sth","Kilmarnock","0-1",1
"139","Alloa","East Fife","Alloa-East Fife","Alloa","East Fife","3-1",4
"140","Dumbarton","Airdrie Utd","Dumbarton-Airdrie Utd","Dumbarton","Airdrie Utd","2-2",4
"141","Falkirk","Peterhead","Falkirk-Peterhead","Falkirk","Peterhead","2-1",3
"142","Montrose","Clyde","Montrose-Clyde","Montrose","Clyde","2-2",4
"143","Queens Park","Cove Rangers","Queens Park-Cove Rangers","Queens Park","Cove Rangers","2-0",2
"144","Albion Rvs","Stenhousemuir","Albion Rvs-Stenhousemuir","Albion Rvs","Stenhousemuir","2-2",4
"145","Cowdenbeath","Elgin","Cowdenbeath-Elgin","Cowdenbeath","Elgin","3-1",4
"146","Forfar","Edinburgh City","Forfar-Edinburgh City","Forfar","Edinburgh City","2-0",2
"147","Stirling","Kelty Hearts","Stirling-Kelty Hearts","Stirling","Kelty Hearts","1-3",4
"148","Stranraer","Annan Athletic","Stranraer-Annan Athletic","Stranraer","Annan Athletic","0-3",3
"149","Standard","Antwerp","Standard-Antwerp","Standard","Antwerp","2-5",7
"150","Oud-Heverlee Leuven","Charleroi","Oud-Heverlee Leuven-Charleroi","Oud-Heverlee Leuven","Charleroi","1-1",2
"151","Anderlecht","Seraing","Anderlecht-Seraing","Anderlecht","Seraing","3-0",3
"152","Oostende","Gent","Oostende-Gent","Oostende","Gent","1-0",1
"153","Fulham","Middlesbrough","Fulham-Middlesbrough","Fulham","Middlesbrough","1-1",2
"154","Coventry","Nottm Forest","Coventry-Nottm Forest","Coventry","Nottm Forest","2-1",3
"155","Rennes","Lens","Rennes-Lens","Rennes","Lens","1-1",2
"156","Bordeaux","Clermont","Bordeaux-Clermont","Bordeaux","Clermont","0-2",2
"157","Nice","Reims","Nice-Reims","Nice","Reims","0-0",0
"158","St Etienne","Lorient","St Etienne-Lorient","St Etienne","Lorient","1-1",2
"159","Strasbourg","Angers","Strasbourg-Angers","Strasbourg","Angers","0-2",2
"160","Metz","Lille","Metz-Lille","Metz","Lille","3-3",6
"161","Montpellier","Marseille","Montpellier-Marseille","Montpellier","Marseille","2-3",5
"162","Guimaraes","Portimonense","Guimaraes-Portimonense","Guimaraes","Portimonense","0-1",1
"163","Tondela","Santa Clara","Tondela-Santa Clara","Tondela","Santa Clara","3-0",3
"164","Porto","Belenenses","Porto-Belenenses","Porto","Belenenses","2-0",2
"165","Pacos Ferreira","Famalicao","Pacos Ferreira-Famalicao","Pacos Ferreira","Famalicao","2-0",2
"166","Celtic","Dundee","Celtic-Dundee","Celtic","Dundee","6-0",6
"167","Hibernian","Ross County","Hibernian-Ross County","Hibernian","Ross County","3-0",3
"168","Livingston","Aberdeen","Livingston-Aberdeen","Livingston","Aberdeen","1-2",3
"169","St Johnstone","Motherwell","St Johnstone-Motherwell","St Johnstone","Motherwell","1-1",2
"170","Gil Vicente","Boavista","Gil Vicente-Boavista","Gil Vicente","Boavista","3-0",3
"171","Bastia","Nancy","Bastia-Nancy","Bastia","Nancy","1-1",2
"172","Charleroi","Antwerp","Charleroi-Antwerp","Charleroi","Antwerp","1-1",2
"173","Mgladbach","Bayern Munich","Mgladbach-Bayern Munich","Mgladbach","Bayern Munich","1-1",2
"174","Schalke 04","Erzgebirge Aue","Schalke 04-Erzgebirge Aue","Schalke 04","Erzgebirge Aue","1-1",2
"175","St Pauli","Hamburg","St Pauli-Hamburg","St Pauli","Hamburg","3-2",5
"176","Brentford","Arsenal","Brentford-Arsenal","Brentford","Arsenal","2-0",2
"177","Lorient","Monaco","Lorient-Monaco","Lorient","Monaco","1-0",1
"178","Go Ahead Eagles","Heerenveen","Go Ahead Eagles-Heerenveen","Go Ahead Eagles","Heerenveen","0-1",1
"179","Estoril","Guimaraes","Estoril-Guimaraes","Estoril","Guimaraes","0-0",0
"180","Edinburgh City","Stenhousemuir","Edinburgh City-Stenhousemuir","Edinburgh City","Stenhousemuir","1-0",1
"181","Valencia","Getafe","Valencia-Getafe","Valencia","Getafe","1-0",1
"182","Huesca","Eibar","Huesca-Eibar","Huesca","Eibar","2-0",2
"183","Zaragoza","Ibiza","Zaragoza-Ibiza","Zaragoza","Ibiza","0-0",0
"184","Besiktas","Rizespor","Besiktas-Rizespor","Besiktas","Rizespor","3-0",3
"185","St. Gilloise","Kortrijk","St. Gilloise-Kortrijk","St. Gilloise","Kortrijk","2-0",2
"186","Eupen","St Truiden","Eupen-St Truiden","Eupen","St Truiden","2-1",3
"187","Seraing","Oostende","Seraing-Oostende","Seraing","Oostende","2-3",5
