"","HT","AT","matchid","HomeTeam","AwayTeam","CS","TG"
"602","Ipswich","AFC Wimbledon","Ipswich-AFC Wimbledon","Ipswich","AFC Wimbledon","2-2",4
"603","Milton Keynes Dons","Accrington","Milton Keynes Dons-Accrington","Milton Keynes Dons","Accrington","2-0",2
"604","Morecambe","Sheffield Weds","Morecambe-Sheffield Weds","Morecambe","Sheffield Weds","1-0",1
"605","Oxford","Lincoln","Oxford-Lincoln","Oxford","Lincoln","3-1",4
"606","Plymouth","Fleetwood Town","Plymouth-Fleetwood Town","Plymouth","Fleetwood Town","1-1",2
"607","Shrewsbury","Gillingham","Shrewsbury-Gillingham","Shrewsbury","Gillingham","2-1",3
"608","Sunderland","Wycombe","Sunderland-Wycombe","Sunderland","Wycombe","3-1",4
"609","Wigan","Portsmouth","Wigan-Portsmouth","Wigan","Portsmouth","1-0",1
"610","Barrow","Bristol Rvs","Barrow-Bristol Rvs","Barrow","Bristol Rvs","1-1",2
"611","Crawley Town","Northampton","Crawley Town-Northampton","Crawley Town","Northampton","0-0",0
"612","Forest Green","Port Vale","Forest Green-Port Vale","Forest Green","Port Vale","0-2",2
"613","Harrogate","Exeter","Harrogate-Exeter","Harrogate","Exeter","1-1",2
"614","Hartlepool","Carlisle","Hartlepool-Carlisle","Hartlepool","Carlisle","2-1",3
"615","Leyton Orient","Bradford","Leyton Orient-Bradford","Leyton Orient","Bradford","2-0",2
"616","Salford","Newport County","Salford-Newport County","Salford","Newport County","3-0",3
"617","Scunthorpe","Tranmere","Scunthorpe-Tranmere","Scunthorpe","Tranmere","1-0",1
"618","Sutton","Oldham","Sutton-Oldham","Sutton","Oldham","1-2",3
"619","Swindon","Mansfield","Swindon-Mansfield","Swindon","Mansfield","1-0",1
"620","Walsall","Stevenage","Walsall-Stevenage","Walsall","Stevenage","1-0",1
"621","Boreham Wood","Aldershot","Boreham Wood-Aldershot","Boreham Wood","Aldershot","1-0",1
"622","Chesterfield","Wealdstone","Chesterfield-Wealdstone","Chesterfield","Wealdstone","2-0",2
"623","Dag and Red","Bromley","Dag and Red-Bromley","Dag and Red","Bromley","4-2",6
"624","Eastleigh","Wrexham","Eastleigh-Wrexham","Eastleigh","Wrexham","0-2",2
"625","Maidenhead","Dover Athletic","Maidenhead-Dover Athletic","Maidenhead","Dover Athletic","2-0",2
"626","Notts County","Torquay","Notts County-Torquay","Notts County","Torquay","1-1",2
"627","Solihull","Barnet","Solihull-Barnet","Solihull","Barnet","1-1",2
"628","Woking","Halifax","Woking-Halifax","Woking","Halifax","2-3",5
"629","Yeovil","Kings Lynn","Yeovil-Kings Lynn","Yeovil","Kings Lynn","1-2",3
"630","Southend","Stockport","Southend-Stockport","Southend","Stockport","0-1",1
"631","Nice","Bordeaux","Nice-Bordeaux","Nice","Bordeaux","4-0",4
"632","Marseille","St Etienne","Marseille-St Etienne","Marseille","St Etienne","3-1",4
"633","Nimes","Caen","Nimes-Caen","Nimes","Caen","0-0",0
"634","Toulouse","Valenciennes","Toulouse-Valenciennes","Toulouse","Valenciennes","1-0",1
"635","Bastia","Le Havre","Bastia-Le Havre","Bastia","Le Havre","0-0",0
"636","Guingamp","Ajaccio","Guingamp-Ajaccio","Guingamp","Ajaccio","1-1",2
"637","Nancy","Auxerre","Nancy-Auxerre","Nancy","Auxerre","1-4",5
"638","Niort","Amiens","Niort-Amiens","Niort","Amiens","0-0",0
"639","Pau FC","Dijon","Pau FC-Dijon","Pau FC","Dijon","2-0",2
"640","Quevilly Rouen","Paris FC","Quevilly Rouen-Paris FC","Quevilly Rouen","Paris FC","0-1",1
"641","Rodez","Dunkerque","Rodez-Dunkerque","Rodez","Dunkerque","2-2",4
"642","Sochaux","Grenoble","Sochaux-Grenoble","Sochaux","Grenoble","1-0",1
"643","Atalanta","Bologna","Atalanta-Bologna","Atalanta","Bologna","0-0",0
"644","Lazio","Spezia","Lazio-Spezia","Lazio","Spezia","6-1",7
"645","Fiorentina","Torino","Fiorentina-Torino","Fiorentina","Torino","2-1",3
"646","Juventus","Empoli","Juventus-Empoli","Juventus","Empoli","0-1",1
"647","Vicenza","Frosinone","Vicenza-Frosinone","Vicenza","Frosinone","0-2",2
"648","Perugia","Ascoli","Perugia-Ascoli","Perugia","Ascoli","2-3",5
"649","Cambuur","Twente","Cambuur-Twente","Cambuur","Twente","2-0",2
"650","Go Ahead Eagles","Sparta Rotterdam","Go Ahead Eagles-Sparta Rotterdam","Go Ahead Eagles","Sparta Rotterdam","2-0",2
"651","PSV Eindhoven","Groningen","PSV Eindhoven-Groningen","PSV Eindhoven","Groningen","5-2",7
"652","Willem II","Zwolle","Willem II-Zwolle","Willem II","Zwolle","1-0",1
"653","Vizela","Boavista","Vizela-Boavista","Vizela","Boavista","1-1",2
"654","Porto","Arouca","Porto-Arouca","Porto","Arouca","3-0",3
"655","Famalicao","Sp Lisbon","Famalicao-Sp Lisbon","Famalicao","Sp Lisbon","1-1",2
"656","Dundee United","Hearts","Dundee United-Hearts","Dundee United","Hearts","0-2",2
"657","Hibernian","Livingston","Hibernian-Livingston","Hibernian","Livingston","2-0",2
"658","Motherwell","Dundee","Motherwell-Dundee","Motherwell","Dundee","1-0",1
"659","Dunfermline","Arbroath","Dunfermline-Arbroath","Dunfermline","Arbroath","0-3",3
"660","Kilmarnock","Inverness C","Kilmarnock-Inverness C","Kilmarnock","Inverness C","0-1",1
"661","Partick","Morton","Partick-Morton","Partick","Morton","3-0",3
"662","Queen of Sth","Hamilton","Queen of Sth-Hamilton","Queen of Sth","Hamilton","1-2",3
"663","Clyde","Cove Rangers","Clyde-Cove Rangers","Clyde","Cove Rangers","2-1",3
"664","East Fife","Peterhead","East Fife-Peterhead","East Fife","Peterhead","3-0",3
"665","Falkirk","Queens Park","Falkirk-Queens Park","Falkirk","Queens Park","0-1",1
"666","Montrose","Dumbarton","Montrose-Dumbarton","Montrose","Dumbarton","1-2",3
"667","Cowdenbeath","Annan Athletic","Cowdenbeath-Annan Athletic","Cowdenbeath","Annan Athletic","1-3",4
"668","Forfar","Stranraer","Forfar-Stranraer","Forfar","Stranraer","1-1",2
"669","Stenhousemuir","Kelty Hearts","Stenhousemuir-Kelty Hearts","Stenhousemuir","Kelty Hearts","1-4",5
"670","Stirling","Albion Rvs","Stirling-Albion Rvs","Stirling","Albion Rvs","2-1",3
"671","Celta","Ath Bilbao","Celta-Ath Bilbao","Celta","Ath Bilbao","0-1",1
"672","Elche","Sevilla","Elche-Sevilla","Elche","Sevilla","1-1",2
"673","Sociedad","Levante","Sociedad-Levante","Sociedad","Levante","1-0",1
"674","Betis","Real Madrid","Betis-Real Madrid","Betis","Real Madrid","0-1",1
"675","Sp Gijon","Mirandes","Sp Gijon-Mirandes","Sp Gijon","Mirandes","2-1",3
"676","Leganes","Ibiza","Leganes-Ibiza","Leganes","Ibiza","1-2",3
"677","Oviedo","Tenerife","Oviedo-Tenerife","Oviedo","Tenerife","0-0",0
"678","Ponferradina","Girona","Ponferradina-Girona","Ponferradina","Girona","2-1",3
"679","Buyuksehyr","Kayserispor","Buyuksehyr-Kayserispor","Buyuksehyr","Kayserispor","0-1",1
"680","Yeni Malatyaspor","Gaziantep","Yeni Malatyaspor-Gaziantep","Yeni Malatyaspor","Gaziantep","2-0",2
"681","Besiktas","Karagumruk","Besiktas-Karagumruk","Besiktas","Karagumruk","1-0",1
"682","Hatayspor","Alanyaspor","Hatayspor-Alanyaspor","Hatayspor","Alanyaspor","5-0",5
"683","Gent","Club Brugge","Gent-Club Brugge","Gent","Club Brugge","6-1",7
"684","Antwerp","Oud-Heverlee Leuven","Antwerp-Oud-Heverlee Leuven","Antwerp","Oud-Heverlee Leuven","2-2",4
"685","Genk","Anderlecht","Genk-Anderlecht","Genk","Anderlecht","1-0",1
"686","Oostende","Waregem","Oostende-Waregem","Oostende","Waregem","0-2",2
"687","Union Berlin","Mgladbach","Union Berlin-Mgladbach","Union Berlin","Mgladbach","2-1",3
"688","Wolfsburg","RB Leipzig","Wolfsburg-RB Leipzig","Wolfsburg","RB Leipzig","1-0",1
"689","Dresden","Paderborn","Dresden-Paderborn","Dresden","Paderborn","0-3",3
"690","St Pauli","Regensburg","St Pauli-Regensburg","St Pauli","Regensburg","2-0",2
"691","Werder Bremen","Hansa Rostock","Werder Bremen-Hansa Rostock","Werder Bremen","Hansa Rostock","3-0",3
"692","Burnley","Leeds","Burnley-Leeds","Burnley","Leeds","1-1",2
"693","Tottenham","Watford","Tottenham-Watford","Tottenham","Watford","1-0",1
"694","Wolves","Man United","Wolves-Man United","Wolves","Man United","0-1",1
"695","Troyes","Monaco","Troyes-Monaco","Troyes","Monaco","1-2",3
"696","Angers","Rennes","Angers-Rennes","Angers","Rennes","2-0",2
"697","Clermont","Metz","Clermont-Metz","Clermont","Metz","2-2",4
"698","Lens","Lorient","Lens-Lorient","Lens","Lorient","2-2",4
"699","Strasbourg","Brest","Strasbourg-Brest","Strasbourg","Brest","3-1",4
"700","Lille","Montpellier","Lille-Montpellier","Lille","Montpellier","2-1",3
"701","Reims","Paris SG","Reims-Paris SG","Reims","Paris SG","0-2",2
"702","Genoa","Napoli","Genoa-Napoli","Genoa","Napoli","1-2",3
"703","Sassuolo","Sampdoria","Sassuolo-Sampdoria","Sassuolo","Sampdoria","0-0",0
"704","Milan","Cagliari","Milan-Cagliari","Milan","Cagliari","4-1",5
"705","Salernitana","Roma","Salernitana-Roma","Salernitana","Roma","0-4",4
"706","Cittadella","Crotone","Cittadella-Crotone","Cittadella","Crotone","4-2",6
"707","Lecce","Como","Lecce-Como","Lecce","Como","1-1",2
"708","Monza","Cremonese","Monza-Cremonese","Monza","Cremonese","1-0",1
"709","Parma","Benevento","Parma-Benevento","Parma","Benevento","1-0",1
"710","Reggina","Ternana","Reggina-Ternana","Reggina","Ternana","3-2",5
"711","Spal","Pordenone","Spal-Pordenone","Spal","Pordenone","5-0",5
"712","Utrecht","Feyenoord","Utrecht-Feyenoord","Utrecht","Feyenoord","3-1",4
"713","Ajax","Vitesse","Ajax-Vitesse","Ajax","Vitesse","5-0",5
"714","Heracles","Nijmegen","Heracles-Nijmegen","Heracles","Nijmegen","0-1",1
"715","Heerenveen","AZ Alkmaar","Heerenveen-AZ Alkmaar","Heerenveen","AZ Alkmaar","1-3",4
"716","Benfica","Tondela","Benfica-Tondela","Benfica","Tondela","2-1",3
"717","Sp Braga","Guimaraes","Sp Braga-Guimaraes","Sp Braga","Guimaraes","0-0",0
"718","Portimonense","Pacos Ferreira","Portimonense-Pacos Ferreira","Portimonense","Pacos Ferreira","0-1",1
"719","Santa Clara","Gil Vicente","Santa Clara-Gil Vicente","Santa Clara","Gil Vicente","1-0",1
"720","Rangers","Celtic","Rangers-Celtic","Rangers","Celtic","1-0",1
"721","Aberdeen","Ross County","Aberdeen-Ross County","Aberdeen","Ross County","1-1",2
"722","St Mirren","St Johnstone","St Mirren-St Johnstone","St Mirren","St Johnstone","0-0",0
"723","Barcelona","Getafe","Barcelona-Getafe","Barcelona","Getafe","2-1",3
"724","Cadiz","Osasuna","Cadiz-Osasuna","Cadiz","Osasuna","2-3",5
"725","Vallecano","Granada","Vallecano-Granada","Vallecano","Granada","4-0",4
"726","Ath Madrid","Villarreal","Ath Madrid-Villarreal","Ath Madrid","Villarreal","2-2",4
"727","Amorebieta","Almeria","Amorebieta-Almeria","Amorebieta","Almeria","2-1",3
"728","Lugo","Valladolid","Lugo-Valladolid","Lugo","Valladolid","0-2",2
"729","Sociedad B","Fuenlabrada","Sociedad B-Fuenlabrada","Sociedad B","Fuenlabrada","0-0",0
"730","Burgos","Eibar","Burgos-Eibar","Burgos","Eibar","0-1",1
"731","Kasimpasa","Galatasaray","Kasimpasa-Galatasaray","Kasimpasa","Galatasaray","2-2",4
"732","Sivasspor","Goztep","Sivasspor-Goztep","Sivasspor","Goztep","2-2",4
"733","Altay","Fenerbahce","Altay-Fenerbahce","Altay","Fenerbahce","0-2",2
"734","Giresunspor","Trabzonspor","Giresunspor-Trabzonspor","Giresunspor","Trabzonspor","0-1",1
"735","Zaragoza","Cartagena","Zaragoza-Cartagena",NA,NA,NA,NA
"736","Aldershot","Yeovil","Aldershot-Yeovil",NA,NA,NA,NA
"737","Barnet","Dag and Red","Barnet-Dag and Red",NA,NA,NA,NA
"738","Bromley","Eastleigh","Bromley-Eastleigh",NA,NA,NA,NA
"739","Dover Athletic","Boreham Wood","Dover Athletic-Boreham Wood",NA,NA,NA,NA
"740","Halifax","Altrincham","Halifax-Altrincham",NA,NA,NA,NA
"741","Kings Lynn","Chesterfield","Kings Lynn-Chesterfield",NA,NA,NA,NA
"742","Torquay","Woking","Torquay-Woking",NA,NA,NA,NA
"743","Wealdstone","Southend","Wealdstone-Southend",NA,NA,NA,NA
"744","Weymouth","Maidenhead","Weymouth-Maidenhead",NA,NA,NA,NA
"745","Wrexham","Notts County","Wrexham-Notts County",NA,NA,NA,NA
"746","Zaragoza","Cartagena","Zaragoza-Cartagena",NA,NA,NA,NA
"747","Stockport","Grimsby","Stockport-Grimsby",NA,NA,NA,NA
