MatchNumber,RoundNumber,Date,Location,Home_Team,Away_Team
95,1,2/3/2024,france,Auxerre,Valenciennes
96,1,3/2/2024,france,Bastia,Ajaccio
97,1,4/5/2024,france,Bastia,Amiens
98,1,13/01/2024,france,Bastia,Angers
99,1,7/10/2023,france,Bastia,Annecy
100,1,25/11/2023,france,Bastia,Auxerre
101,1,4/11/2023,france,Bastia,Bordeaux
102,1,23/01/2024,france,Bastia,Caen
103,1,23/04/2024,france,Bastia,Concarneau
104,1,6/4/2024,france,Bastia,Dunkerque
105,1,2/3/2024,france,Bastia,Grenoble
106,1,28/10/2023,france,Bastia,Guingamp
107,1,16/09/2023,france,Bastia,Laval
108,1,17/04/2024,france,Bastia,Paris FC
109,1,26/09/2023,france,Bastia,Pau FC
110,1,16/12/2023,france,Bastia,Quevilly Rouen
111,1,17/02/2024,france,Bastia,Rodez
112,1,16/03/2024,france,Bastia,St Etienne
113,1,26/08/2023,france,Bastia,Troyes
114,1,12/8/2023,france,Bastia,Valenciennes
115,1,4/5/2024,france,Bordeaux,Ajaccio
116,1,26/08/2023,france,Bordeaux,Amiens
117,1,27/01/2024,france,Bordeaux,Angers
118,1,11/11/2023,france,Bordeaux,Annecy
119,1,2/9/2023,france,Bordeaux,Auxerre
120,1,13/04/2024,france,Bordeaux,Bastia
121,1,3/10/2023,france,Bordeaux,Caen
122,1,14/08/2023,france,Bordeaux,Concarneau
123,1,23/04/2024,france,Bordeaux,Dunkerque
124,1,10/2/2024,france,Bordeaux,Grenoble
125,1,24/02/2024,france,Bordeaux,Guingamp
126,1,7/10/2023,france,Bordeaux,Laval
127,1,30/03/2024,france,Bordeaux,Paris FC
128,1,17/04/2024,france,Bordeaux,Pau FC
129,1,9/3/2024,france,Bordeaux,Quevilly Rouen
130,1,28/10/2023,france,Bordeaux,Rodez
131,1,16/12/2023,france,Bordeaux,St Etienne
132,1,2/12/2023,france,Bordeaux,Troyes
133,1,23/01/2024,france,Bordeaux,Valenciennes
134,1,26/08/2023,france,Caen,Ajaccio
135,1,10/2/2024,france,Caen,Amiens
136,1,24/02/2024,france,Caen,Angers
137,1,23/04/2024,france,Caen,Annecy
138,1,21/10/2023,france,Caen,Auxerre
139,1,2/12/2023,france,Caen,Bastia
140,1,6/4/2024,france,Caen,Bordeaux
141,1,13/01/2024,france,Caen,Concarneau
142,1,16/12/2023,france,Caen,Dunkerque
143,1,26/09/2023,france,Caen,Grenoble
144,1,30/09/2023,france,Caen,Guingamp
145,1,4/5/2024,france,Caen,Laval
146,1,9/3/2024,france,Caen,Paris FC
147,1,12/8/2023,france,Caen,Pau FC
148,1,11/11/2023,france,Caen,Quevilly Rouen
149,1,13/04/2024,france,Caen,Rodez
150,1,16/09/2023,france,Caen,St Etienne
151,1,27/01/2024,france,Caen,Troyes
152,1,17/04/2024,france,Caen,Valenciennes
153,1,28/10/2023,france,Concarneau,Ajaccio
154,1,25/11/2023,france,Concarneau,Amiens
155,1,30/03/2024,france,Concarneau,Angers
156,1,2/9/2023,france,Concarneau,Annecy
157,1,5/12/2023,france,Concarneau,Auxerre
158,1,5/8/2023,france,Concarneau,Bastia
159,1,11/5/2024,france,Concarneau,Bordeaux
160,1,19/08/2023,france,Concarneau,Caen
161,1,7/10/2023,france,Concarneau,Dunkerque
162,1,19/12/2023,france,Concarneau,Grenoble
163,1,9/3/2024,france,Concarneau,Guingamp
164,1,24/02/2024,france,Concarneau,Laval
165,1,17/02/2024,france,Concarneau,Paris FC
166,1,4/11/2023,france,Concarneau,Pau FC
167,1,20/04/2024,france,Concarneau,Quevilly Rouen
168,1,27/04/2024,france,Concarneau,Rodez
169,1,23/09/2023,france,Concarneau,St Etienne
170,1,23/01/2024,france,Concarneau,Troyes
171,1,3/2/2024,france,Concarneau,Valenciennes
172,1,23/01/2024,france,Dunkerque,Ajaccio
173,1,4/11/2023,france,Dunkerque,Amiens
174,1,26/08/2023,france,Dunkerque,Angers
175,1,30/03/2024,france,Dunkerque,Annecy
176,1,27/04/2024,france,Dunkerque,Auxerre
177,1,5/12/2023,france,Dunkerque,Bastia
178,1,19/12/2023,france,Dunkerque,Bordeaux
179,1,11/5/2024,france,Dunkerque,Caen
180,1,2/3/2024,france,Dunkerque,Concarneau
181,1,16/09/2023,france,Dunkerque,Grenoble
182,1,13/04/2024,france,Dunkerque,Guingamp
183,1,25/11/2023,france,Dunkerque,Laval
184,1,21/10/2023,france,Dunkerque,Paris FC
185,1,9/3/2024,france,Dunkerque,Pau FC
186,1,30/09/2023,france,Dunkerque,Quevilly Rouen
187,1,23/09/2023,france,Dunkerque,Rodez
188,1,3/2/2024,france,Dunkerque,St Etienne
189,1,5/8/2023,france,Dunkerque,Troyes
190,1,17/02/2024,france,Dunkerque,Valenciennes
191,1,4/11/2023,france,Grenoble,Ajaccio
192,1,17/04/2024,france,Grenoble,Amiens
193,1,13/04/2024,france,Grenoble,Angers
194,1,16/12/2023,france,Grenoble,Annecy
195,1,23/01/2024,france,Grenoble,Auxerre
196,1,2/9/2023,france,Grenoble,Bastia
197,1,30/09/2023,france,Grenoble,Bordeaux
198,1,3/2/2024,france,Grenoble,Caen
199,1,4/5/2024,france,Grenoble,Concarneau
200,1,13/01/2024,france,Grenoble,Dunkerque
201,1,30/03/2024,france,Grenoble,Guingamp
202,1,9/3/2024,france,Grenoble,Laval
203,1,12/8/2023,france,Grenoble,Paris FC
204,1,24/02/2024,france,Grenoble,Pau FC
205,1,23/09/2023,france,Grenoble,Quevilly Rouen
206,1,25/11/2023,france,Grenoble,Rodez
207,1,23/04/2024,france,Grenoble,St Etienne
208,1,19/08/2023,france,Grenoble,Troyes
209,1,21/10/2023,france,Grenoble,Valenciennes
210,1,18/08/2023,france,Guingamp,Ajaccio
211,1,6/4/2024,france,Guingamp,Amiens
212,1,23/04/2024,france,Guingamp,Angers
213,1,3/2/2024,france,Guingamp,Annecy
214,1,4/11/2023,france,Guingamp,Auxerre
215,1,20/04/2024,france,Guingamp,Bastia
216,1,26/09/2023,france,Guingamp,Bordeaux
217,1,17/02/2024,france,Guingamp,Caen
218,1,16/12/2023,france,Guingamp,Concarneau
219,1,12/8/2023,france,Guingamp,Dunkerque
220,1,7/10/2023,france,Guingamp,Grenoble
221,1,17/04/2024,france,Guingamp,Laval
222,1,2/12/2023,france,Guingamp,Paris FC
223,1,26/08/2023,france,Guingamp,Pau FC
224,1,21/10/2023,france,Guingamp,Quevilly Rouen
225,1,23/01/2024,france,Guingamp,Rodez
226,1,4/5/2024,france,Guingamp,St Etienne
227,1,2/3/2024,france,Guingamp,Troyes
228,1,16/03/2024,france,Guingamp,Valenciennes
229,1,17/02/2024,france,Laval,Ajaccio
230,1,2/3/2024,france,Laval,Amiens
231,1,5/8/2023,france,Laval,Angers
232,1,13/04/2024,france,Laval,Annecy
233,1,19/12/2023,france,Laval,Auxerre
234,1,30/03/2024,france,Laval,Bastia
235,1,27/04/2024,france,Laval,Bordeaux
236,1,2/9/2023,france,Laval,Caen
237,1,11/11/2023,france,Laval,Concarneau
238,1,16/03/2024,france,Laval,Dunkerque
239,1,2/12/2023,france,Laval,Grenoble
240,1,23/09/2023,france,Laval,Guingamp
241,1,23/01/2024,france,Laval,Paris FC
242,1,16/12/2023,france,Laval,Pau FC
243,1,3/2/2024,france,Laval,Quevilly Rouen
244,1,19/08/2023,france,Laval,Rodez
245,1,23/10/2023,france,Laval,St Etienne
246,1,11/5/2024,france,Laval,Troyes
247,1,30/09/2023,france,Laval,Valenciennes
248,1,16/03/2024,france,Paris FC,Ajaccio
249,1,16/09/2023,france,Paris FC,Amiens
250,1,27/04/2024,france,Paris FC,Angers
251,1,13/01/2024,france,Paris FC,Annecy
252,1,7/10/2023,france,Paris FC,Auxerre
253,1,11/11/2023,france,Paris FC,Bastia
254,1,25/11/2023,france,Paris FC,Bordeaux
255,1,5/8/2023,france,Paris FC,Caen
256,1,26/08/2023,france,Paris FC,Concarneau
257,1,27/01/2024,france,Paris FC,Dunkerque
258,1,6/4/2024,france,Paris FC,Grenoble
259,1,11/5/2024,france,Paris FC,Guingamp
260,1,26/09/2023,france,Paris FC,Laval
261,1,10/2/2024,france,Paris FC,Pau FC
262,1,19/12/2023,france,Paris FC,Quevilly Rouen
263,1,5/12/2023,france,Paris FC,Rodez
264,1,2/3/2024,france,Paris FC,St Etienne
265,1,28/10/2023,france,Paris FC,Troyes
266,1,20/04/2024,france,Paris FC,Valenciennes
267,1,6/4/2024,france,Pau FC,Ajaccio
268,1,30/09/2023,france,Pau FC,Amiens
269,1,11/11/2023,france,Pau FC,Angers
270,1,23/09/2023,france,Pau FC,Annecy
271,1,3/2/2024,france,Pau FC,Auxerre
272,1,11/5/2024,france,Pau FC,Bastia
273,1,7/8/2023,france,Pau FC,Bordeaux
274,1,2/3/2024,france,Pau FC,Caen
275,1,16/03/2024,france,Pau FC,Concarneau
276,1,2/12/2023,france,Pau FC,Dunkerque
277,1,28/10/2023,france,Pau FC,Grenoble
278,1,27/04/2024,france,Pau FC,Guingamp
279,1,20/04/2024,france,Pau FC,Laval
280,1,19/08/2023,france,Pau FC,Paris FC
281,1,17/02/2024,france,Pau FC,Quevilly Rouen
282,1,2/9/2023,france,Pau FC,Rodez
283,1,23/01/2024,france,Pau FC,St Etienne
284,1,19/12/2023,france,Pau FC,Troyes
285,1,5/12/2023,france,Pau FC,Valenciennes
286,1,12/8/2023,france,Quevilly Rouen,Ajaccio
287,1,23/04/2024,france,Quevilly Rouen,Amiens
288,1,26/09/2023,france,Quevilly Rouen,Angers
289,1,28/10/2023,france,Quevilly Rouen,Annecy
290,1,13/04/2024,france,Quevilly Rouen,Auxerre
291,1,10/2/2024,france,Quevilly Rouen,Bastia
292,1,5/12/2023,france,Quevilly Rouen,Bordeaux
293,1,30/03/2024,france,Quevilly Rouen,Caen
294,1,16/09/2023,france,Quevilly Rouen,Concarneau
295,1,4/5/2024,france,Quevilly Rouen,Dunkerque
296,1,27/01/2024,france,Quevilly Rouen,Grenoble
297,1,13/01/2024,france,Quevilly Rouen,Guingamp
298,1,26/08/2023,france,Quevilly Rouen,Laval
299,1,24/02/2024,france,Quevilly Rouen,Paris FC
300,1,7/10/2023,france,Quevilly Rouen,Pau FC
301,1,4/11/2023,france,Quevilly Rouen,Rodez
302,1,18/05/2024,france,Quevilly Rouen,St Etienne
303,1,16/03/2024,france,Quevilly Rouen,Troyes
304,1,25/11/2023,france,Quevilly Rouen,Valenciennes
305,1,17/04/2024,france,Rodez,Ajaccio
306,1,16/12/2023,france,Rodez,Amiens
307,1,16/09/2023,france,Rodez,Angers
308,1,4/5/2024,france,Rodez,Annecy
309,1,20/04/2024,france,Rodez,Auxerre
310,1,21/10/2023,france,Rodez,Bastia
311,1,2/3/2024,france,Rodez,Bordeaux
312,1,7/10/2023,france,Rodez,Caen
313,1,2/12/2023,france,Rodez,Concarneau
314,1,10/2/2024,france,Rodez,Dunkerque
315,1,16/03/2024,france,Rodez,Grenoble
316,1,11/11/2023,france,Rodez,Guingamp
317,1,27/01/2024,france,Rodez,Laval
318,1,23/04/2024,france,Rodez,Paris FC
319,1,13/01/2024,france,Rodez,Pau FC
320,1,6/4/2024,france,Rodez,Quevilly Rouen
321,1,12/8/2023,france,Rodez,St Etienne
322,1,26/09/2023,france,Rodez,Troyes
323,1,26/08/2023,france,Rodez,Valenciennes
324,1,7/10/2023,france,St Etienne,Ajaccio
325,1,27/01/2024,france,St Etienne,Amiens
326,1,30/10/2023,france,St Etienne,Angers
327,1,24/02/2024,france,St Etienne,Annecy
328,1,9/3/2024,france,St Etienne,Auxerre
329,1,19/12/2023,france,St Etienne,Bastia
330,1,20/04/2024,france,St Etienne,Bordeaux
331,1,27/04/2024,france,St Etienne,Caen
332,1,6/4/2024,france,St Etienne,Concarneau
333,1,4/10/2023,france,St Etienne,Dunkerque
334,1,5/8/2023,france,St Etienne,Grenoble
335,1,5/12/2023,france,St Etienne,Guingamp
336,1,13/01/2024,france,St Etienne,Laval
337,1,4/11/2023,france,St Etienne,Paris FC
338,1,25/11/2023,france,St Etienne,Pau FC
339,1,19/08/2023,france,St Etienne,Quevilly Rouen
340,1,11/5/2024,france,St Etienne,Rodez
341,1,10/2/2024,france,St Etienne,Troyes
342,1,2/9/2023,france,St Etienne,Valenciennes
343,1,13/01/2024,france,Troyes,Ajaccio
344,1,5/12/2023,france,Troyes,Amiens
345,1,16/12/2023,france,Troyes,Angers
346,1,17/04/2024,france,Troyes,Annecy
347,1,23/09/2023,france,Troyes,Auxerre
348,1,9/3/2024,france,Troyes,Bastia
349,1,3/2/2024,france,Troyes,Bordeaux
350,1,4/11/2023,france,Troyes,Caen
351,1,21/10/2023,france,Troyes,Concarneau
352,1,24/02/2024,france,Troyes,Dunkerque
353,1,17/02/2024,france,Troyes,Grenoble
354,1,25/11/2023,france,Troyes,Guingamp
355,1,12/8/2023,france,Troyes,Laval
356,1,13/04/2024,france,Troyes,Paris FC
357,1,23/04/2024,france,Troyes,Pau FC
358,1,2/9/2023,france,Troyes,Quevilly Rouen
359,1,30/03/2024,france,Troyes,Rodez
360,1,30/09/2023,france,Troyes,St Etienne
361,1,4/5/2024,france,Troyes,Valenciennes
362,1,23/04/2024,france,Valenciennes,Ajaccio
363,1,13/01/2024,france,Valenciennes,Amiens
364,1,9/3/2024,france,Valenciennes,Angers
365,1,2/12/2023,france,Valenciennes,Annecy
366,1,5/8/2023,france,Valenciennes,Auxerre
367,1,27/01/2024,france,Valenciennes,Bastia
368,1,16/09/2023,france,Valenciennes,Bordeaux
369,1,28/10/2023,france,Valenciennes,Caen
370,1,26/09/2023,france,Valenciennes,Concarneau
371,1,11/11/2023,france,Valenciennes,Dunkerque
372,1,27/04/2024,france,Valenciennes,Grenoble
373,1,19/08/2023,france,Valenciennes,Guingamp
374,1,10/2/2024,france,Valenciennes,Laval
375,1,16/12/2023,france,Valenciennes,Paris FC
376,1,13/04/2024,france,Valenciennes,Pau FC
377,1,11/5/2024,france,Valenciennes,Quevilly Rouen
378,1,24/02/2024,france,Valenciennes,Rodez
379,1,30/03/2024,france,Valenciennes,St Etienne
380,1,7/10/2023,france,Valenciennes,Troyes
