"","b1_division","b1_avg_AG","b1_teams","b1_away_as","b1_away_ds"
"88","E1","1.0562","Norwich","1.4819","0.7294"
"89","E1","1.0562","Nottm Forest","0.6586","0.7294"
"90","E1","1.0562","Preston","1.1526","1.1114"
"91","E1","1.0562","QPR","1.0291","0.9725"
"92","E1","1.0562","Reading","1.0291","0.9378"
"93","E1","1.0562","Rotherham","0.741","0.8683"
"94","E1","1.0562","Sheffield Weds","0.741","1.5282"
"95","E1","1.0562","Stoke","0.8645","0.8336"
"96","E1","1.0562","Swansea","1.1938","0.7988"
"97","E1","1.0562","Watford","0.7821","0.6252"
"98","E1","1.0562","Wycombe","0.9056","1.424"
"99","E2","1.2736","Accrington","1.0924","1.3549"
"100","E2","1.2736","AFC Wimbledon","0.751","1"
"101","E2","1.2736","Blackpool","1.0241","0.6129"
"102","E2","1.2736","Bristol Rvs","0.5803","1.2258"
"103","E2","1.2736","Burton","0.99","1"
"104","E2","1.2736","Charlton","1.1607","0.6129"
"105","E2","1.2736","Crewe","0.8193","1"
"106","E2","1.2736","Doncaster","0.99","1.1291"
"107","E2","1.2736","Fleetwood Town","0.7852","0.9355"
"108","E2","1.2736","Gillingham","1.0924","0.9678"
"109","E2","1.2736","Hull","1.6386","0.7742"
"110","E2","1.2736","Ipswich","0.7169","0.9032"
"111","E2","1.2736","Lincoln","1.1607","0.6452"
"112","E2","1.2736","Milton Keynes Dons","0.9559","1.0968"
"113","E2","1.2736","Northampton","0.7169","1.3226"
"114","E2","1.2736","Oxford","1.2972","1.1291"
"115","E2","1.2736","Peterboro","1.0583","0.7742"
"116","E2","1.2736","Plymouth","0.751","1.3226"
"117","E2","1.2736","Portsmouth","1.229","0.871"
"118","E2","1.2736","Rochdale","1.1607","1.1613"
"119","E2","1.2736","Shrewsbury","0.751","0.8387"
"120","E2","1.2736","Sunderland","1.2972","0.5484"
"121","E2","1.2736","Swindon","1.0241","1.6452"
"122","E2","1.2736","Wigan","0.9559","1.1291"
"123","E3","1.0996","Barrow","0.8303","0.931"
"124","E3","1.0996","Bolton","1.2653","0.931"
"125","E3","1.0996","Bradford","1.028","1.1724"
"126","E3","1.0996","Cambridge","1.7002","1"
"127","E3","1.0996","Carlisle","0.8699","0.8965"
"128","E3","1.0996","Cheltenham","0.949","0.6207"
"129","E3","1.0996","Colchester","0.4745","1.2069"
"130","E3","1.0996","Crawley Town","1.028","1.2069"
"131","E3","1.0996","Exeter","1.3048","1.0345"
"132","E3","1.0996","Forest Green","1.1071","0.8276"
"133","E3","1.0996","Grimsby","0.7908","1.3448"
"134","E3","1.0996","Harrogate","1.1071","1.1034"
"135","E3","1.0996","Leyton Orient","0.8303","1.0345"
"136","E3","1.0996","Mansfield","0.949","0.8276"
"137","E3","1.0996","Morecambe","1.2257","1.0689"
"138","E3","1.0996","Newport County","1.1862","0.862"
"139","E3","1.0996","Oldham","1.6211","1.3448"
"140","E3","1.0996","Port Vale","1.1862","1.1034"
"141","E3","1.0996","Salford","0.7117","0.6552"
"142","E3","1.0996","Scunthorpe","0.7513","1.2413"
"143","E3","1.0996","Southend","0.514","1"
"144","E3","1.0996","Stevenage","0.5931","0.7241"
"145","E3","1.0996","Tranmere","0.9885","0.9655"
"146","E3","1.0996","Walsall","0.9885","0.8965"
"147","EC","1.2471","Aldershot","1.1455","0.976"
"148","EC","1.2471","Altrincham","0.8019","1.0097"
"149","EC","1.2471","Barnet","0.8441","1.7111"
"150","EC","1.2471","Boreham Wood","0.9622","0.6714"
"151","EC","1.2471","Bromley","1.2028","0.8246"
"152","EC","1.2471","Chesterfield","1.0424","0.8128"
"153","EC","1.2471","Dag and Red","1.0023","0.8128"
"154","EC","1.2471","Dover Athletic","0.4009","2.0025"
"155","EC","1.2471","Eastleigh","0.9285","1.0043"
"156","EC","1.2471","Halifax","1.1817","0.744"
"157","EC","1.2471","Hartlepool","1.1395","0.744"
"158","EC","1.2471","Kings Lynn","0.7573","1.8454"
"159","EC","1.2471","Maidenhead","1.2473","0.9031"
"160","EC","1.2471","Notts County","1.0129","0.7812"
"161","EC","1.2471","Solihull","0.7217","1.0601"
"162","EC","1.2471","Stockport","1.4834","0.5654"
"163","EC","1.2471","Sutton","1.0973","0.6696"
"164","EC","1.2471","Torquay","1.3505","0.6324"
"165","EC","1.2471","Wealdstone","0.5486","1.7111"
"166","EC","1.2471","Weymouth","0.8464","1.0209"
"167","EC","1.2471","Woking","0.6753","1.0415"
"168","EC","1.2471","Wrexham","1.1817","0.8556"
"169","EC","1.2471","Yeovil","1.0129","1.3763"
"170","F1","1.3583","Angers","0.7362","1.1067"
"171","F1","1.3583","Bordeaux","0.8589","1.3438"
"172","F1","1.3583","Brest","0.7362","1.3043"
"173","F1","1.3583","Dijon","0.6544","1.66"
"174","F1","1.3583","Lens","1.1043","0.9881"
"175","F1","1.3583","Lille","1.3906","0.4348"
"176","F1","1.3583","Lorient","0.7362","1.5019"
"177","F1","1.3583","Lyon","1.3906","0.7114"
"178","F1","1.3583","Marseille","0.8589","0.9091"
"179","F1","1.3583","Metz","0.9816","0.7905"
"180","F1","1.3583","Monaco","1.3497","0.83"
"181","F1","1.3583","Montpellier","0.9816","1.0276"
"182","F1","1.3583","Nantes","0.8998","1.0276"
"183","F1","1.3583","Nice","0.8998","0.83"
"184","F1","1.3583","Nimes","0.7362","1.1857"
"185","F1","1.3583","Paris SG","1.636","0.5533"
"186","F1","1.3583","Reims","1.0634","0.9881"
"187","F1","1.3583","Rennes","1.0225","0.6719"
"188","F1","1.3583","St Etienne","0.8998","0.9881"
"189","F1","1.3583","Strasbourg","1.0634","1.1462"
"190","F2","1.0272","Ajaccio","0.7031","1.087"
"191","F2","1.0272","Amiens","0.9194","1.087"
"192","F2","1.0272","Auxerre","1.2439","0.9616"
"193","F2","1.0272","Caen","0.871","1.1883"
"194","F2","1.0272","Chambly","1.0817","1.4215"
"195","F2","1.0272","Chateauroux","0.5636","1.0694"
"196","F2","1.0272","Clermont","1.2439","0.5853"
"197","F2","1.0272","Dunkerque","0.6149","1.1486"
"198","F2","1.0272","Grenoble","0.8198","0.8318"
"199","F2","1.0272","Guingamp","1.0817","0.8362"
"200","F2","1.0272","Le Havre","1.1272","0.9902"
"201","F2","1.0272","Nancy","1.2809","0.9902"
"202","F2","1.0272","Niort","0.871","1.3071"
"203","F2","1.0272","Paris FC","1.1272","0.7526"
"204","F2","1.0272","Pau FC","0.7572","1.1706"
"205","F2","1.0272","Rodez","0.8113","0.9616"
"206","F2","1.0272","Sochaux","1.076","0.5941"
"207","F2","1.0272","Toulouse","1.298","0.878"
"208","F2","1.0272","Troyes","1.4062","0.7526"
"209","F2","1.0272","Valenciennes","1.1453","1.4166"
"210","G1","1.048","AEK","1.4032","0.9979"
"211","G1","1.048","Apollon","0.7634","0.9047"
"212","G1","1.048","Aris","1.1787","0.6985"
"213","G1","1.048","Asteras Tripolis","0.9542","1.1475"
"214","G1","1.048","Atromitos","0.7156","1.1132"
"215","G1","1.048","Giannina","1.0178","0.9047"
"216","G1","1.048","Lamia","0.5964","1.1132"
"217","G1","1.048","Larisa","0.8419","1.3471"
"218","G1","1.048","OFI Crete","0.7297","0.948"
"219","G1","1.048","Olympiakos","1.9645","0.6985"
"220","G1","1.048","Panathinaikos","1.0665","0.8981"
"221","G1","1.048","Panetolikos","0.2982","1.1132"
"222","G1","1.048","PAOK","1.291","0.9979"
"223","G1","1.048","Volos NFC","1.0814","1.1309"
"224","I1","1.4241","Atalanta","1.4434","0.6791"
"225","I1","1.4241","Benevento","0.8261","1.1865"
"226","I1","1.4241","Bologna","0.6242","1.0187"
