"","MatchNumber","RoundNumber","Location","Date","Home_Team","Away_Team"
"65"," 65","1","stadium","9/24/2021","Nizhny Novgorod","CSKA Moscow"
"66"," 66","1","stadium","9/24/2021","Khimki","Lokomotiv Moscow"
"67"," 67","1","stadium","9/24/2021","Dynamo Moscow","Rubin Kazan"
"68"," 68","1","stadium","9/24/2021","FK Rostov","Akhmat Grozny"
"69"," 69","1","stadium","9/24/2021","Spartak Moscow","Ufa"
"70"," 70","1","stadium","9/24/2021","Ural","Arsenal Tula"
"71"," 71","1","stadium","9/24/2021","Krasnodar","Sochi"
"72"," 72","1","stadium","9/24/2021","Zenit","FK Krylya Sovetov Samara"
"73"," 73","1","stadium","10/1/2021","Ufa","Ural"
"74"," 74","1","stadium","10/1/2021","Dynamo Moscow","FK Krylya Sovetov Samara"
"75"," 75","1","stadium","10/1/2021","Arsenal Tula","Khimki"
"76"," 76","1","stadium","10/1/2021","Akhmat Grozny","Spartak Moscow"
"77"," 77","1","stadium","10/1/2021","Lokomotiv Moscow","FK Rostov"
"78"," 78","1","stadium","10/1/2021","Zenit","Sochi"
"79"," 79","1","stadium","10/1/2021","Rubin Kazan","Nizhny Novgorod"
"80"," 80","1","stadium","10/1/2021","CSKA Moscow","Krasnodar"
"81"," 81","1","stadium","10/15/2021","Spartak Moscow","Dynamo Moscow"
"82"," 82","1","stadium","10/15/2021","Krasnodar","Ufa"
"83"," 83","1","stadium","10/15/2021","Arsenal Tula","Zenit"
"84"," 84","1","stadium","10/15/2021","Sochi","FK Rostov"
"85"," 85","1","stadium","10/15/2021","Ural","CSKA Moscow"
"86"," 86","1","stadium","10/15/2021","Rubin Kazan","Lokomotiv Moscow"
"87"," 87","1","stadium","10/15/2021","FK Krylya Sovetov Samara","Nizhny Novgorod"
"88"," 88","1","stadium","10/15/2021","Khimki","Akhmat Grozny"
"89"," 89","1","stadium","10/22/2021","CSKA Moscow","FK Krylya Sovetov Samara"
"90"," 90","1","stadium","10/22/2021","Lokomotiv Moscow","Sochi"
"91"," 91","1","stadium","10/22/2021","Ufa","Rubin Kazan"
"92"," 92","1","stadium","10/22/2021","Zenit","Spartak Moscow"
"93"," 93","1","stadium","10/22/2021","Akhmat Grozny","Ural"
"94"," 94","1","stadium","10/22/2021","Dynamo Moscow","Khimki"
"95"," 95","1","stadium","10/22/2021","FK Rostov","Arsenal Tula"
"96"," 96","1","stadium","10/22/2021","Nizhny Novgorod","Krasnodar"
"97"," 97","1","stadium","10/29/2021","Zenit","Dynamo Moscow"
"98"," 98","1","stadium","10/29/2021","Arsenal Tula","Sochi"
"99"," 99","1","stadium","10/29/2021","Krasnodar","FK Krylya Sovetov Samara"
"100","100","1","stadium","10/29/2021","Ufa","Akhmat Grozny"
"101","101","1","stadium","10/29/2021","Rubin Kazan","CSKA Moscow"
"102","102","1","stadium","10/29/2021","Spartak Moscow","FK Rostov"
"103","103","1","stadium","10/29/2021","Khimki","Ural"
"104","104","1","stadium","10/29/2021","Nizhny Novgorod","Lokomotiv Moscow"
