"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","all_matchday"
"452","D1",2024-08-25,"St Pauli","Heidenheim",0,2,"A",0,0,"D",2.13,3.5,3.59,"0-0","0-2",11,3,6,3,2,3,0,0,4,2,10,15,2,6,25,"4-2","Y","N","N",5,0,1
"453","D1",2024-08-30,"Union Berlin","St Pauli",1,0,"H",1,0,"H",1.96,3.5,4.29,"1-0","1-0",10,5,8,2,3,1,0,0,5,4,10,11,1,9,21,"5-4","N","N","N",4,0,2
"454","D1",2024-08-31,"Bochum","Mgladbach",0,2,"A",0,0,"D",2.66,3.73,2.57,"0-0","0-2",16,4,15,6,1,0,0,0,3,4,9,10,2,7,19,"3-4","Y","N","N",1,0,2
"455","D1",2024-08-31,"Ein Frankfurt","Hoffenheim",3,1,"H",2,0,"H",1.8,4.2,4.12,"2-0","3-1",17,7,10,3,0,3,0,0,1,4,10,10,4,5,20,"1-4","Y","Y","Y",3,0,2
"456","D1",2024-08-31,"Holstein Kiel","Wolfsburg",0,2,"A",0,2,"A",3.26,3.69,2.19,"0-2","0-2",12,5,12,4,4,7,0,0,1,7,17,14,2,8,31,"1-7","Y","N","N",11,0,2
"457","D1",2024-08-31,"Stuttgart","Mainz",3,3,"D",2,1,"H",1.66,4.23,5.09,"2-1","3-3",28,13,9,7,4,2,0,0,11,2,6,12,6,13,18,"11-2","Y","Y","Y",6,0,2
"458","D1",2024-08-31,"Werder Bremen","Dortmund",0,0,"D",0,0,"D",4.05,4.14,1.83,"0-0","0-0",5,1,9,4,2,7,0,1,5,6,11,16,0,11,27,"5-6","N","N","N",9,1,2
"459","D1",2024-08-31,"Leverkusen","RB Leipzig",2,3,"A",2,1,"H",1.8,4.22,4.1,"2-1","2-3",27,10,10,4,3,1,0,0,18,2,7,8,5,20,15,"18-2","Y","Y","Y",4,0,2
"460","D1",2024-09-01,"Heidenheim","Augsburg",4,0,"H",2,0,"H",2.42,3.47,3.02,"2-0","4-0",17,9,15,1,0,3,0,0,5,6,15,11,4,11,26,"5-6","Y","Y","Y",3,0,2
"461","D1",2024-09-01,"Bayern Munich","Freiburg",2,0,"H",1,0,"H",1.21,7.89,11.45,"1-0","2-0",11,4,8,4,1,0,0,0,2,4,13,12,2,6,25,"2-4","Y","N","N",1,0,2
"462","D1",2024-09-13,"Dortmund","Heidenheim",4,2,"H",3,1,"H",1.39,5.35,7.83,"3-1","4-2",13,7,11,4,2,2,0,0,8,1,13,18,6,9,31,"8-1","Y","Y","Y",4,0,3
"463","D1",2024-09-14,"Freiburg","Bochum",2,1,"H",0,1,"A",1.69,4.08,4.9,"0-1","2-1",27,9,13,2,0,3,0,0,5,6,5,16,3,11,21,"5-6","Y","Y","N",3,0,3
"464","D1",2024-09-14,"Hoffenheim","Leverkusen",1,4,"A",1,2,"A",5.95,4.96,1.49,"1-2","1-4",14,5,20,8,2,2,0,0,4,12,9,10,5,16,19,"4-12","Y","Y","Y",4,0,3
"465","D1",2024-09-14,"Mgladbach","Stuttgart",1,3,"A",1,1,"D",2.84,3.96,2.31,"1-1","1-3",15,7,12,7,2,2,0,0,6,2,14,12,4,8,26,"6-2","Y","Y","Y",4,0,3
"466","D1",2024-09-14,"RB Leipzig","Union Berlin",0,0,"D",0,0,"D",1.48,4.69,6.64,"0-0","0-0",16,3,11,3,2,3,0,0,6,5,9,19,0,11,28,"6-5","N","N","N",5,0,3
"467","D1",2024-09-14,"Wolfsburg","Ein Frankfurt",1,2,"A",0,1,"A",2.72,3.45,2.63,"0-1","1-2",17,4,15,7,1,2,0,0,5,4,7,18,3,9,25,"5-4","Y","Y","N",3,0,3
"468","D1",2024-09-14,"Holstein Kiel","Bayern Munich",1,6,"A",0,4,"A",11.8,7.52,1.21,"0-4","1-6",5,1,23,13,0,1,0,0,2,10,12,11,7,12,23,"2-10","Y","Y","Y",1,0,3
"469","D1",2024-09-15,"Augsburg","St Pauli",3,1,"H",0,0,"D",2.09,3.61,3.52,"0-0","3-1",18,10,12,3,4,3,0,0,7,7,12,10,4,14,22,"7-7","Y","Y","Y",7,0,3
"470","D1",2024-09-15,"Mainz","Werder Bremen",1,2,"A",1,1,"D",2.04,3.66,3.61,"1-1","1-2",11,5,11,5,3,1,0,1,10,4,12,7,3,14,19,"10-4","Y","Y","N",4,1,3
"471","D2",2024-08-02,"FC Koln","Hamburg",1,2,"A",0,2,"A",2.41,3.73,2.86,"0-2","1-2",26,4,9,6,2,2,0,0,6,3,18,7,3,9,25,"6-3","Y","Y","N",4,0,1
"472","D2",2024-08-03,"Hannover","Regensburg",2,0,"H",2,0,"H",1.65,4.16,5.07,"2-0","2-0",16,5,10,3,1,0,0,0,5,3,12,17,2,8,29,"5-3","Y","N","N",1,0,1
"473","D2",2024-08-03,"Hertha","Paderborn",1,2,"A",0,1,"A",2.04,3.84,3.46,"0-1","1-2",10,3,11,5,2,1,0,0,1,8,16,7,3,9,23,"1-8","Y","Y","N",3,0,1
"474","D2",2024-08-03,"Karlsruhe","Nurnberg",3,2,"H",1,2,"A",1.96,3.87,3.68,"1-2","3-2",15,5,14,5,2,4,0,0,7,3,15,12,5,10,27,"7-3","Y","Y","Y",6,0,1
"475","D2",2024-08-03,"Magdeburg","Elversberg",0,0,"D",0,0,"D",2,3.71,3.69,"0-0","0-0",21,6,9,3,3,2,0,0,11,1,11,8,0,12,19,"11-1","N","N","N",5,0,1
"476","D2",2024-08-03,"Schalke 04","Braunschweig",5,1,"H",2,1,"H",1.75,3.75,4.65,"2-1","5-1",14,8,10,5,2,2,0,0,3,3,13,11,6,6,24,"3-3","Y","Y","Y",4,0,1
"477","D2",2024-08-04,"Darmstadt","Fortuna Dusseldorf",0,2,"A",0,0,"D",2.79,3.6,2.41,"0-0","0-2",11,6,11,4,2,2,1,0,7,6,16,7,2,13,23,"7-6","Y","N","N",4,1,1
"478","D2",2024-08-04,"Greuther Furth","Preußen Münster",3,1,"H",1,1,"D",1.82,3.84,4.11,"1-1","3-1",22,9,15,5,1,2,0,0,6,5,9,11,4,11,20,"6-5","Y","Y","Y",3,0,1
"479","D2",2024-08-04,"Ulm","Kaiserslautern",1,2,"A",0,0,"D",2.92,3.41,2.42,"0-0","1-2",12,3,13,4,2,3,0,0,6,7,12,16,3,13,28,"6-7","Y","Y","N",5,0,1
"480","D2",2024-08-09,"Kaiserslautern","Greuther Furth",2,2,"D",1,2,"A",2.19,3.74,3.22,"1-2","2-2",13,7,15,8,3,1,0,0,8,5,10,14,4,13,24,"8-5","Y","Y","Y",4,0,2
"481","D2",2024-08-09,"Regensburg","Ulm",1,0,"H",1,0,"H",2.59,3.44,2.8,"1-0","1-0",8,1,11,5,3,2,0,0,5,4,22,16,1,9,38,"5-4","N","N","N",5,0,2
"482","D2",2024-08-10,"Elversberg","FC Koln",2,2,"D",0,1,"A",3.42,3.88,2.04,"0-1","2-2",10,3,23,9,3,2,0,0,4,13,13,13,4,17,26,"4-13","Y","Y","Y",5,0,2
"483","D2",2024-08-10,"Fortuna Dusseldorf","Karlsruhe",0,0,"D",0,0,"D",1.84,4.03,4.01,"0-0","0-0",20,6,9,2,2,1,0,0,7,4,6,6,0,11,12,"7-4","N","N","N",3,0,2
"484","D2",2024-08-10,"Nurnberg","Schalke 04",3,1,"H",0,1,"A",3.04,3.67,2.28,"0-1","3-1",8,5,17,5,3,4,1,1,1,7,11,12,4,8,23,"1-7","Y","Y","Y",7,2,2
"485","D2",2024-08-10,"Hamburg","Hertha",1,1,"D",1,0,"H",1.84,4.07,3.79,"1-0","1-1",13,3,13,4,2,2,0,0,9,11,9,8,2,20,17,"9-11","Y","N","N",4,0,2
"486","D2",2024-08-11,"Braunschweig","Magdeburg",1,3,"A",0,1,"A",2.63,3.39,2.67,"0-1","1-3",20,8,11,6,0,1,0,0,10,2,9,15,4,12,24,"10-2","Y","Y","Y",1,0,2
"487","D2",2024-08-11,"Paderborn","Darmstadt",3,1,"H",0,1,"A",1.88,3.75,3.94,"0-1","3-1",18,5,15,7,1,1,0,0,7,6,8,11,4,13,19,"7-6","Y","Y","Y",2,0,2
"488","D2",2024-08-11,"Preußen Münster","Hannover",0,0,"D",0,0,"D",3.23,3.71,2.12,"0-0","0-0",11,4,9,1,3,1,0,0,7,6,13,11,0,13,24,"7-6","N","N","N",4,0,2
"489","D2",2024-08-23,"Hannover","Hamburg",1,0,"H",0,0,"D",2.38,3.76,2.88,"0-0","1-0",9,3,8,1,4,4,0,1,1,3,20,18,1,4,38,"1-3","N","N","N",8,1,3
"490","D2",2024-08-23,"Karlsruhe","Elversberg",3,2,"H",1,1,"D",1.62,4.48,5.06,"1-1","3-2",11,8,11,3,2,0,0,0,7,3,8,6,5,10,14,"7-3","Y","Y","Y",2,0,3
"491","D2",2024-08-24,"Greuther Furth","Paderborn",1,1,"D",0,0,"D",2.59,3.68,2.62,"0-0","1-1",14,3,13,4,2,4,0,0,7,5,12,16,2,12,28,"7-5","Y","N","N",6,0,3
"492","D2",2024-08-24,"Hertha","Regensburg",2,0,"H",0,0,"D",1.56,4.39,5.78,"0-0","2-0",11,2,13,2,4,2,0,1,8,2,12,9,2,10,21,"8-2","Y","N","N",6,1,3
"493","D2",2024-08-24,"Preußen Münster","Kaiserslautern",0,1,"A",0,0,"D",2.91,3.74,2.34,"0-0","0-1",14,7,8,5,4,4,0,0,4,2,15,18,1,6,33,"4-2","N","N","N",8,0,3
"494","D2",2024-08-24,"FC Koln","Braunschweig",5,0,"H",2,0,"H",1.45,4.84,6.13,"2-0","5-0",22,13,6,3,2,1,0,0,8,2,14,7,5,10,21,"8-2","Y","Y","Y",3,0,3
"495","D2",2024-08-25,"Darmstadt","Nurnberg",1,1,"D",1,0,"H",2.2,3.68,3.1,"1-0","1-1",19,7,5,4,2,3,0,0,13,2,13,11,2,15,24,"13-2","Y","N","N",5,0,3
"496","D2",2024-08-25,"Magdeburg","Schalke 04",2,2,"D",2,1,"H",2.47,3.66,2.69,"2-1","2-2",14,8,13,7,4,2,0,0,9,4,9,12,4,13,21,"9-4","Y","Y","Y",6,0,3
"497","D2",2024-08-25,"Ulm","Fortuna Dusseldorf",1,2,"A",1,0,"H",4.01,3.66,1.88,"1-0","1-2",21,8,12,5,2,5,0,0,6,5,10,13,3,11,23,"6-5","Y","Y","N",7,0,3
"498","D2",2024-08-30,"Fortuna Dusseldorf","Hannover",1,0,"H",0,0,"D",2.37,3.46,3.09,"0-0","1-0",23,5,14,2,3,5,0,0,8,2,12,11,1,10,23,"8-2","N","N","N",8,0,4
"499","D2",2024-08-30,"Regensburg","Greuther Furth",0,4,"A",0,1,"A",2.8,3.51,2.56,"0-1","0-4",17,7,21,9,3,2,0,0,7,4,14,8,4,11,22,"7-4","Y","Y","Y",5,0,4
"500","D2",2024-08-31,"Elversberg","Darmstadt",4,0,"H",2,0,"H",2.37,3.76,2.85,"2-0","4-0",17,4,13,5,2,3,0,0,8,11,10,17,4,19,27,"8-11","Y","Y","Y",5,0,4
"501","D2",2024-08-31,"Hamburg","Preußen Münster",4,1,"H",3,0,"H",1.39,5.39,7.22,"3-0","4-1",10,7,15,7,0,0,0,0,7,10,13,8,5,17,21,"7-10","Y","Y","Y",0,0,4
"502","D2",2024-08-31,"Nurnberg","Magdeburg",0,4,"A",0,1,"A",2.68,3.6,2.58,"0-1","0-4",7,3,14,7,0,1,0,0,3,9,7,12,4,12,19,"3-9","Y","Y","Y",1,0,4
"503","D2",2024-08-31,"Kaiserslautern","Hertha",3,4,"A",2,1,"H",2.33,3.76,2.82,"2-1","3-4",24,9,17,8,1,1,0,0,11,7,6,10,7,18,16,"11-7","Y","Y","Y",2,0,4
"504","D2",2024-09-01,"Braunschweig","Karlsruhe",1,2,"A",1,0,"H",3.42,3.88,1.99,"1-0","1-2",7,1,11,3,2,1,0,0,1,6,9,10,3,7,19,"1-6","Y","Y","N",3,0,4
"505","D2",2024-09-01,"Paderborn","Ulm",0,0,"D",0,0,"D",1.53,4.55,5.51,"0-0","0-0",18,1,11,3,3,3,0,0,4,4,13,12,0,8,25,"4-4","N","N","N",6,0,4
"506","D2",2024-09-01,"Schalke 04","FC Koln",1,3,"A",0,2,"A",3.13,3.7,2.17,"0-2","1-3",15,7,11,6,2,4,0,0,6,3,6,17,4,9,23,"6-3","Y","Y","Y",6,0,4
"507","D2",2024-09-13,"Karlsruhe","Schalke 04",2,0,"H",1,0,"H",1.9,4.01,3.79,"1-0","2-0",14,4,8,2,4,1,0,0,4,3,8,14,2,7,22,"4-3","Y","N","N",5,0,5
"508","D2",2024-09-13,"Preußen Münster","Paderborn",3,3,"D",1,1,"D",3.3,3.92,2.08,"1-1","3-3",11,4,20,9,2,3,0,0,7,6,6,10,6,13,16,"7-6","Y","Y","Y",5,0,5
"509","D2",2024-09-14,"Darmstadt","Braunschweig",1,1,"D",1,0,"H",1.79,3.99,4.06,"1-0","1-1",15,3,14,3,1,7,0,0,2,10,10,13,2,12,23,"2-10","Y","N","N",8,0,5
"510","D2",2024-09-14,"Hannover","Kaiserslautern",3,1,"H",1,0,"H",1.86,3.82,3.88,"1-0","3-1",18,9,14,4,5,3,0,0,10,3,20,8,4,13,28,"10-3","Y","Y","Y",8,0,5
"511","D2",2024-09-14,"Ulm","Nurnberg",1,2,"A",0,0,"D",2.33,3.37,3.06,"0-0","1-2",12,3,15,8,5,6,0,1,2,6,11,13,3,8,24,"2-6","Y","Y","N",11,1,5
"512","D2",2024-09-14,"FC Koln","Magdeburg",1,2,"A",0,0,"D",1.49,4.74,5.72,"0-0","1-2",33,13,11,4,4,3,0,0,10,2,13,10,3,12,23,"10-2","Y","Y","N",7,0,5
