,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS,HS,HST,AS,AST,HY,AY,HR,AR,HCO,ACO,TG,TC,OV15,OV25,OV35,TY,TR,matchid,goalmins,n,shirts,Bookings,Crossbookings,GoalsXbookings,CornersXbookings,ShirtsXbookings,GoalsXcorners,GoalsXshirts,ShirtsXcorners,TGMXcorners,GoalsXcornerXbookings
92,D1,10/22/2022,Augsburg,RB Leipzig,3,3,D,1,0,H,5.75,4.4,1.6,Jan-00,3-Mar,11,3,19,8,7,1,1,0,3,6,6,9,Y,Y,Y,8,1,Augsburg-RB Leipzig,400,6,111,105,950,630,945,11655,54,666,999,3600,5670
102,D1,10/29/2022,RB Leipzig,Leverkusen,2,0,H,1,0,H,1.83,4.12,4.27,Jan-00,Feb-00,10,6,4,1,3,3,0,0,3,3,2,6,Y,N,N,6,0,RB Leipzig-Leverkusen,115,2,29,60,900,120,360,1740,12,58,174,690,720
113,D1,11/5/2022,Hoffenheim,RB Leipzig,1,3,A,0,1,A,3.06,3.75,2.33,0-1,3-Jan,11,3,17,8,4,2,0,0,6,3,4,9,Y,Y,Y,6,0,Hoffenheim-RB Leipzig,193,4,76,60,800,240,540,4560,36,304,684,1737,2160
124,D1,11/9/2022,RB Leipzig,Freiburg,3,1,H,0,0,D,1.8,4.2,4.36,0-0,1-Mar,18,8,4,2,1,4,0,0,6,2,4,8,Y,Y,Y,5,0,RB Leipzig-Freiburg,0,0,0,50,400,200,400,0,32,0,0,0,1600
132,D1,11/12/2022,Werder Bremen,RB Leipzig,1,2,A,0,1,A,3.7,4.12,1.96,0-1,2-Jan,7,5,14,3,1,2,0,0,0,4,3,4,Y,Y,N,3,0,Werder Bremen-RB Leipzig,139,3,79,30,200,90,120,2370,12,237,316,556,360
10,E0,8/7/2022,West Ham,Man City,0,2,A,0,1,A,8.58,5.48,1.38,0-1,0-2,6,1,14,2,0,1,0,0,1,4,2,5,Y,N,N,1,0,West Ham-Man City,101,2,18,10,0,20,50,180,10,36,90,505,100
141,E0,8/13/2022,Man City,Bournemouth,4,0,H,3,0,H,1.07,13.82,41,Mar-00,Apr-00,19,7,3,1,0,3,0,0,11,1,4,12,Y,Y,Y,3,0,Man City-Bournemouth,166,4,80,30,0,120,360,2400,48,320,960,1992,1440
29,E0,8/21/2022,Newcastle,Man City,3,3,D,2,1,H,9.43,5.22,1.37,1-Feb,3-Mar,12,6,21,10,4,2,0,0,5,5,6,10,Y,Y,Y,6,0,Newcastle-Man City,251,6,72,60,800,360,600,4320,60,432,720,2510,3600
36,E0,8/27/2022,Man City,Crystal Palace,4,2,H,0,2,A,1.2,7.5,16.26,0-2,2-Apr,18,5,2,2,1,2,0,0,6,1,6,7,Y,Y,Y,3,0,Man City-Crystal Palace,291,6,68,30,200,180,210,2040,42,408,476,2037,1260
47,E0,8/31/2022,Man City,Nottm Forest,6,0,H,3,0,H,1.08,13.43,31.06,Mar-00,Jun-00,17,9,8,1,0,1,0,0,10,1,6,11,Y,Y,Y,1,0,Man City-Nottm Forest,275,6,0,10,0,60,110,0,66,0,0,3025,660
58,E0,9/3/2022,Aston Villa,Man City,1,1,D,0,0,D,9.25,5.98,1.33,0-0,1-Jan,3,1,13,4,2,0,0,0,1,4,2,5,Y,N,N,2,0,Aston Villa-Man City,124,2,40,20,0,40,100,800,10,80,200,620,200
63,E0,9/17/2022,Wolves,Man City,0,3,A,0,2,A,9.3,5.52,1.36,0-2,0-3,6,1,16,7,2,1,1,0,5,7,3,12,Y,Y,N,3,1,Wolves-Man City,86,3,66,55,450,165,660,3630,36,198,792,1032,1980
75,E0,10/2/2022,Man City,Man United,6,3,H,4,0,H,1.37,5.91,7.74,Apr-00,3-Jun,22,10,12,8,0,3,0,0,5,1,9,6,Y,Y,Y,3,0,Man City-Man United,490,9,207,30,0,270,180,6210,54,1863,1242,2940,1620
80,E0,10/8/2022,Man City,Southampton,4,0,H,2,0,H,1.13,10.77,20.4,Feb-00,Apr-00,21,8,5,0,0,1,0,0,9,1,4,10,Y,Y,Y,1,0,Man City-Southampton,166,4,89,10,0,40,100,890,40,356,890,1660,400
97,E0,10/16/2022,Liverpool,Man City,1,0,H,0,0,D,4,4.11,1.88,0-0,Jan-00,13,2,16,6,3,1,0,0,5,6,1,11,N,N,N,4,0,Liverpool-Man City,76,1,11,40,300,40,440,440,11,11,121,836,440
109,E0,10/22/2022,Man City,Brighton,3,1,H,2,0,H,1.21,7.21,15.39,Feb-00,1-Mar,10,4,8,2,1,3,0,0,7,3,4,10,Y,Y,Y,4,0,Man City-Brighton,193,4,46,40,300,160,400,1840,40,184,460,1930,1600
117,E0,10/29/2022,Leicester,Man City,0,1,A,0,0,D,9.62,5.93,1.32,0-0,0-1,10,5,15,5,0,0,0,0,3,10,1,13,N,N,N,0,0,Leicester-Man City,49,1,17,0,0,0,0,0,13,17,221,637,0
128,E0,11/5/2022,Man City,Fulham,2,1,H,1,1,D,1.13,10.33,22.62,1-Jan,1-Feb,16,5,4,2,2,4,1,0,9,0,3,9,Y,Y,N,6,1,Man City-Fulham,134,3,46,85,1800,255,765,3910,27,138,414,1206,2295
137,E0,11/12/2022,Man City,Brentford,1,2,A,1,1,D,1.15,9.28,20.24,1-Jan,2-Jan,29,6,10,8,2,2,0,0,10,2,3,12,Y,Y,N,4,0,Man City-Brentford,151,3,81,40,400,120,480,3240,36,243,972,1812,1440
156,E0,12/28/2022,Leeds,Man City,1,3,A,0,1,A,9.78,6.09,1.31,0-1,3-Jan,9,1,26,9,3,3,0,0,3,5,4,8,Y,Y,Y,6,0,Leeds-Man City,233,4,55,60,900,240,480,3300,32,220,440,1864,1920
162,E0,12/31/2022,Man City,Everton,1,1,D,1,0,H,1.16,7.97,23.85,Jan-00,1-Jan,16,3,2,1,3,4,0,0,7,1,2,8,Y,N,N,7,0,Man City-Everton,88,2,20,70,1200,140,560,1400,16,40,160,704,1120
321,E0,12/31/2022,Man City,Everton,1,1,D,1,0,H,1.16,7.97,23.85,Jan-00,1-Jan,16,3,2,1,3,4,0,0,7,1,2,8,Y,N,N,7,0,Man City-Everton,160.8064516,3.322580645,56.96774194,40.96774194,441.9354839,152.2580645,382.0967742,2520.16129,32.80645161,248.6774194,519.8387097,1452.225806,1406.290323
