Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS,HS,HST,AS,AST
E0,18/10/2020,Sheffield United,Fulham,1,1,D,0,0,D,2.15,3.4,3.84,0-0,1-1,10,6,15,6
E0,18/10/2020,Crystal Palace,Brighton,1,1,D,1,0,H,2.73,3.34,2.83,1-0,1-1,1,1,20,3
E0,18/10/2020,Tottenham,West Ham,3,3,D,3,0,H,1.64,4.21,5.63,3-0,3-3,11,6,13,4
E0,18/10/2020,Leicester,Aston Villa,0,1,A,0,0,D,1.93,3.89,4.1,0-0,0-1,11,5,10,4
E0,19/10/2020,West Brom,Burnley,0,0,D,0,0,D,2.54,3.37,3.05,0-0,0-0,13,6,9,4
E0,19/10/2020,Leeds,Wolves,0,1,A,0,0,D,2.55,3.31,3.07,0-0,0-1,13,2,7,3
E0,23/10/2020,Aston Villa,Leeds,0,3,A,0,0,D,2.13,3.83,3.44,0-0,0-3,12,4,27,9
E0,24/10/2020,West Ham,Man City,1,1,D,1,0,H,7.51,5.3,1.42,1-0,1-1,6,2,14,7
E0,24/10/2020,Fulham,Crystal Palace,1,2,A,0,1,A,2.8,3.21,2.86,0-1,1-2,16,3,14,10
E0,24/10/2020,Man United,Chelsea,0,0,D,0,0,D,2.45,3.65,2.97,0-0,0-0,14,4,6,1
E0,24/10/2020,Liverpool,Sheffield United,2,1,H,1,1,D,1.25,6.66,12.96,1-1,2-1,17,5,13,2
E0,25/10/2020,Southampton,Everton,2,0,H,2,0,H,2.84,3.58,2.58,2-0,2-0,12,6,6,2
E0,25/10/2020,Wolves,Newcastle,1,1,D,0,0,D,1.79,3.59,5.48,0-0,1-1,16,3,5,2
E0,25/10/2020,Arsenal,Leicester,0,1,A,0,0,D,1.95,3.83,4.06,0-0,0-1,12,4,6,2
E0,26/10/2020,Brighton,West Brom,1,1,D,1,0,H,1.78,4.08,4.7,1-0,1-1,5,3,9,3
E0,26/10/2020,Burnley,Tottenham,0,1,A,0,0,D,5.63,4.15,1.66,0-0,0-1,13,4,9,3
E0,30/10/2020,Wolves,Crystal Palace,2,0,H,2,0,H,2.07,3.21,4.41,2-0,2-0,15,5,11,2
E0,31/10/2020,Sheffield United,Man City,0,1,A,0,1,A,9.8,5.91,1.33,0-1,0-1,5,1,16,8
E0,31/10/2020,Burnley,Chelsea,0,3,A,0,1,A,6.32,4.39,1.56,0-1,0-3,5,0,14,9
E0,31/10/2020,Liverpool,West Ham,2,1,H,1,1,D,1.4,5.32,8.03,1-1,2-1,9,5,4,3
E0,01/11/2020,Aston Villa,Southampton,3,4,A,0,3,A,2.53,3.72,2.81,0-3,3-4,19,10,9,4
E0,01/11/2020,Newcastle,Everton,2,1,H,0,0,D,3.82,3.56,2.09,0-0,2-1,11,4,15,4
E0,01/11/2020,Man United,Arsenal,0,1,A,0,0,D,2.05,3.78,3.73,0-0,0-1,8,2,7,2
E0,01/11/2020,Tottenham,Brighton,2,1,H,1,0,H,1.65,4.26,5.54,1-0,2-1,9,3,6,2
E0,02/11/2020,Fulham,West Brom,2,0,H,2,0,H,2.47,3.4,3.13,2-0,2-0,13,6,10,1
E0,02/11/2020,Leeds,Leicester,1,4,A,0,2,A,2.59,3.65,2.79,0-2,1-4,11,4,10,8
E0,06/11/2020,Brighton,Burnley,0,0,D,0,0,D,1.93,3.51,4.63,0-0,0-0,19,3,4,1
E0,06/11/2020,Southampton,Newcastle,2,0,H,1,0,H,2.08,3.62,3.8,1-0,2-0,15,8,4,2
E0,07/11/2020,Everton,Man United,1,3,A,1,2,A,2.98,3.65,2.44,1-2,1-3,7,1,13,5
E0,07/11/2020,Crystal Palace,Leeds,4,1,H,3,1,H,2.99,3.48,2.52,3-1,4-1,10,6,9,3
E0,07/11/2020,Chelsea,Sheffield United,4,1,H,2,1,H,1.41,5.06,8.48,2-1,4-1,20,9,6,3
E0,07/11/2020,West Ham,Fulham,1,0,H,0,0,D,1.85,3.98,4.34,0-0,1-0,16,7,13,3
E0,08/11/2020,West Brom,Tottenham,0,1,A,0,0,D,6.58,4.45,1.54,0-0,0-1,12,2,19,5
E0,08/11/2020,Leicester,Wolves,1,0,H,1,0,H,2.47,3.17,3.35,1-0,1-0,10,3,7,2
E0,08/11/2020,Man City,Liverpool,1,1,D,1,1,D,2,4.2,3.56,1-1,1-1,7,2,10,3
E0,08/11/2020,Arsenal,Aston Villa,0,3,A,0,1,A,1.7,4.11,5.27,0-1,0-3,13,2,15,6
E0,21/11/2020,Newcastle,Chelsea,0,2,A,0,1,A,6.74,4.61,1.52,0-1,0-2,8,1,14,3
E0,21/11/2020,Aston Villa,Brighton,1,2,A,0,1,A,2.24,3.69,3.28,0-1,1-2,15,4,7,3
E0,21/11/2020,Tottenham,Man City,2,0,H,1,0,H,4.24,4.21,1.82,1-0,2-0,4,2,22,5
E0,21/11/2020,Man United,West Brom,1,0,H,0,0,D,1.34,5.5,10.03,0-0,1-0,17,7,7,2
E0,22/11/2020,Fulham,Everton,2,3,A,1,3,A,4.06,3.86,1.93,1-3,2-3,14,6,9,7
E0,22/11/2020,Sheffield United,West Ham,0,1,A,0,0,D,3.2,3.3,2.48,0-0,0-1,9,5,15,3
E0,22/11/2020,Leeds,Arsenal,0,0,D,0,0,D,3.18,3.84,2.25,0-0,0-0,25,4,9,2
E0,22/11/2020,Liverpool,Leicester,3,0,H,2,0,H,1.88,4.08,3.84,2-0,3-0,24,13,11,4
E0,23/11/2020,Burnley,Crystal Palace,1,0,H,1,0,H,2.89,3.06,2.89,1-0,1-0,10,4,15,5
E0,23/11/2020,Wolves,Southampton,1,1,D,0,0,D,2.34,3.34,3.41,0-0,1-1,20,9,7,2
E0,27/11/2020,Crystal Palace,Newcastle,0,2,A,0,0,D,2.18,3.3,3.84,0-0,0-2,12,3,14,7
E0,28/11/2020,Brighton,Liverpool,1,1,D,0,0,D,5.42,4.25,1.65,0-0,1-1,11,3,6,2
E0,28/11/2020,Man City,Burnley,5,0,H,3,0,H,1.18,8.3,14.98,3-0,5-0,19,6,9,1
E0,28/11/2020,Everton,Leeds,0,1,A,0,0,D,2.07,3.76,3.64,0-0,0-1,15,8,23,7
E0,28/11/2020,West Brom,Sheffield United,1,0,H,1,0,H,2.66,3.22,2.99,1-0,1-0,17,6,21,5
E0,29/11/2020,Southampton,Man United,2,3,A,2,0,H,3.94,3.66,2.02,2-0,2-3,10,5,15,6
E0,29/11/2020,Chelsea,Tottenham,0,0,D,0,0,D,2.14,3.51,3.69,0-0,0-0,13,3,5,1
E0,29/11/2020,Arsenal,Wolves,1,2,A,1,2,A,2.18,3.33,3.81,1-2,1-2,13,2,11,5
E0,30/11/2020,Leicester,Fulham,1,2,A,0,2,A,1.54,4.53,6.44,0-2,1-2,16,3,10,5
E0,30/11/2020,West Ham,Aston Villa,2,1,H,1,1,D,2.36,3.64,3.09,1-1,2-1,6,2,16,6
E0,05/12/2020,Burnley,Everton,1,1,D,1,1,D,4.14,3.58,1.99,1-1,1-1,8,3,13,6
E0,05/12/2020,Man City,Fulham,2,0,H,2,0,H,1.13,10.23,23.63,2-0,2-0,16,6,6,1
E0,05/12/2020,West Ham,Man United,1,3,A,1,0,H,3.75,3.69,2.06,1-0,1-3,19,6,15,6
E0,05/12/2020,Chelsea,Leeds,3,1,H,1,1,D,1.56,4.54,6.19,1-1,3-1,23,11,8,3
E0,06/12/2020,West Brom,Crystal Palace,1,5,A,1,1,D,2.98,3.3,2.61,1-1,1-5,9,4,18,6
E0,06/12/2020,Sheffield United,Leicester,1,2,A,1,1,D,4.02,3.54,2.04,1-1,1-2,4,1,13,4
E0,06/12/2020,Tottenham,Arsenal,2,0,H,2,0,H,2.07,3.56,3.87,2-0,2-0,6,3,11,2
E0,06/12/2020,Liverpool,Wolves,4,0,H,1,0,H,1.54,4.25,7.17,1-0,4-0,11,6,9,3
E0,07/12/2020,Brighton,Southampton,1,2,A,1,1,D,2.56,3.46,2.93,1-1,1-2,12,4,10,3
E0,11/12/2020,Leeds,West Ham,1,2,A,1,1,D,2.22,3.71,3.3,1-1,1-2,13,7,19,8
E0,12/12/2020,Wolves,Aston Villa,0,1,A,0,0,D,2.4,3.32,3.28,0-0,0-1,16,7,13,2
E0,12/12/2020,Newcastle,West Brom,2,1,H,1,0,H,2.62,3.32,2.95,1-0,2-1,12,7,13,3
E0,12/12/2020,Man United,Man City,0,0,D,0,0,D,4.49,4.32,1.75,0-0,0-0,11,2,9,2
E0,12/12/2020,Everton,Chelsea,1,0,H,1,0,H,4.52,4.28,1.76,1-0,1-0,9,4,10,3
E0,13/12/2020,Southampton,Sheffield United,3,0,H,1,0,H,1.73,4.01,5.07,1-0,3-0,16,6,3,0
E0,13/12/2020,Crystal Palace,Tottenham,1,1,D,0,1,A,4.92,3.83,1.79,0-1,1-1,16,5,14,6
E0,13/12/2020,Fulham,Liverpool,1,1,D,1,0,H,8.67,5.98,1.34,1-0,1-1,10,5,12,6
E0,13/12/2020,Arsenal,Burnley,0,1,A,0,0,D,1.54,4.33,6.84,0-0,0-1,18,6,10,2
E0,13/12/2020,Leicester,Brighton,3,0,H,3,0,H,2.06,3.56,3.91,3-0,3-0,15,6,12,4
E0,15/12/2020,Wolves,Chelsea,2,1,H,0,0,D,5.59,3.9,1.7,0-0,2-1,12,4,13,3
E0,15/12/2020,Man City,West Brom,1,1,D,1,1,D,1.11,9.75,23.03,1-1,1-1,26,7,5,1
E0,16/12/2020,Arsenal,Southampton,1,1,D,0,1,A,2.27,3.55,3.32,0-1,1-1,9,4,13,3
E0,16/12/2020,Leeds,Newcastle,5,2,H,1,1,D,1.78,4.07,4.6,1-1,5-2,25,10,10,4
E0,16/12/2020,Leicester,Everton,0,2,A,0,1,A,2.23,3.62,3.37,0-1,0-2,14,2,11,6
E0,16/12/2020,Fulham,Brighton,0,0,D,0,0,D,3,3.4,2.53,0-0,0-0,9,4,9,4
E0,16/12/2020,Liverpool,Tottenham,2,1,H,1,1,D,1.81,3.9,4.64,1-1,2-1,17,11,8,2
E0,16/12/2020,West Ham,Crystal Palace,1,1,D,0,1,A,2.09,3.54,3.82,0-1,1-1,9,2,8,2
E0,17/12/2020,Aston Villa,Burnley,0,0,D,0,0,D,1.76,3.93,4.95,0-0,0-0,27,7,6,4
E0,17/12/2020,Sheffield United,Man United,2,3,A,1,2,A,7.35,4.78,1.47,1-2,2-3,12,6,14,8
E0,19/12/2020,Crystal Palace,Liverpool,0,7,A,0,3,A,6.52,4.53,1.53,0-3,0-7,5,3,14,8
E0,19/12/2020,Southampton,Man City,0,1,A,0,1,A,6.56,4.72,1.51,0-1,0-1,9,3,11,5
E0,19/12/2020,Everton,Arsenal,2,1,H,2,1,H,2.5,3.47,2.99,2-1,2-1,9,2,13,2
E0,19/12/2020,Newcastle,Fulham,1,1,D,0,1,A,2.63,3.33,2.93,0-1,1-1,12,5,11,4
E0,20/12/2020,Brighton,Sheffield United,1,1,D,0,0,D,1.69,3.85,5.79,0-0,1-1,21,5,5,3
E0,20/12/2020,Tottenham,Leicester,0,2,A,0,1,A,2.1,3.54,3.79,0-1,0-2,8,3,17,4
E0,20/12/2020,Man United,Leeds,6,2,H,4,1,H,1.73,4.31,4.66,4-1,6-2,26,14,17,3
E0,20/12/2020,West Brom,Aston Villa,0,3,A,0,1,A,3.82,3.83,2,0-1,0-3,1,1,19,10
E0,21/12/2020,Burnley,Wolves,2,1,H,1,0,H,3.73,3.19,2.27,1-0,2-1,10,4,15,3
E0,21/12/2020,Chelsea,West Ham,3,0,H,1,0,H,1.52,4.72,6.46,1-0,3-0,11,7,6,0
E0,26/12/2020,Leicester,Man United,2,2,D,1,1,D,3.08,3.67,2.35,1-1,2-2,10,2,9,4
E0,26/12/2020,Aston Villa,Crystal Palace,3,0,H,1,0,H,1.95,3.9,3.91,1-0,3-0,21,10,13,6
E0,26/12/2020,Fulham,Southampton,0,0,D,0,0,D,3.29,3.42,2.35,0-0,0-0,10,1,3,2
E0,26/12/2020,Arsenal,Chelsea,3,1,H,2,0,H,4.14,3.73,1.94,2-0,3-1,15,7,19,3
E0,26/12/2020,Man City,Newcastle,2,0,H,1,0,H,1.14,9.55,22.92,1-0,2-0,11,6,7,2
E0,26/12/2020,Sheffield United,Everton,0,1,A,0,0,D,4.26,3.66,1.94,0-0,0-1,10,2,7,3
E0,27/12/2020,Leeds,Burnley,1,0,H,1,0,H,1.76,4.09,4.71,1-0,1-0,11,4,14,6
E0,27/12/2020,West Ham,Brighton,2,2,D,0,1,A,2.42,3.38,3.19,0-1,2-2,11,4,13,4
E0,27/12/2020,Liverpool,West Brom,1,1,D,1,0,H,1.14,9.42,22.43,1-0,1-1,17,2,5,3
E0,27/12/2020,Wolves,Tottenham,1,1,D,0,1,A,3.76,3.37,2.17,0-1,1-1,11,6,6,3
E0,28/12/2020,Crystal Palace,Leicester,1,1,D,0,0,D,3.95,3.58,2.04,0-0,1-1,4,1,17,3
E0,28/12/2020,Chelsea,Aston Villa,1,1,D,1,0,H,1.71,4.25,4.89,1-0,1-1,16,5,10,2
E0,29/12/2020,Brighton,Arsenal,0,1,A,0,0,D,3.27,3.43,2.35,0-0,0-1,13,2,11,3
E0,29/12/2020,Burnley,Sheffield United,1,0,H,1,0,H,2.45,3.2,3.31,1-0,1-0,5,3,7,3
E0,29/12/2020,Southampton,West Ham,0,0,D,0,0,D,2.23,3.57,3.4,0-0,0-0,8,3,8,3
E0,29/12/2020,West Brom,Leeds,0,5,A,0,4,A,3.72,3.71,2.06,0-4,0-5,4,1,14,6
E0,29/12/2020,Man United,Wolves,1,0,H,0,0,D,1.53,4.35,5.94,0-0,1-0,11,3,9,5
E0,30/12/2020,Newcastle,Liverpool,0,0,D,0,0,D,9.61,6.09,1.32,0-0,0-0,8,2,11,4
E0,01/01/2021,Everton,West Ham,0,1,A,0,0,D,2.19,3.52,3.55,0-0,0-1,10,2,11,5
E0,01/01/2021,Man United,Aston Villa,2,1,H,1,0,H,1.78,4.14,4.52,1-0,2-1,19,9,5,5
E0,02/01/2021,Tottenham,Leeds,3,0,H,2,0,H,1.81,4.13,4.34,2-0,3-0,20,7,18,5
E0,02/01/2021,Crystal Palace,Sheffield United,2,0,H,2,0,H,2.02,3.45,3.84,2-0,2-0,9,4,7,2
E0,02/01/2021,Brighton,Wolves,3,3,D,1,3,A,2.68,3.28,2.91,1-3,3-3,13,4,11,4
E0,02/01/2021,West Brom,Arsenal,0,4,A,0,2,A,5.98,4.09,1.63,0-2,0-4,7,3,21,12
E0,03/01/2021,Newcastle,Leicester,1,2,A,0,0,D,5.35,3.99,1.7,0-0,1-2,8,2,9,3
E0,03/01/2021,Chelsea,Man City,1,3,A,0,3,A,2.95,3.67,2.4,0-3,1-3,9,2,18,6
E0,04/01/2021,Southampton,Liverpool,1,0,H,1,0,H,5.03,4.44,1.67,1-0,1-0,7,3,17,1
E0,12/01/2021,Sheffield United,Newcastle,1,0,H,0,0,D,2.53,3.18,3.2,0-0,1-0,17,4,7,3
E0,12/01/2021,Burnley,Man United,0,1,A,0,0,D,7.33,4.66,1.48,0-0,0-1,11,0,13,7
E0,12/01/2021,Wolves,Everton,1,2,A,1,1,D,2.56,3.18,3.15,1-1,1-2,12,3,5,3
E0,13/01/2021,Man City,Brighton,1,0,H,1,0,H,1.19,7.61,16.97,1-0,1-0,16,6,5,1
E0,13/01/2021,Tottenham,Fulham,1,1,D,1,0,H,1.36,4.97,8.16,1-0,1-1,15,6,15,4
E0,14/01/2021,Arsenal,Crystal Palace,0,0,D,0,0,D,1.58,4.18,6.55,0-0,0-0,11,4,12,2
E0,16/01/2021,Wolves,West Brom,2,3,A,2,1,H,1.63,3.7,7.07,2-1,2-3,23,6,12,5
E0,16/01/2021,Leeds,Brighton,0,1,A,0,1,A,2.18,3.67,3.43,0-1,0-1,7,2,7,2
E0,16/01/2021,West Ham,Burnley,1,0,H,1,0,H,1.85,3.57,4.88,1-0,1-0,15,4,10,2
E0,16/01/2021,Fulham,Chelsea,0,1,A,0,0,D,6.81,4.17,1.56,0-0,0-1,10,3,21,6
E0,16/01/2021,Leicester,Southampton,2,0,H,1,0,H,1.8,3.69,4.52,1-0,2-0,16,5,8,3
E0,17/01/2021,Sheffield United,Tottenham,1,3,A,0,2,A,6.1,3.73,1.68,0-2,1-3,15,5,14,5
E0,17/01/2021,Liverpool,Man United,0,0,D,0,0,D,1.98,4,3.71,0-0,0-0,17,3,8,4
E0,17/01/2021,Man City,Crystal Palace,4,0,H,1,0,H,1.18,7.87,18.27,1-0,4-0,13,6,2,0
E0,18/01/2021,Arsenal,Newcastle,3,0,H,0,0,D,1.45,4.73,7.98,0-0,3-0,20,6,4,1
E0,19/01/2021,West Ham,West Brom,2,1,H,1,0,H,1.58,4.23,6.35,1-0,2-1,14,6,6,2
E0,19/01/2021,Leicester,Chelsea,2,0,H,2,0,H,2.92,3.49,2.55,2-0,2-0,8,6,9,5
E0,20/01/2021,Man City,Aston Villa,2,0,H,0,0,D,1.24,6.1,11.61,0-0,2-0,28,9,11,4
E0,20/01/2021,Fulham,Man United,1,2,A,1,1,D,6.32,4.41,1.56,1-1,1-2,12,5,15,5
E0,21/01/2021,Liverpool,Burnley,0,1,A,0,0,D,1.21,7.24,15.81,0-0,0-1,27,6,6,4
E0,23/01/2021,Aston Villa,Newcastle,2,0,H,2,0,H,1.52,4.68,6.46,2-0,2-0,14,5,7,1
E0,26/01/2021,Crystal Palace,West Ham,2,3,A,1,2,A,3.21,3.32,2.44,1-2,2-3,6,3,17,7
E0,26/01/2021,Newcastle,Leeds,1,2,A,0,1,A,3.92,3.89,1.95,0-1,1-2,22,5,9,2
E0,26/01/2021,Southampton,Arsenal,1,3,A,1,2,A,3.59,3.69,2.11,1-2,1-3,13,5,9,5
E0,26/01/2021,West Brom,Man City,0,5,A,0,4,A,15.82,7.25,1.21,0-4,0-5,4,1,18,7
E0,27/01/2021,Burnley,Aston Villa,3,2,H,0,1,A,4.01,3.65,2,0-1,3-2,10,5,18,10
E0,27/01/2021,Chelsea,Wolves,0,0,D,0,0,D,1.63,4.26,5.68,0-0,0-0,14,5,4,0
E0,27/01/2021,Brighton,Fulham,0,0,D,0,0,D,2.07,3.47,3.96,0-0,0-0,16,5,10,3
E0,27/01/2021,Everton,Leicester,1,1,D,1,0,H,2.92,3.26,2.68,1-0,1-1,8,2,19,6
E0,27/01/2021,Man United,Sheffield United,1,2,A,0,1,A,1.29,6.21,11.4,0-1,1-2,16,4,5,3
E0,28/01/2021,Tottenham,Liverpool,1,3,A,0,1,A,3.33,3.61,2.25,0-1,1-3,3,2,14,7
E0,30/01/2021,Everton,Newcastle,0,2,A,0,0,D,1.61,4.03,6.49,0-0,0-2,11,3,13,3
E0,30/01/2021,Crystal Palace,Wolves,1,0,H,0,0,D,3.05,3.15,2.65,0-0,1-0,11,2,6,4
E0,30/01/2021,Man City,Sheffield United,1,0,H,1,0,H,1.13,9.43,26.18,1-0,1-0,10,5,4,1
E0,30/01/2021,West Brom,Fulham,2,2,D,0,1,A,3.43,3.26,2.36,0-1,2-2,5,3,12,7
E0,30/01/2021,Arsenal,Man United,0,0,D,0,0,D,2.93,3.46,2.55,0-0,0-0,17,3,14,3
E0,30/01/2021,Southampton,Aston Villa,0,1,A,0,1,A,2.9,3.73,2.44,0-1,0-1,20,5,8,4
E0,31/01/2021,Chelsea,Burnley,2,0,H,1,0,H,1.36,5.25,10.02,1-0,2-0,19,8,1,0
E0,31/01/2021,Leicester,Leeds,1,3,A,1,1,D,1.81,4.18,4.27,1-1,1-3,18,8,8,7
E0,31/01/2021,West Ham,Liverpool,1,3,A,0,0,D,4.65,4.1,1.77,0-0,1-3,8,2,14,5
E0,31/01/2021,Brighton,Tottenham,1,0,H,1,0,H,3.18,3.46,2.39,1-0,1-0,16,5,8,4
E0,02/02/2021,Sheffield United,West Brom,2,1,H,0,1,A,2.11,3.33,4.03,0-1,2-1,14,6,8,4
E0,02/02/2021,Wolves,Arsenal,2,1,H,1,1,D,3.71,3.36,2.2,1-1,2-1,11,7,9,3
E0,02/02/2021,Man United,Southampton,9,0,H,4,0,H,1.46,4.81,7.59,4-0,9-0,24,14,3,1
E0,02/02/2021,Newcastle,Crystal Palace,1,2,A,1,2,A,3.01,3.16,2.68,1-2,1-2,21,5,6,3
E0,03/02/2021,Burnley,Man City,0,2,A,0,2,A,14.8,6.57,1.23,0-2,0-2,2,0,17,6
E0,03/02/2021,Fulham,Leicester,0,2,A,0,2,A,4.12,3.56,2,0-2,0-2,8,1,9,5
E0,03/02/2021,Leeds,Everton,1,2,A,0,2,A,2.51,3.71,2.82,0-2,1-2,16,7,10,6
E0,03/02/2021,Aston Villa,West Ham,1,3,A,0,0,D,2.23,3.5,3.46,0-0,1-3,9,2,20,10
E0,03/02/2021,Liverpool,Brighton,0,1,A,0,0,D,1.37,5.5,8.87,0-0,0-1,11,1,13,4
E0,04/02/2021,Tottenham,Chelsea,0,1,A,0,1,A,3.58,3.52,2.18,0-1,0-1,7,2,18,2
E0,06/02/2021,Aston Villa,Arsenal,1,0,H,1,0,H,2.84,3.51,2.6,1-0,1-0,12,8,14,3
E0,06/02/2021,Burnley,Brighton,1,1,D,0,1,A,3.74,3.21,2.26,0-1,1-1,20,7,10,2
E0,06/02/2021,Newcastle,Southampton,3,2,H,3,1,H,3.06,3.32,2.54,3-1,3-2,6,4,14,5
E0,06/02/2021,Fulham,West Ham,0,0,D,0,0,D,3.66,3.56,2.13,0-0,0-0,20,2,8,1
E0,06/02/2021,Man United,Everton,3,3,D,2,0,H,1.57,4.35,6.22,2-0,3-3,14,5,6,3
E0,07/02/2021,Tottenham,West Brom,2,0,H,0,0,D,1.47,4.58,7.81,0-0,2-0,13,6,4,1
E0,07/02/2021,Wolves,Leicester,0,0,D,0,0,D,3.63,3.49,2.17,0-0,0-0,13,1,13,3
E0,07/02/2021,Liverpool,Man City,1,4,A,0,0,D,3.44,3.7,2.17,0-0,1-4,8,3,8,5
E0,07/02/2021,Sheffield United,Chelsea,1,2,A,0,1,A,7.64,4.46,1.49,0-1,1-2,8,3,9,3
E0,08/02/2021,Leeds,Crystal Palace,2,0,H,1,0,H,1.88,3.93,4.24,1-0,2-0,17,7,8,3
E0,13/02/2021,Leicester,Liverpool,3,1,H,0,0,D,3.5,3.53,2.2,0-0,3-1,11,6,15,4
E0,13/02/2021,Crystal Palace,Burnley,0,3,A,0,2,A,2.54,3.18,3.19,0-2,0-3,13,3,16,4
