"","MatchNumber","RoundNumber","Location","Date","Home_Team","Away_Team"
"49"," 49","1","stadium","10/16/2021","Young Boys","Luzern"
"50"," 50","1","stadium","10/16/2021","St. Gallen","Servette"
"51"," 51","1","stadium","10/23/2021","Young Boys","Lausanne"
"52"," 52","1","stadium","10/23/2021","Basel","Lugano"
"53"," 53","1","stadium","10/23/2021","Servette","Sion"
"54"," 54","1","stadium","10/23/2021","Luzern","St. Gallen"
"55"," 55","1","stadium","10/23/2021","Grasshoppers","Zurich"
"56"," 56","1","stadium","10/30/2021","Zurich","Basel"
"57"," 57","1","stadium","10/30/2021","Sion","Grasshoppers"
"58"," 58","1","stadium","10/30/2021","Lausanne","Luzern"
"59"," 59","1","stadium","10/30/2021","Lugano","Servette"
"60"," 60","1","stadium","10/30/2021","St. Gallen","Young Boys"
"61"," 61","1","stadium","11/6/2021","Lausanne","Lugano"
"62"," 62","1","stadium","11/6/2021","Luzern","Sion"
"63"," 63","1","stadium","11/6/2021","Basel","St. Gallen"
"64"," 64","1","stadium","11/6/2021","Grasshoppers","Young Boys"
"65"," 65","1","stadium","11/6/2021","Servette","Zurich"
"66"," 66","1","stadium","11/20/2021","Young Boys","Basel"
"67"," 67","1","stadium","11/20/2021","Servette","Grasshoppers"
"68"," 68","1","stadium","11/20/2021","St. Gallen","Lausanne"
"69"," 69","1","stadium","11/20/2021","Lugano","Luzern"
"70"," 70","1","stadium","11/20/2021","Sion","Zurich"
"71"," 71","1","stadium","11/27/2021","Luzern","Basel"
"72"," 72","1","stadium","11/27/2021","Grasshoppers","Lugano"
"73"," 73","1","stadium","11/27/2021","Lausanne","Servette"
"74"," 74","1","stadium","11/27/2021","Sion","St. Gallen"
"75"," 75","1","stadium","11/27/2021","Zurich","Young Boys"
"76"," 76","1","stadium","12/4/2021","St. Gallen","Grasshoppers"
"77"," 77","1","stadium","12/4/2021","Basel","Lausanne"
"78"," 78","1","stadium","12/4/2021","Zurich","Luzern"
"79"," 79","1","stadium","12/4/2021","Young Boys","Servette"
"80"," 80","1","stadium","12/4/2021","Lugano","Sion"
"81"," 81","1","stadium","12/11/2021","Servette","Basel"
"82"," 82","1","stadium","12/11/2021","St. Gallen","Lugano"
"83"," 83","1","stadium","12/11/2021","Grasshoppers","Luzern"
"84"," 84","1","stadium","12/11/2021","Young Boys","Sion"
"85"," 85","1","stadium","12/11/2021","Lausanne","Zurich"
"86"," 86","1","stadium","12/18/2021","Basel","Grasshoppers"
"87"," 87","1","stadium","12/18/2021","Sion","Lausanne"
"88"," 88","1","stadium","12/18/2021","Luzern","Servette"
"89"," 89","1","stadium","12/18/2021","Zurich","St. Gallen"
"90"," 90","1","stadium","12/18/2021","Lugano","Young Boys"
"91"," 91","1","stadium","1/29/2022","Luzern","Basel"
"92"," 92","1","stadium","1/29/2022","Sion","Grasshoppers"
"93"," 93","1","stadium","1/29/2022","Young Boys","Lugano"
"94"," 94","1","stadium","1/29/2022","Zurich","Servette"
"95"," 95","1","stadium","1/29/2022","Lausanne","St. Gallen"
"96"," 96","1","stadium","2/5/2022","Servette","Lausanne"
"97"," 97","1","stadium","2/5/2022","Lugano","Luzern"
"98"," 98","1","stadium","2/5/2022","Basel","Sion"
"99"," 99","1","stadium","2/5/2022","St. Gallen","Young Boys"
"100","100","1","stadium","2/5/2022","Grasshoppers","Zurich"
"101","101","1","stadium","2/12/2022","Young Boys","Basel"
"102","102","1","stadium","2/12/2022","Lausanne","Grasshoppers"
"103","103","1","stadium","2/12/2022","Zurich","Lugano"
"104","104","1","stadium","2/12/2022","St. Gallen","Servette"
"105","105","1","stadium","2/12/2022","Luzern","Sion"
"106","106","1","stadium","2/19/2022","Basel","Lausanne"
"107","107","1","stadium","2/19/2022","Servette","Luzern"
"108","108","1","stadium","2/19/2022","Lugano","St. Gallen"
"109","109","1","stadium","2/19/2022","Grasshoppers","Young Boys"
"110","110","1","stadium","2/19/2022","Sion","Zurich"
"111","111","1","stadium","2/26/2022","Zurich","Basel"
"112","112","1","stadium","2/26/2022","St. Gallen","Grasshoppers"
"113","113","1","stadium","2/26/2022","Lausanne","Luzern"
"114","114","1","stadium","2/26/2022","Lugano","Servette"
"115","115","1","stadium","2/26/2022","Young Boys","Sion"
"116","116","1","stadium","3/1/2022","Sion","Lausanne"
"117","117","1","stadium","3/1/2022","Grasshoppers","Lugano"
"118","118","1","stadium","3/1/2022","Basel","St. Gallen"
"119","119","1","stadium","3/1/2022","Servette","Young Boys"
"120","120","1","stadium","3/1/2022","Luzern","Zurich"
"121","121","1","stadium","3/5/2022","Lugano","Basel"
"122","122","1","stadium","3/5/2022","Young Boys","Luzern"
"123","123","1","stadium","3/5/2022","Grasshoppers","Servette"
"124","124","1","stadium","3/5/2022","St. Gallen","Sion"
"125","125","1","stadium","3/5/2022","Lausanne","Zurich"
"126","126","1","stadium","3/12/2022","Luzern","Grasshoppers"
"127","127","1","stadium","3/12/2022","Sion","Lugano"
"128","128","1","stadium","3/12/2022","Basel","Servette"
"129","129","1","stadium","3/12/2022","Zurich","St. Gallen"
"130","130","1","stadium","3/12/2022","Lausanne","Young Boys"
"131","131","1","stadium","3/19/2022","Grasshoppers","Basel"
"132","132","1","stadium","3/19/2022","Lugano","Lausanne"
"133","133","1","stadium","3/19/2022","St. Gallen","Luzern"
"134","134","1","stadium","3/19/2022","Servette","Sion"
"135","135","1","stadium","3/19/2022","Young Boys","Zurich"
"136","136","1","stadium","4/2/2022","Zurich","Grasshoppers"
"137","137","1","stadium","4/2/2022","Luzern","Lugano"
"138","138","1","stadium","4/2/2022","Lausanne","Servette"
"139","139","1","stadium","4/2/2022","Sion","St. Gallen"
"140","140","1","stadium","4/2/2022","Basel","Young Boys"
"141","141","1","stadium","4/9/2022","St. Gallen","Basel"
"142","142","1","stadium","4/9/2022","Young Boys","Lausanne"
"143","143","1","stadium","4/9/2022","Grasshoppers","Luzern"
"144","144","1","stadium","4/9/2022","Lugano","Sion"
"145","145","1","stadium","4/9/2022","Servette","Zurich"
"146","146","1","stadium","4/16/2022","Sion","Basel"
"147","147","1","stadium","4/16/2022","Servette","Grasshoppers"
"148","148","1","stadium","4/16/2022","Lausanne","Lugano"
"149","149","1","stadium","4/16/2022","Luzern","St. Gallen"
"150","150","1","stadium","4/16/2022","Zurich","Young Boys"
"151","151","1","stadium","4/23/2022","Grasshoppers","Lausanne"
"152","152","1","stadium","4/23/2022","St. Gallen","Lugano"
"153","153","1","stadium","4/23/2022","Basel","Luzern"
"154","154","1","stadium","4/23/2022","Young Boys","Servette"
"155","155","1","stadium","4/23/2022","Zurich","Sion"
"156","156","1","stadium","4/30/2022","Lugano","Grasshoppers"
"157","157","1","stadium","4/30/2022","Luzern","Lausanne"
"158","158","1","stadium","4/30/2022","Servette","St. Gallen"
"159","159","1","stadium","4/30/2022","Sion","Young Boys"
"160","160","1","stadium","4/30/2022","Basel","Zurich"
"161","161","1","stadium","5/7/2022","Lausanne","Basel"
"162","162","1","stadium","5/7/2022","Luzern","Servette"
"163","163","1","stadium","5/7/2022","Grasshoppers","Sion"
"164","164","1","stadium","5/7/2022","Lugano","Young Boys"
"165","165","1","stadium","5/7/2022","St. Gallen","Zurich"
"166","166","1","stadium","5/10/2022","Basel","Grasshoppers"
"167","167","1","stadium","5/10/2022","Zurich","Lausanne"
"168","168","1","stadium","5/10/2022","Servette","Lugano"
"169","169","1","stadium","5/10/2022","Sion","Luzern"
"170","170","1","stadium","5/10/2022","Young Boys","St. Gallen"
"171","171","1","stadium","5/19/2022","Servette","Basel"
"172","172","1","stadium","5/19/2022","Lausanne","Sion"
"173","173","1","stadium","5/19/2022","Grasshoppers","St. Gallen"
"174","174","1","stadium","5/19/2022","Luzern","Young Boys"
"175","175","1","stadium","5/19/2022","Lugano","Zurich"
"176","176","1","stadium","5/22/2022","Young Boys","Grasshoppers"
"177","177","1","stadium","5/22/2022","St. Gallen","Lausanne"
"178","178","1","stadium","5/22/2022","Basel","Lugano"
"179","179","1","stadium","5/22/2022","Zurich","Luzern"
"180","180","1","stadium","5/22/2022","Sion","Servette"
