"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS"
"175","E0",2010-12-26,"Bolton","West Brom",2,0,"H",1,0,"H",2,3.4,3.75,"1-0","2-0"
"176","E0",2010-12-26,"Fulham","West Ham",1,3,"A",1,2,"A",2,3.4,3.75,"1-2","1-3"
"177","E0",2010-12-26,"Man United","Sunderland",2,0,"H",1,0,"H",1.25,5.5,12,"1-0","2-0"
"178","E0",2010-12-26,"Newcastle","Man City",1,3,"A",0,2,"A",3.4,3.4,2.1,"0-2","1-3"
"179","E0",2010-12-26,"Wolves","Wigan",1,2,"A",0,2,"A",2.1,3.3,3.5,"0-2","1-2"
"180","E0",2010-12-27,"Arsenal","Chelsea",3,1,"H",1,0,"H",2.5,3.3,2.8,"1-0","3-1"
"181","E0",2010-12-28,"Birmingham","Man United",1,1,"D",0,0,"D",6.5,3.75,1.53,"0-0","1-1"
"182","E0",2010-12-28,"Man City","Aston Villa",4,0,"H",3,0,"H",1.5,4,7,"3-0","4-0"
"183","E0",2010-12-28,"Stoke","Fulham",0,2,"A",0,2,"A",1.83,3.5,4.33,"0-2","0-2"
"184","E0",2010-12-28,"Sunderland","Blackpool",0,2,"A",0,0,"D",1.62,3.75,5.5,"0-0","0-2"
"185","E0",2010-12-28,"Tottenham","Newcastle",2,0,"H",0,0,"D",1.5,4,7,"0-0","2-0"
"186","E0",2010-12-28,"West Brom","Blackburn",1,3,"A",1,1,"D",1.91,3.4,4,"1-1","1-3"
"187","E0",2010-12-28,"West Ham","Everton",1,1,"D",1,1,"D",3,3.3,2.3,"1-1","1-1"
"188","E0",2010-12-29,"Chelsea","Bolton",1,0,"H",0,0,"D",1.3,5,10,"0-0","1-0"
"189","E0",2010-12-29,"Liverpool","Wolves",0,1,"A",0,0,"D",1.29,5.5,10,"0-0","0-1"
"190","E0",2010-12-29,"Wigan","Arsenal",2,2,"D",1,2,"A",7,4.33,1.44,"1-2","2-2"
"191","E0",2011-01-01,"Birmingham","Arsenal",0,3,"A",0,1,"A",5.5,3.5,1.67,"0-1","0-3"
"192","E0",2011-01-01,"Liverpool","Bolton",2,1,"H",0,1,"A",1.67,3.75,5,"0-1","2-1"
"193","E0",2011-01-01,"Man City","Blackpool",1,0,"H",1,0,"H",1.29,5.5,10,"1-0","1-0"
"194","E0",2011-01-01,"Stoke","Everton",2,0,"H",1,0,"H",2.62,3.3,2.62,"1-0","2-0"
"195","E0",2011-01-01,"Sunderland","Blackburn",3,0,"H",2,0,"H",1.83,3.4,4.5,"2-0","3-0"
"196","E0",2011-01-01,"Tottenham","Fulham",1,0,"H",1,0,"H",1.4,4.5,8,"1-0","1-0"
"197","E0",2011-01-01,"West Brom","Man United",1,2,"A",1,1,"D",6.5,3.75,1.53,"1-1","1-2"
"198","E0",2011-01-01,"West Ham","Wolves",2,0,"H",0,0,"D",1.91,3.5,3.75,"0-0","2-0"
"199","E0",2011-01-02,"Chelsea","Aston Villa",3,3,"D",1,1,"D",1.25,5.5,12,"1-1","3-3"
"200","E0",2011-01-02,"Wigan","Newcastle",0,1,"A",0,1,"A",2.5,3.3,2.8,"0-1","0-1"
"201","E0",2011-01-04,"Blackpool","Birmingham",1,2,"A",0,1,"A",2.2,3.3,3.3,"0-1","1-2"
"202","E0",2011-01-04,"Fulham","West Brom",3,0,"H",1,0,"H",2.1,3.3,3.5,"1-0","3-0"
"203","E0",2011-01-04,"Man United","Stoke",2,1,"H",1,0,"H",1.25,5.5,12,"1-0","2-1"
"204","E0",2011-01-05,"Arsenal","Man City",0,0,"D",0,0,"D",1.91,3.4,4,"0-0","0-0"
"205","E0",2011-01-05,"Aston Villa","Sunderland",0,1,"A",0,0,"D",2,3.5,3,"0-0","0-1"
"206","E0",2011-01-05,"Blackburn","Liverpool",3,1,"H",2,0,"H",2.75,3.25,2.2,"2-0","3-1"
"207","E0",2011-01-05,"Bolton","Wigan",1,1,"D",0,0,"D",1.62,3.5,4.5,"0-0","1-1"
"208","E0",2011-01-05,"Everton","Tottenham",2,1,"H",1,1,"D",2.7,3.25,2.62,"1-1","2-1"
"209","E0",2011-01-05,"Newcastle","West Ham",5,0,"H",3,0,"H",1.73,3.4,4,"3-0","5-0"
"210","E0",2011-01-05,"Wolves","Chelsea",1,0,"H",1,0,"H",5.5,3.6,1.5,"1-0","1-0"
"211","E0",2011-01-12,"Blackpool","Liverpool",2,1,"H",1,1,"D",4,3.4,1.91,"1-1","2-1"
"212","E0",2011-01-15,"Chelsea","Blackburn",2,0,"H",0,0,"D",1.29,5.5,10,"0-0","2-0"
"213","E0",2011-01-15,"Man City","Wolves",4,3,"H",1,1,"D",1.3,5,11,"1-1","4-3"
"214","E0",2011-01-15,"Stoke","Bolton",2,0,"H",1,0,"H",2.1,3.3,3.5,"1-0","2-0"
"215","E0",2011-01-15,"West Brom","Blackpool",3,2,"H",1,1,"D",1.73,3.75,4.5,"1-1","3-2"
"216","E0",2011-01-15,"West Ham","Arsenal",0,3,"A",0,2,"A",6,3.75,1.57,"0-2","0-3"
"217","E0",2011-01-15,"Wigan","Fulham",1,1,"D",0,0,"D",2.5,3.3,2.8,"0-0","1-1"
"218","E0",2011-01-16,"Birmingham","Aston Villa",1,1,"D",0,0,"D",2.5,3.3,2.8,"0-0","1-1"
"219","E0",2011-01-16,"Liverpool","Everton",2,2,"D",1,0,"H",2.25,3.25,3.25,"1-0","2-2"
"220","E0",2011-01-16,"Sunderland","Newcastle",1,1,"D",0,0,"D",2.2,3.3,3.3,"0-0","1-1"
"221","E0",2011-01-16,"Tottenham","Man United",0,0,"D",0,0,"D",3,3.25,2.38,"0-0","0-0"
"222","E0",2011-01-22,"Arsenal","Wigan",3,0,"H",1,0,"H",1.2,6,15,"1-0","3-0"
"223","E0",2011-01-22,"Aston Villa","Man City",1,0,"H",1,0,"H",3.75,3.4,2,"1-0","1-0"
"224","E0",2011-01-22,"Blackpool","Sunderland",1,2,"A",0,2,"A",2.6,3.4,2.6,"0-2","1-2"
"225","E0",2011-01-22,"Everton","West Ham",2,2,"D",0,1,"A",1.53,3.75,6.5,"0-1","2-2"
"226","E0",2011-01-22,"Fulham","Stoke",2,0,"H",1,0,"H",2.25,3.25,3.25,"1-0","2-0"
"227","E0",2011-01-22,"Man United","Birmingham",5,0,"H",3,0,"H",1.2,6,15,"3-0","5-0"
"228","E0",2011-01-22,"Newcastle","Tottenham",1,1,"D",0,0,"D",3.2,3.3,2.25,"0-0","1-1"
"229","E0",2011-01-22,"Wolves","Liverpool",0,3,"A",0,1,"A",3.25,3.25,2.25,"0-1","0-3"
"230","E0",2011-01-23,"Blackburn","West Brom",2,0,"H",1,0,"H",2.2,3.3,3.3,"1-0","2-0"
"231","E0",2011-01-24,"Bolton","Chelsea",0,4,"A",0,2,"A",5.5,3.5,1.67,"0-2","0-4"
"232","E0",2011-01-25,"Blackpool","Man United",2,3,"A",2,0,"H",8,5,1.36,"2-0","2-3"
