,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS,HS,HST,AS,AST,HY,AY,HR,AR,HCO,ACO,HF,AF,TG,TC,TF,COSC,OV15,OV25,OV35,TY,TR,matchid,ligueone_goalmins,n,ligueone_shirts,Bookings,Crossbookings,GoalsXbookings,CornersXbookings,ShirtsXbookings,GoalsXcorners,GoalsXshirts,ShirtsXcorners,TGMXcorners,GoalsXcornerXbookings
175,F1,1/11/2023,Nantes,Lyon,0,0,D,0,0,D,3.39,3.43,2.29,0-0,0-0,13,5,10,6,2,3,0,0,6,1,12,15,0,7,27,1-Jun,N,N,N,5,0,Nantes-Lyon,0,0,0,50,600,0,350,0,0,0,0,0,0
183,F1,1/14/2023,Lyon,Strasbourg,1,2,A,1,2,A,1.63,4.38,5.49,2-Jan,2-Jan,28,7,8,6,1,3,0,0,14,2,10,16,3,16,26,14-2,Y,Y,N,4,0,Lyon-Strasbourg,106,3,36,40,300,120,640,1440,48,108,576,1696,1920
199,F1,1/29/2023,Ajaccio,Lyon,0,2,A,0,1,A,4.93,3.72,1.81,0-1,0-2,16,5,8,2,2,3,0,0,5,1,22,18,2,6,40,1-May,Y,N,N,5,0,Ajaccio-Lyon,91,2,34,50,600,100,300,1700,12,68,204,546,600
207,F1,2/1/2023,Lyon,Brest,0,0,D,0,0,D,1.54,4.71,6.04,0-0,0-0,28,8,8,1,0,0,0,0,15,2,10,13,0,17,23,15-2,N,N,N,0,0,Lyon-Brest,0,0,0,0,0,0,0,0,0,0,0,0,0
212,F1,2/4/2023,Troyes,Lyon,1,3,A,0,1,A,4.65,4.25,1.74,0-1,3-Jan,8,2,10,6,0,1,0,0,5,6,10,14,4,11,24,6-May,Y,Y,Y,1,0,Troyes-Lyon,254,4,0,10,0,40,110,0,44,0,0,2794,440
230,F1,2/12/2023,Lyon,Lens,2,1,H,1,1,D,2.43,3.52,3.07,1-Jan,1-Feb,11,5,14,4,1,1,0,0,2,5,15,11,3,7,26,5-Feb,Y,Y,N,2,0,Lyon-Lens,126,3,31,20,100,60,140,620,21,93,217,882,420
231,F1,2/17/2023,Auxerre,Lyon,2,1,H,0,1,A,4.14,3.69,1.96,0-1,1-Feb,8,3,6,4,4,2,0,0,6,4,17,12,3,10,29,4-Jun,Y,Y,N,6,0,Auxerre-Lyon,140,3,23,60,800,180,600,1380,30,69,230,1400,1800
242,F1,2/25/2023,Angers,Lyon,1,3,A,0,1,A,5.07,3.98,1.74,0-1,3-Jan,11,2,7,5,0,0,0,0,2,2,16,6,4,4,22,2-Feb,Y,Y,Y,0,0,Angers-Lyon,295,4,75,0,0,0,0,0,16,300,300,1180,0
259,F1,3/5/2023,Lyon,Lorient,0,0,D,0,0,D,1.56,4.5,5.92,0-0,0-0,17,5,11,1,1,0,0,0,6,5,19,6,0,11,25,5-Jun,N,N,N,1,0,Lyon-Lorient,0,0,0,10,0,0,110,0,0,0,0,0,0
531,F1,3/5/2023,Lyon,Lorient,0,0,D,0,0,D,1.56,4.5,5.92,0-0,0-0,17,5,11,1,1,0,0,0,6,5,19,6,0,11,25,5-Jun,N,N,N,1,0,Lyon-Lorient,137.5769231,2.807692308,38,40.48076923,475.9615385,113.75,383.2692308,1725.192308,25.63461538,147.9230769,346.6730769,1239.846154,1063.557692
