"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","COSC","OV15","OV25","OV35","TY","TR","matchid","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"207","F1",2023-02-01,"Lyon","Brest",0,0,"D",0,0,"D",1.54,4.71,6.04,"0-0","0-0",28,8,8,1,0,0,0,0,15,2,0,17,"15-2","N","N","N",0,0,"Lyon-Brest",0,0,0,0,0,0,0,0,0,0,0,0,0
"212","F1",2023-02-04,"Troyes","Lyon",1,3,"A",0,1,"A",4.65,4.25,1.74,"0-1","1-3",8,2,10,6,0,1,0,0,5,6,4,11,"5-6","Y","Y","Y",1,0,"Troyes-Lyon",254,4,65,10,0,40,110,650,44,260,715,2794,440
"6","F1",2022-08-07,"Lens","Brest",3,2,"H",1,0,"H",1.6,4.6,5.51,"1-0","3-2",17,7,6,4,2,4,0,0,6,3,5,9,"6-3","Y","Y","Y",6,0,"Lens-Brest",302,5,38,60,800,300,540,2280,45,190,342,2718,2700
"14","F1",2022-08-14,"Ajaccio","Lens",0,0,"D",0,0,"D",3.31,3.29,2.4,"0-0","0-0",9,2,12,3,5,2,0,0,1,3,0,4,"1-3","N","N","N",7,0,"Ajaccio-Lens",0,0,0,70,1000,0,280,0,0,0,0,0,0
"21","F1",2022-08-20,"Monaco","Lens",1,4,"A",1,2,"A",1.78,4.1,4.6,"1-2","1-4",12,5,14,6,4,0,1,0,3,5,5,8,"3-5","Y","Y","Y",4,1,"Monaco-Lens",219,5,49,65,0,325,520,3185,40,245,392,1752,2600
"32","F1",2022-08-27,"Lens","Rennes",2,1,"H",0,0,"D",2.6,3.51,2.83,"0-0","2-1",17,4,12,6,0,1,0,0,7,2,3,9,"7-2","Y","Y","N",1,0,"Lens-Rennes",226,3,43,10,0,30,90,430,27,129,387,2034,270
"45","F1",2022-08-31,"Lens","Lorient",5,2,"H",2,1,"H",1.56,4.47,6.2,"2-1","5-2",15,8,10,3,1,3,0,0,4,5,7,9,"4-5","Y","Y","Y",4,0,"Lens-Lorient",363,7,99,40,300,280,360,3960,63,693,891,3267,2520
"57","F1",2022-09-04,"Reims","Lens",1,1,"D",0,0,"D",3.23,3.58,2.31,"0-0","1-1",17,4,20,4,2,2,0,1,4,4,2,8,"4-4","Y","N","N",4,1,"Reims-Lens",153,2,0,65,900,130,520,0,16,0,0,1224,1040
"61","F1",2022-09-09,"Lens","Troyes",1,0,"H",1,0,"H",1.52,4.75,6.35,"1-0","1-0",12,3,7,2,2,1,0,0,9,1,1,10,"9-1","N","N","N",3,0,"Lens-Troyes",39,1,4,30,200,30,300,120,10,4,40,390,300
"79","F1",2022-09-18,"Nantes","Lens",0,0,"D",0,0,"D",3.29,3.62,2.26,"0-0","0-0",12,4,8,2,1,1,0,0,3,7,0,10,"3-7","N","N","N",2,0,"Nantes-Lens",0,0,0,20,100,0,200,0,0,0,0,0,0
"901","F1",2022-10-02,"Lens","Lyon",1,0,"H",0,0,"D",2.57,3.87,2.67,"0-0","1-0",21,6,4,0,2,2,0,0,6,2,1,8,"6-2","N","N","N",4,0,"Lens-Lyon",82,1,7,40,400,40,320,280,8,7,56,656,320
"100","F1",2022-10-09,"Lille","Lens",1,0,"H",1,0,"H",2.49,3.59,2.92,"1-0","1-0",12,6,10,3,3,5,0,0,5,9,1,14,"5-9","N","N","N",8,0,"Lille-Lens",44,1,9,80,1500,80,1120,720,14,9,126,616,1120
"103","F1",2022-10-15,"Lens","Montpellier",1,0,"H",0,0,"D",1.43,5.11,7.78,"0-0","1-0",17,5,8,1,2,2,0,0,4,5,1,9,"4-5","N","N","N",4,0,"Lens-Montpellier",67,1,22,40,400,40,360,880,9,22,198,603,360
"113","F1",2022-10-22,"Marseille","Lens",0,1,"A",0,0,"D",2.21,3.57,3.45,"0-0","0-1",13,3,12,4,3,3,0,0,7,3,1,10,"7-3","N","N","N",6,0,"Marseille-Lens",78,1,20,60,900,60,600,1200,10,20,200,780,600
