"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","COSC","OV15","OV25","OV35","TY","TR","matchid","bundesliga_goalmins","n","bundesliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"81","D1",2022-10-09,"Stuttgart","Union Berlin",0,1,"A",0,0,"D",2.65,3.25,2.97,"0-0","0-1",9,3,7,4,3,3,1,0,2,5,1,7,"2-5","N","N","N",6,1,"Stuttgart-Union Berlin",76,1,3,85,1650,85,595,255,7,3,21,532,595
"89","D1",2022-10-16,"Union Berlin","Dortmund",2,0,"H",2,0,"H",3.06,3.51,2.44,"2-0","2-0",14,5,13,6,1,2,0,0,5,8,2,13,"5-8","Y","N","N",3,0,"Union Berlin-Dortmund",29,2,38,30,200,60,390,1140,26,76,494,377,780
"98","D1",2022-10-23,"Bochum","Union Berlin",2,1,"H",1,0,"H",4.48,3.48,1.95,"1-0","2-1",8,5,6,3,1,3,0,0,3,7,3,10,"3-7","Y","Y","N",4,0,"Bochum-Union Berlin",204,3,82,40,300,120,400,3280,30,246,820,2040,1200
"106","D1",2022-10-30,"Union Berlin","Mgladbach",2,1,"H",0,1,"A",2.06,3.53,3.95,"0-1","2-1",14,5,7,3,3,2,0,0,6,5,3,11,"6-5","Y","Y","N",5,0,"Union Berlin-Mgladbach",202,3,52,50,600,150,550,2600,33,156,572,2222,1650
"116","D1",2022-11-06,"Leverkusen","Union Berlin",5,0,"H",0,0,"D",2.2,3.48,3.57,"0-0","5-0",11,8,6,1,1,4,0,0,1,5,5,6,"1-5","Y","Y","Y",5,0,"Leverkusen-Union Berlin",304,5,74,50,400,250,300,3700,30,370,444,1824,1500
"126","D1",2022-11-09,"Union Berlin","Augsburg",2,2,"D",2,2,"D",1.57,4.21,6.65,"2-2","2-2",18,6,7,2,1,4,0,0,6,3,4,9,"6-3","Y","Y","Y",5,0,"Union Berlin-Augsburg",76,4,58,50,400,200,450,2900,36,232,522,684,1800
"135","D1",2022-11-13,"Freiburg","Union Berlin",4,1,"H",4,0,"H",2.06,3.32,4.25,"4-0","4-1",7,5,4,2,0,1,0,1,2,1,5,3,"2-1","Y","Y","Y",1,1,"Freiburg-Union Berlin",159,5,145,35,0,175,105,5075,15,725,435,477,525
"140","D1",2023-01-21,"Union Berlin","Hoffenheim",3,1,"H",0,1,"A",2.29,3.45,3.38,"0-1","3-1",23,5,10,5,2,1,0,0,9,4,4,13,"9-4","Y","Y","Y",3,0,"Union Berlin-Hoffenheim",295,4,59,30,200,120,390,1770,52,236,767,3835,1560
"153","D1",2023-01-25,"Werder Bremen","Union Berlin",1,2,"A",1,1,"D",2.94,3.33,2.62,"1-1","1-2",8,3,11,5,0,0,0,0,5,7,3,12,"5-7","Y","Y","N",0,0,"Werder Bremen-Union Berlin",77,3,0,0,0,0,0,0,36,0,0,924,0
"156","D1",2023-01-28,"Hertha","Union Berlin",0,2,"A",0,1,"A",3.76,3.37,2.18,"0-1","0-2",10,3,7,3,1,2,0,0,3,2,2,5,"3-2","Y","N","N",3,0,"Hertha-Union Berlin",111,2,19,30,200,60,150,570,10,38,95,555,300
"168","D1",2023-02-04,"Union Berlin","Mainz",2,1,"H",1,0,"H",1.99,3.42,4.36,"1-0","2-1",9,5,9,2,1,1,0,0,5,5,3,10,"5-5","Y","Y","N",2,0,"Union Berlin-Mainz",194,3,73,20,100,60,200,1460,30,219,730,1940,600
"39","D1",2023-02-04,"Union Berlin","Mainz",2,1,"H",1,0,"H",1.99,3.42,4.36,"1-0","2-1",9,5,9,2,1,1,0,0,5,5,3,10,"5-5","Y","Y","N",2,0,"Union Berlin-Mainz",151.763157894737,3.13157894736842,56.1578947368421,40.5263157894737,451.315789473684,124.078947368421,375.526315789474,2253.28947368421,28.5789473684211,223.131578947368,508.973684210526,1367.92105263158,1136.97368421053
