"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","OV15","OV25","OV35","TY","TR","matchid","bundesliga_goalmins","n","bundesliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"98","D1",2022-10-23,"Bochum","Union Berlin",2,1,"H",1,0,"H",4.48,3.48,1.95,"1-0","2-1",8,5,6,3,1,3,0,0,3,7,3,10,"Y","Y","N",4,0,"Bochum-Union Berlin",0,0,0,40,300,120,400,0,30,0,0,0,1200
"104","D1",2022-10-29,"Wolfsburg","Bochum",4,0,"H",2,0,"H",1.72,4.24,4.85,"2-0","4-0",22,7,10,3,1,1,0,0,7,2,4,9,"Y","Y","Y",2,0,"Wolfsburg-Bochum",0,0,0,20,100,80,180,0,36,0,0,0,720
"111","D1",2022-11-05,"Dortmund","Bochum",3,0,"H",3,0,"H",1.25,6.51,12.47,"3-0","3-0",6,3,7,1,1,1,0,0,2,5,3,7,"Y","Y","N",2,0,"Dortmund-Bochum",0,0,0,20,100,60,140,0,21,0,0,0,420
"120","D1",2022-11-08,"Bochum","Mgladbach",2,1,"H",2,0,"H",3.28,3.64,2.26,"2-0","2-1",13,4,8,2,1,3,0,0,6,3,3,9,"Y","Y","N",4,0,"Bochum-Mgladbach",0,0,0,40,300,120,360,0,27,0,0,0,1080
"128","D1",2022-11-12,"Augsburg","Bochum",0,1,"A",0,0,"D",2.23,3.62,3.36,"0-0","0-1",19,5,11,4,1,1,0,0,6,2,1,8,"N","N","N",2,0,"Augsburg-Bochum",0,0,0,20,100,20,160,0,8,0,0,0,160
"137","D1",2023-01-21,"Bochum","Hertha",3,1,"H",2,0,"H",2.44,3.61,2.98,"2-0","3-1",10,3,10,2,1,1,0,0,1,6,4,7,"Y","Y","Y",2,0,"Bochum-Hertha",0,0,0,20,100,80,140,0,28,0,0,0,560
"152","D1",2023-01-25,"Leverkusen","Bochum",2,0,"H",1,0,"H",1.45,4.98,7.28,"1-0","2-0",11,4,9,2,2,4,0,0,3,4,2,7,"Y","N","N",6,0,"Leverkusen-Bochum",0,0,0,60,800,120,420,0,14,0,0,0,840
"158","D1",2023-01-28,"Mainz","Bochum",5,2,"H",3,0,"H",1.74,4.06,4.96,"3-0","5-2",14,7,14,4,0,1,0,0,3,2,7,5,"Y","Y","Y",1,0,"Mainz-Bochum",0,0,0,10,0,70,50,0,35,0,0,0,350
"31","D1",2022-08-06,"Bochum","Mainz",1,2,"A",1,1,"D",3.34,3.43,2.32,"1-1","1-2",16,3,13,6,2,3,0,0,3,5,3,8,"Y","Y","N",5,0,"Bochum-Mainz",142,3,25,50,600,150,400,1250,24,75,200,1136,1200
"121","D1",2022-08-13,"Hoffenheim","Bochum",3,2,"H",2,2,"D",1.61,4.5,5.48,"2-2","3-2",24,13,11,5,1,1,0,0,8,2,5,10,"Y","Y","Y",2,0,"Hoffenheim-Bochum",148,5,47,20,100,100,200,940,50,235,470,1480,1000
"271","D1",2022-08-21,"Bochum","Bayern Munich",0,7,"A",0,4,"A",13.39,8.03,1.2,"0-4","0-7",13,7,22,12,1,0,0,0,5,5,7,10,"Y","Y","Y",1,0,"Bochum-Bayern Munich",0,0,0,10,0,70,100,0,70,0,0,0,700
"281","D1",2022-08-26,"Freiburg","Bochum",1,0,"H",0,0,"D",1.53,4.81,6.12,"0-0","1-0",28,12,15,5,2,2,0,0,2,5,1,7,"N","N","N",4,0,"Freiburg-Bochum",0,0,0,40,400,40,280,0,7,0,0,0,280
"381","D1",2022-09-03,"Bochum","Werder Bremen",0,2,"A",0,0,"D",2.99,3.71,2.39,"0-0","0-2",19,6,16,6,2,2,0,0,7,3,2,10,"Y","N","N",4,0,"Bochum-Werder Bremen",0,0,0,40,400,80,400,0,20,0,0,0,800
"521","D1",2022-09-10,"Schalke 04","Bochum",3,1,"H",1,0,"H",2.07,3.69,3.73,"1-0","3-1",20,8,9,2,2,3,0,0,3,8,4,11,"Y","Y","Y",5,0,"Schalke 04-Bochum",0,0,0,50,600,200,550,0,44,0,0,0,2200
"621","D1",2022-09-18,"Bochum","FC Koln",1,1,"D",1,0,"H",3.09,3.75,2.31,"1-0","1-1",7,0,18,3,0,1,0,0,4,8,2,12,"Y","N","N",1,0,"Bochum-FC Koln",0,0,0,10,0,20,120,0,24,0,0,0,240
"681","D1",2022-10-01,"RB Leipzig","Bochum",4,0,"H",2,0,"H",1.25,7.21,11.05,"2-0","4-0",17,9,2,1,0,2,0,0,7,2,4,9,"Y","Y","Y",2,0,"RB Leipzig-Bochum",0,0,0,20,0,80,180,0,36,0,0,0,720
"751","D1",2022-10-08,"Bochum","Ein Frankfurt",3,0,"H",0,0,"D",4.01,4.01,1.91,"0-0","3-0",11,6,11,2,2,1,0,0,9,4,3,13,"Y","Y","N",3,0,"Bochum-Ein Frankfurt",0,0,0,30,200,90,390,0,39,0,0,0,1170
"841","D1",2022-10-15,"Stuttgart","Bochum",4,1,"H",2,1,"H",1.68,4.03,5.5,"2-1","4-1",16,7,14,4,0,3,0,0,3,3,5,6,"Y","Y","Y",3,0,"Stuttgart-Bochum",0,0,0,30,0,150,180,0,30,0,0,0,900
"981","D1",2022-10-23,"Bochum","Union Berlin",2,1,"H",1,0,"H",4.48,3.48,1.95,"1-0","2-1",8,5,6,3,1,3,0,0,3,7,3,10,"Y","Y","N",4,0,"Bochum-Union Berlin",0,0,0,40,300,120,400,0,30,0,0,0,1200
"1041","D1",2022-10-29,"Wolfsburg","Bochum",4,0,"H",2,0,"H",1.72,4.24,4.85,"2-0","4-0",22,7,10,3,1,1,0,0,7,2,4,9,"Y","Y","Y",2,0,"Wolfsburg-Bochum",0,0,0,20,100,80,180,0,36,0,0,0,720
"1111","D1",2022-11-05,"Dortmund","Bochum",3,0,"H",3,0,"H",1.25,6.51,12.47,"3-0","3-0",6,3,7,1,1,1,0,0,2,5,3,7,"Y","Y","N",2,0,"Dortmund-Bochum",0,0,0,20,100,60,140,0,21,0,0,0,420
"1201","D1",2022-11-08,"Bochum","Mgladbach",2,1,"H",2,0,"H",3.28,3.64,2.26,"2-0","2-1",13,4,8,2,1,3,0,0,6,3,3,9,"Y","Y","N",4,0,"Bochum-Mgladbach",0,0,0,40,300,120,360,0,27,0,0,0,1080
"1281","D1",2022-11-12,"Augsburg","Bochum",0,1,"A",0,0,"D",2.23,3.62,3.36,"0-0","0-1",19,5,11,4,1,1,0,0,6,2,1,8,"N","N","N",2,0,"Augsburg-Bochum",0,0,0,20,100,20,160,0,8,0,0,0,160
"1371","D1",2023-01-21,"Bochum","Hertha",3,1,"H",2,0,"H",2.44,3.61,2.98,"2-0","3-1",10,3,10,2,1,1,0,0,1,6,4,7,"Y","Y","Y",2,0,"Bochum-Hertha",0,0,0,20,100,80,140,0,28,0,0,0,560
"1521","D1",2023-01-25,"Leverkusen","Bochum",2,0,"H",1,0,"H",1.45,4.98,7.28,"1-0","2-0",11,4,9,2,2,4,0,0,3,4,2,7,"Y","N","N",6,0,"Leverkusen-Bochum",0,0,0,60,800,120,420,0,14,0,0,0,840
"1581","D1",2023-01-28,"Mainz","Bochum",5,2,"H",3,0,"H",1.74,4.06,4.96,"3-0","5-2",14,7,14,4,0,1,0,0,3,2,7,5,"Y","Y","Y",1,0,"Mainz-Bochum",0,0,0,10,0,70,50,0,35,0,0,0,350
"37","D1",2023-01-28,"Mainz","Bochum",5,2,"H",3,0,"H",1.74,4.06,4.96,"3-0","5-2",14,7,14,4,0,1,0,0,3,2,7,5,"Y","Y","Y",1,0,"Mainz-Bochum",16.1111111111111,0.444444444444444,4,29.4444444444444,227.777777777778,91.6666666666667,258.333333333333,121.666666666667,30.1666666666667,17.2222222222222,37.2222222222222,145.333333333333,807.777777777778
