"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","COSC","OV15","OV25","OV35","TY","TR","matchid","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"103","I1",2022-10-22,"Milan","Monza",4,1,"H",2,0,"H",1.42,4.98,8.24,"2-0","4-1",12,7,16,6,1,1,0,0,2,2,5,4,"2-2","Y","Y","Y",2,0,"Milan-Monza",276,5,86,20,100,100,80,1720,20,430,344,1104,400
"1201","I1",2022-10-31,"Monza","Bologna",1,2,"A",0,0,"D",2.27,3.35,3.54,"0-0","1-2",9,3,10,5,4,2,0,0,4,5,3,9,"4-5","Y","Y","N",6,0,"Monza-Bologna",190,3,63,60,800,180,540,3780,27,189,567,1710,1620
"127","I1",2022-11-06,"Monza","Verona",2,0,"H",0,0,"D",2.25,3.44,3.47,"0-0","2-0",14,3,7,2,3,1,0,1,5,2,2,7,"5-2","Y","N","N",4,1,"Monza-Verona",158,2,58,65,1050,130,455,3770,14,116,406,1106,910
"140","I1",2022-11-10,"Lazio","Monza",1,0,"H",0,0,"D",1.62,4.24,5.83,"0-0","1-0",12,4,8,0,2,1,0,0,4,3,1,7,"4-3","N","N","N",3,0,"Lazio-Monza",69,1,18,30,200,30,210,540,7,18,126,483,210
"146","I1",2022-11-13,"Monza","Salernitana",3,0,"H",2,0,"H",2.15,3.39,3.81,"2-0","3-0",19,7,5,0,0,2,0,1,6,1,3,7,"6-1","Y","Y","N",2,1,"Monza-Salernitana",134,3,109,45,0,135,315,4905,21,327,763,938,945
"158","I1",2023-01-04,"Fiorentina","Monza",1,1,"D",1,0,"H",1.74,4.02,5.04,"1-0","1-1",22,6,10,3,1,3,0,0,9,1,2,10,"9-1","Y","N","N",4,0,"Fiorentina-Monza",80,2,39,40,300,80,400,1560,20,78,390,800,800
"163","I1",2023-01-07,"Monza","Inter",2,2,"D",1,2,"A",5.76,4.48,1.59,"1-2","2-2",13,4,11,3,0,3,0,0,3,5,4,8,"3-5","Y","Y","Y",3,0,"Monza-Inter",133,4,132,30,0,120,240,3960,32,528,1056,1064,960
"172","I1",2023-01-14,"Cremonese","Monza",2,3,"A",0,2,"A",2.91,3.39,2.61,"0-2","2-3",11,7,8,3,2,4,0,0,4,2,5,6,"4-2","Y","Y","Y",6,0,"Cremonese-Monza",232,5,217,60,800,300,360,13020,30,1085,1302,1392,1800
"185","I1",2023-01-22,"Monza","Sassuolo",1,1,"D",0,1,"A",2.25,3.45,3.47,"0-1","1-1",14,3,13,1,2,2,0,0,10,4,2,14,"10-4","Y","N","N",4,0,"Monza-Sassuolo",73,2,30,40,400,80,560,1200,28,60,420,1022,1120
"197","I1",2023-01-29,"Juventus","Monza",0,2,"A",0,2,"A",1.56,4.12,7.16,"0-2","0-2",22,8,3,3,0,2,0,0,12,1,2,13,"12-1","Y","N","N",2,0,"Juventus-Monza",57,2,131,20,0,40,260,2620,26,262,1703,741,520
"209","I1",2023-02-06,"Monza","Sampdoria",2,2,"D",1,1,"D",1.85,3.57,4.96,"1-1","2-2",17,5,11,6,2,4,0,0,9,3,4,12,"9-3","Y","Y","Y",6,0,"Monza-Sampdoria",192,4,115,60,800,240,720,6900,48,460,1380,2304,2880
"43","I1",2023-02-06,"Monza","Sampdoria",2,2,"D",1,1,"D",1.85,3.57,4.96,"1-1","2-2",17,5,11,6,2,4,0,0,9,3,4,12,"9-3","Y","Y","Y",6,0,"Monza-Sampdoria",134.666666666667,2.76190476190476,54.5476190476191,49.2857142857143,622.02380952381,133.333333333333,448.095238095238,2733.80952380952,24.2619047619048,180.261904761905,475.261904761905,1172.35714285714,1171.90476190476
