"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","laliga_goalmins","n","laliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"150","SP1","2022-12-31","Villarreal","Valencia",2,1,"H",1,1,"D",2.02,3.4,4.29,"1-1","2-1",14,8,13,4,1,3,0,0,5,2,12,16,3,7,28,"5-2","Y","Y","N",4,0,"Villarreal-Valencia",154,3,0,40,300,120,280,0,21,0,0,1078,840
"153","SP1","2023-01-07","Villarreal","Real Madrid",2,1,"H",0,0,"D",3.42,3.86,2.12,"0-0","2-1",17,5,13,3,4,1,0,0,6,5,13,6,3,11,19,"6-5","Y","Y","N",5,0,"Villarreal-Real Madrid",170,3,0,50,400,150,550,0,33,0,0,1870,1650
"161","SP1","2023-01-13","Celta","Villarreal",1,1,"D",0,1,"A",2.86,3.37,2.67,"0-1","1-1",21,8,3,1,0,2,0,0,14,3,11,8,2,17,19,"14-3","Y","N","N",2,0,"Celta-Villarreal",83,2,0,20,0,40,340,0,34,0,0,1411,680
"174","SP1","2023-01-22","Villarreal","Girona",1,0,"H",0,0,"D",1.76,4.06,4.76,"0-0","1-0",19,9,8,1,5,5,0,1,3,2,21,15,1,5,36,"3-2","N","N","N",10,1,"Villarreal-Girona",90,1,0,125,3750,125,625,0,5,0,0,450,625
"188","SP1","2023-01-30","Villarreal","Vallecano",0,1,"A",0,0,"D",1.72,3.85,5.41,"0-0","0-1",12,3,11,3,2,3,0,0,5,4,11,18,1,9,29,"5-4","N","N","N",5,0,"Villarreal-Vallecano",70,1,0,50,600,50,450,0,9,0,0,630,450
"193","SP1","2023-02-04","Elche","Villarreal",3,1,"H",2,1,"H",5.62,3.85,1.7,"2-1","3-1",18,7,14,2,4,2,0,0,6,10,19,8,4,16,27,"6-10","Y","Y","Y",6,0,"Elche-Villarreal",123,4,0,60,800,240,960,0,64,0,0,1968,3840
"208","SP1","2023-02-12","Villarreal","Barcelona",0,1,"A",0,1,"A",4.32,3.96,1.85,"0-1","0-1",11,2,7,4,4,4,0,0,6,2,22,18,1,8,40,"6-2","N","N","N",8,0,"Villarreal-Barcelona",18,1,0,80,1600,80,640,0,8,0,0,144,640
"214","SP1","2023-02-18","Mallorca","Villarreal",4,2,"H",2,1,"H",3.53,2.95,2.5,"2-1","4-2",13,5,8,4,5,0,0,1,4,4,19,8,6,8,27,"4-4","Y","Y","Y",5,1,"Mallorca-Villarreal",277,6,0,75,1250,450,600,0,48,0,0,2216,3600
"230","SP1","2023-02-27","Villarreal","Getafe",2,1,"H",1,1,"D",1.7,3.68,6.1,"1-1","2-1",11,5,8,3,0,1,0,0,6,6,9,13,3,12,22,"6-6","Y","Y","N",1,0,"Villarreal-Getafe",105,3,0,10,0,30,120,0,36,0,0,1260,360
"233","SP1","2023-03-04","Almeria","Villarreal",0,2,"A",0,0,"D",3.56,3.71,2.09,"0-0","0-2",6,0,16,6,2,4,0,0,2,10,11,10,2,12,21,"2-10","Y","N","N",6,0,"Almeria-Villarreal",164,2,0,60,800,120,720,0,24,0,0,1968,1440
"248","SP1","2023-03-12","Villarreal","Betis",1,1,"D",0,1,"A",2.01,3.75,3.79,"0-1","1-1",15,4,6,3,3,2,0,0,2,4,8,11,2,6,19,"2-4","Y","N","N",5,0,"Villarreal-Betis",93,2,0,50,600,100,300,0,12,0,0,558,600
"257","SP1","2023-03-19","Osasuna","Villarreal",0,3,"A",0,1,"A",3.2,3.25,2.46,"0-1","0-3",10,2,12,6,3,2,0,0,7,1,15,7,3,8,22,"7-1","Y","Y","N",5,0,"Osasuna-Villarreal",189,3,0,50,600,150,400,0,24,0,0,1512,1200
"268","SP1","2023-04-02","Villarreal","Sociedad",2,0,"H",0,0,"D",2.46,3.23,3.21,"0-0","2-0",16,4,16,3,5,3,1,0,4,4,12,19,2,8,31,"4-4","Y","N","N",8,1,"Villarreal-Sociedad",158,2,0,105,2250,210,840,0,16,0,0,1264,1680
"55","SP1","2023-04-02","Villarreal","Sociedad",2,0,"H",0,0,"D",2.46,3.23,3.21,"0-0","2-0",16,4,16,3,5,3,1,0,4,4,12,19,2,8,31,"4-4","Y","N","N",8,1,"Villarreal-Sociedad",117,2.33333333333333,15.9444444444444,66.2037037037037,1136.57407407407,160.648148148148,628.888888888889,1156.38888888889,23.6666666666667,55.2777777777778,141.074074074074,1129.53703703704,1549.90740740741
